x,sp500_density,norm_density,t_density
0.037000000000000005,0.25274782077602004,2.1065123857598316,1.541866502579427
0.037500000000000006,0.181799321982613,1.9667997845934941,1.4665489531855898
0.038000000000000006,0.14030935108628426,1.8346173146414033,1.3952594061519354
0.038500000000000006,0.12996264112643838,1.7097004448732906,1.3277715776415813
0.03900000000000001,0.14464644037782948,1.5917826338872498,1.2638718585592554
0.03950000000000001,0.18002331365069277,1.4805964398214242,1.203358673148855
0.04000000000000001,0.23066217618327683,1.3758745583405647,1.1460418578760914
0.04050000000000001,0.29000846501438515,1.2773507879761747,1.091742061946455
0.04100000000000001,0.35033837933389067,1.1847609226125673,1.0402901703981569
0.04150000000000001,0.40458117174601294,1.0978435713904413,0.9915267503619116
0.04200000000000001,0.4473446570113806,1.0163409067430078,0.9453015207872189
0.04250000000000001,0.4766786139677113,0.9399993416861798,0.9014728456906879
0.04300000000000001,0.49511583173877244,0.8685701378531931,0.8599072507803073
0.04350000000000001,0.506470923212384,0.8018099460950217,0.8204789631444319
0.04400000000000001,0.5150291048833272,0.7394812817611198,0.7830694735608889
0.04450000000000001,0.5240747523903379,0.6813529370308173,0.7475671208755972
0.04500000000000001,0.5349946041144353,0.6272003328848459,0.7138666978175096
0.04550000000000001,0.5472305323365119,0.576805813489971,0.6818690775541446
0.04600000000000001,0.55874671108399,0.5299588859188313,0.6514808602464863
0.046500000000000014,0.5674216585697635,0.4864564082432823,0.6226140388308966
0.047000000000000014,0.5718392819203131,0.44610272912447496,0.595185683236714
0.047500000000000014,0.5709299580428134,0.40870978207837466,0.5691176422392642
0.048000000000000015,0.5636762958889631,0.3740971376233673,0.5443362621475052
0.048500000000000015,0.5484280872586563,0.34209201651900656,0.5207721215318147
0.049000000000000016,0.5230348947079564,0.31252926728395647,0.49835978120935576
0.049500000000000016,0.48535611656390915,0.28525131113886176,0.47703754872077925
0.05000000000000002,0.4346880455161365,0.26010805745838367,0.4567472565518908
0.05050000000000002,0.3741413335165156,0.23695679273811346,0.4374340533764779
0.05100000000000002,0.30784079416781024,0.2156620459886094,0.4190462076210523
0.05150000000000002,0.24099536318799858,0.19609543336245983,0.401534922678266
0.05200000000000002,0.17876888414705877,0.1781354847030332,0.38485416312271453
0.05250000000000002,0.12525283524620232,0.16166745457737874,0.36896049131031255
0.05300000000000002,0.0828649070564845,0.1465831202223826,0.35381291377012547
0.05350000000000002,0.053193959752594736,0.13278056869451071,0.3393727368251346
0.05400000000000002,0.03529223810477016,0.12016397537090312,0.32560343090572974
0.05450000000000002,0.027677269398325075,0.1086433758047038,0.31247050304654495
0.05500000000000002,0.029552051025970503,0.09813443279173699,0.299941377083437
0.05550000000000002,0.04126238562200686,0.08855820036021723,0.2879852810928886
0.05600000000000002,0.06388081480545028,0.07984088625124763,0.27657314164072344
0.05650000000000002,0.09879676921605347,0.07191361431646441,0.26567748443079336
0.05700000000000002,0.14730064066081136,0.06471218812119224,0.2552723409671113
0.05750000000000002,0.21014725906735282,0.05817685690769955,0.24533316086478268
0.058000000000000024,0.2840120811546928,0.05225208494422928,0.23583672946598205
0.058499999999999996,0.36482513219178775,0.046886325162006644,0.2267610904371755
0.059,0.44689239114816687,0.042031797864829946,0.2180854730427568
0.0595,0.5235889042378052,0.037644275184511286,0.2097902238083082
0.06,0.5882589220907807,0.03368287185058399,0.20185674230378822
0.0605,0.6346216546640844,0.030109842744555346,0.1942674207931723
0.061,0.6560375200782453,0.026890387617613785,0.18700558751238666
0.0615,0.6517629466448549,0.02399246326616269,0.18005545335187353
0.062,0.623350217645238,0.02138660338179686,0.17340206173379932
0.0625,0.5734038753380183,0.019045746221276607,0.16703124148681023
0.063,0.5064872170188404,0.016945070177547802,0.16092956253340376
0.0635,0.4287890338064265,0.01506183727471746,0.15508429421641878
0.064,0.3475098174299626,0.01337524455790362,0.14948336610191937
0.0645,0.27007871490444285,0.011866283302781364,0.14411533110587463
0.065,0.2048167509281775,0.010517605929168443,0.13896933080154897
0.0655,0.15614259134810463,0.009313400467835164,0.13403506277345967
0.066,0.12722751041030955,0.008239272399574496,0.12930274989214927
0.0665,0.11946041922728082,0.007282133660107261,0.12476311139189807
0.067,0.13269432315082919,0.006430098583298233,0.12040733564089448
0.0675,0.16517588462125726,0.005672386538093456,0.11622705450030592
0.068,0.21189353075906706,0.004999231001229284,0.11221431917519885
0.0685,0.2661832069707403,0.004401794797790543,0.10836157746634362
0.069,0.3189775011826362,0.0038720912347901142,0.10466165233764801
0.0695,0.36157136200026274,0.0034029108488038483,0.10110772171931597
0.07,0.3868918471630062,0.0029877534870274805,0.09769329947183744
0.07050000000000001,0.39054199304468773,0.0026207654416446225,0.0944122174406047
0.07100000000000001,0.37171322793955125,0.002296681359842612,0.09125860853535528
0.07150000000000001,0.33328912601840444,0.0020107706559316686,0.08822689077274946
0.07200000000000001,0.2810839483603887,0.0017587881575786178,0.08531175222425205
0.07250000000000001,0.2225182757397426,0.001536928724937662,0.08250813681509238
0.07300000000000001,0.16578632543500352,0.0013417855892452304,0.07981123092345829
0.07350000000000001,0.11612674217721784,0.0011703121660545598,0.07721645073224741
0.07400000000000001,0.07664576479914356,0.0010197871075486445,0.07471943028865335
0.07450000000000001,0.047777554072673034,8.877823681301652e-4,0.07231601022964634
0.07500000000000001,0.02797508956201367,7.721340676045417e-4,0.07000222713400026
0.07550000000000001,0.015316270246827008,6.709159466210742e-4,0.06777430346395008
0.07600000000000001,0.007902056073853895,5.824152195050313e-4,0.06562863806184126
0.07650000000000001,0.003925372723873967,5.051106401029506e-4,0.06356179716926402
0.07700000000000001,0.0018315744747237311,4.37652606687213e-4,0.06157050593816126
0.07750000000000001,7.9984751408983e-4,3.7884514225098795e-4,0.059651640405268595
0.07800000000000001,3.2536100647006285e-4,3.276295966068965e-4,0.057802219902996894
0.07850000000000001,1.2246353946184082e-4,2.8306992652959404e-4,0.05601939988150558
0.07900000000000001,4.222083726094405e-5,2.443394197097362e-4,0.05430046511825292
0.07950000000000002,1.3105487561257292e-5,2.1070873747941867e-4,0.05264282329274791
0.08000000000000002,4.072544663279447e-6,1.8153516009920644e-4,0.05104399890557702
0.08050000000000002,1.234702979471341e-6,1.5625292684387618e-4,0.04950162752204116
0.08100000000000002,3.941949641459836e-7,1.3436457117313707e-4,0.0480134503219255
