t,bs_delta_1,bs_delta_2,bs_delta_3,bs_delta_4,bs_delta_5,bs_delta_6,bs_delta_7,bs_delta_8,bs_delta_9,bs_delta_10,bs_delta_11,bs_delta_12,bs_delta_13,bs_delta_14,bs_delta_15,bs_delta_16,bs_delta_17,bs_delta_18,bs_delta_19,bs_delta_20
0,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029,0.539827837277029
0.16666666666666666,0.5073311783967975,0.6131159886038877,0.5707575097977701,0.6837879508744176,0.5371015637770672,0.6345368296802242,0.7271592978564195,0.42452498727850035,0.32426076222750505,0.5555000485373767,0.505290635069547,0.45061259078757243,0.4700639759435895,0.43180550829215186,0.671365203500058,0.7369020963198228,0.7130717097266897,0.4707395795004275,0.7493544403034288,0.49750493777019833
0.3333333333333333,0.8185108158516295,0.729717150956139,0.49328336438248344,0.5513053534319597,0.31955205917832624,0.44507895324770835,0.46171285484044455,0.6464220309489392,0.4667710335087248,0.5209689714345631,0.5628119075507031,0.3756564837769063,0.874291428875341,0.28111969033029127,0.6839679151270859,0.8006411113836807,0.828457857733888,0.43715692820147145,0.36320267634529146,0.2648076307545515
0.5,0.8978389495280513,0.7617787487590785,0.290905782908786,0.5373753273959698,0.15859812192829736,0.4968830043541625,0.1782681996405266,0.7443637140538919,0.5234907541944818,0.5438745916855149,0.581372485415268,0.4185614461311088,0.831829797924573,0.2338619765988321,0.8284662834092504,0.9475873220010507,0.8828883823402499,0.4056101301892975,0.1790895189393824,0.06128897442645699
0.6666666666666666,0.8426517557170412,0.96190774845135385,0.45458088980982164,0.4896775820282389,0.0653959379740924,0.3853730419163026,0.34098129431784474,0.7336573271064089,0.8351531571069383,0.7279645028355151,0.8819430509862264,0.1963218709925942,0.8845120309134945,0.06708860948953795,0.9448961080155583,0.9814879048777565,0.8982782932925263,0.7738060903960344,0.17131792207665295,0.12060618603543186
0.8333333333333334,0.986930648461734,0.9600626703342963,0.22454486719040367,0.5121246275428166,5.834882201052278e-4,0.5733974835006623,0.03289420546907957,0.9942676240904956,0.8154588520502126,0.994716003341209,0.9003223775747785,0.015355763248881996,0.9590537286882953,0.019209094686293268,0.725445670455196,0.999971330418661,0.7578530810322808,0.9220106082512134,0.20416440591275076,0.06694469982671264
1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0
