T,gamma_itm,gamma_atm,gamma_otm
0.01,0.14822931682864998,26.593160127956633,0.06532127130622091
0.02,1.3069039121063946,18.802088505714533,1.008478283421327
0.03,2.4742313534824008,15.350113994250977,2.3012509928344684
0.04,3.2626286639095112,13.292093225403324,3.3315146351748757
0.05,3.755356085795672,11.887472190256874,4.055603027711491
0.060000000000000005,4.055737790170998,10.850507033157884,4.5466795127716235
0.06999999999999999,4.2338168246722185,10.044487435619342,4.874637945663733
0.08,4.333367968389923,9.394700689180185,5.09008740087733
0.09,4.3816872653129115,8.856412350280328,5.227565070041438
0.09999999999999999,4.396089405881349,8.400985313347013,5.310449774784203
0.11,4.387794573179643,8.009124131928555,5.354695206944226
0.12,4.364226586199134,7.667289934654812,5.371334006756506
0.13,4.33039027169731,7.365665207599159,5.368107051545817
0.14,4.28971464475841,7.096934142450526,5.350522387181526
0.15000000000000002,4.2445809765032045,6.855518470864186,5.322550255598159
0.16,4.196660930371696,6.637080503260116,5.287085686485451
0.17,4.147137616136908,6.438189536032607,5.246261113257079
0.18000000000000002,4.0968528777581215,6.256091729173404,5.201660879057554
0.19,4.046407142816302,6.08854754605605,5.154470593654427
0.2,3.996228179475801,5.933714498568176,5.105582572159245
0.21000000000000002,3.946619115334841,5.790060993505079,5.05567123227065
0.22,3.8977924010953773,5.656301978517876,5.0052476547221865
0.23,3.8498941078603623,5.5313501548996875,4.954699501087027
0.24000000000000002,3.8030214868636736,5.414278494168431,4.9043205150732865
0.25,3.757235775269149,5.304291088099962,4.85433252865938
0.26,3.7125716099984376,5.200700227542873,4.804902017524659
0.27,3.6690439965646306,5.1029081957699765,4.75615265321961
0.28,3.6266534990547004,5.0103926715868194,4.708174888036594
0.29000000000000004,3.5853901249163713,4.922694925757,4.661033321620297
0.3,3.545236244699553,4.839410200218941,4.614772396088271
0.31,3.5061687932792154,4.760179808537358,4.569420822361903
0.32,3.46816093275429,4.6846846051024436,4.524995036790002
0.33,3.4311833097686817,4.61263955133991,4.4815019119378725
0.34,3.395205005755899,4.543789167600431,4.43894089035333
0.35000000000000003,3.3601942536870855,4.477903705021721,4.3973056694813595
0.36000000000000004,3.326118976623908,4.41477590642987,4.356585535673316
0.37,3.292947189874367,4.35421825207454,4.316766422593287
0.38,3.260647298505919,4.296060606700726,4.277831752245206
0.39,3.229188314452806,4.2401482006242,4.239763103879228
0.4,3.1985400117943574,4.186339890184752,4.202540746133569
0.41000000000000003,3.1686730344961695,4.134506653007152,4.166144060161692
0.42000000000000004,3.139558967645646,4.084530281507887,4.130551875619919
0.43,3.111170380720755,4.036302244501126,4.095742736830029
0.44,3.0834808495169677,3.989722691926272,4.061695112873718
0.45,3.0564649618818147,3.9446995819061947,4.028387562587861
0.46,3.0300983112648505,3.9011479127541424,3.9957988632351245
0.47000000000000003,3.0043574812044453,3.8589890453361932,3.963908109890294
0.48000000000000004,2.9792200231827333,3.8181501034885397,3.932694791206893
0.49,2.9546644297411873,3.7785634420815146,3.902138846133131
0.5,2.930670104327682,3.7401661738915006,3.872220705270927
0.51,2.9072173290153644,3.702899747748225,3.842921319870179
0.52,2.8842872309740164,3.666709571516712,3.8142221808863046
0.53,2.861861748370588,3.6315446743889814,3.7861053300743137
0.54,2.8399235962150153,3.59735740373156,3.7585533647249454
0.55,2.818456232541102,3.564103152386159,3.7315494373504525
0.56,2.7974438252128975,3.531740112872803,3.705077251385589
0.5700000000000001,2.776871219568895,3.50022905541401,3.6791210537723384
0.5800000000000001,2.7567239070550924,3.469533127098813,3.653665625136294
0.59,2.7369879949500087,3.439617669847718,3.6286962681313466
0.6,2.7176501772473403,3.41045005513328,3.604198794421972
0.61,2.6986977067329145,3.381999533663527,3.58015951068447
0.62,2.6801183682701857,3.3542370984531718,3.5565652039363354
0.63,2.661900453291415,3.327135359895857,3.533403126443767
0.64,2.6440327354787128,3.300668431613801,3.5106609804086246
0.65,2.6265044476095025,3.274811826002953,3.488326902596242
0.66,2.6093052595339112,3.2495423585151917,3.4663894490325813
0.67,2.5924252572466573,3.2248380598267823,3.4448375798722597
0.68,2.575854923012677,3.2006780951365,3.423660644516783
0.6900000000000001,2.5595851165036314,3.1770426899193462,3.402848367044115
0.7000000000000001,2.5436070569013927,3.153913061534313,3.3823908319958047
0.7100000000000001,2.5279123059242856,3.131271356148346,3.362278470555658
0.72,2.512492751732122,3.1091005904949545,3.3425020471439875
0.73,2.497340593666796,3.0873845980355012,3.3230526464433496
0.74,2.482448327786255,3.0661079791351686,3.3039216608650825
0.75,2.4678087331509087,3.0452560549045136,3.2851007784606545
0.76,2.453414858823039,3.0248148243920854,3.2665819712775663
0.77,2.439260011541274,3.004770924844326,3.248357484156127
0.78,2.4253377440338677,2.9851115947763347,3.230419823960789
0.79,2.4116418439361147,2.9658246396214922,3.212761749237566
0.8,2.3981663232789643,2.946898399749798,3.1953762602875524
0.81,2.384905408517464,2.928321720664232,3.178256589645259
0.8200000000000001,2.371853531069334,2.9100839252019943,3.161396192949707
0.8300000000000001,2.3590053183354907,2.8921747875831443,3.144788740195553
