month,puty,puty_return,puty_growth,put,put_return,put_growth,sp500,dividend,sp500_return,sp500_growth,rf_return,rf_growth
1994-08-31,185.57,0.007930041822823197,1.8230670989291686,234.86215481354796,0.014960049317881863,2.561879922979453,464.24,12.9,0.03082631812140013,2.3743910555194283,0.0037,1.5156582930510705
1994-09-30,185.46,-5.927682276228863e-4,1.8219864426760988,234.3032017482729,-0.0023799196840325054,2.5557828545226267,466.96,12.92,0.008178241139640274,2.393809398131271,0.0037,1.5212662287353595
1994-10-31,188.6,0.01693087458212017,1.8528342666273712,239.92011576109394,0.023972843609946226,2.6170522371950793,463.81,13.0133,-0.004423415995659763,2.3832205833490168,0.0038,1.527047040404554
1994-11-30,189.26,0.0034994697773065297,1.8593182041457914,239.47107056182,-0.001871644642423731,2.61215404539639,461.01,13.0967,-0.00368385402068383,2.37444114662087,0.0037,1.5326971144540509
1994-12-31,191.6,0.012363943781041886,1.8823067098929178,244.71399422179033,0.02189376632287976,2.669343935665664,455.19,13.17,-0.010243812498644256,2.35011781672582,0.0044,1.5394409817576487
1995-01-31,193.22,0.008455114822546905,1.8982218292563129,248.6111694931167,0.015925428718205126,2.7118543822374805,465.25,13.18,0.02451357308669655,2.407727601588476,0.0042,1.5459066338810308
1995-02-28,194.34,0.005796501397370868,1.909224874742117,251.137756381133,0.010162805207696968,2.7394144300757994,481.92,13.18,0.03819093677234475,2.499680974185771,0.004,1.5520902604165547
1995-03-31,195.52,0.006071832870227389,1.920817369093232,254.49742381585378,0.01337778708838222,2.7760617330681954,493.15,13.17,0.025579971779548405,2.5636227429633167,0.0046,1.559229875614471
1995-04-30,197.25,0.0088481996726677,1.9378131447096971,258.50718762084944,0.0157556164808057,2.819800297061459,507.91,13.2433,0.032167917131366464,2.646089146915047,0.0044,1.5660904870671746
1995-05-31,199.06,0.00917617237008872,1.955594852146577,262.71749534968535,0.016287004502989477,2.8657263971972298,523.81,13.3067,0.03348800312391287,2.7347013885330904,0.0054,1.5745473756973374
1995-06-30,200.26,0.006028333165879474,1.9673838294527954,265.19095961686367,0.009414920250690129,2.892706982687139,539.35,13.36,0.03179269837027432,2.821644924911493,0.004699999999999999,1.5819477483631148
1995-07-31,201.78,0.007590132827324458,1.9823165340406723,268.8937678576274,0.013962799659963387,2.933097270761377,557.37,13.44,0.03548716047093725,2.921777091153833,0.0045000000000000005,1.5890665132307487
1995-08-31,203.15,0.006789572802061716,1.9957756164652722,272.3726560454178,0.012937779166501073,2.9710450355243547,559.11,13.51,0.005141707184336042,2.936800013414447,0.004699999999999999,1.596535125842933
1995-09-30,204.2,0.005168594634506363,2.0060909716082134,275.99093852397885,0.013284308825617597,3.010513315311078,578.77,13.58,0.037187077080836684,3.0460110218842926,0.0043,1.6034002268840577
