DATE,BAMLHYH0A0HYM2TRIV
2007-09-01,597.740
2007-10-01,601.360
2007-11-01,589.050
2007-12-01,590.780
2008-01-01,582.750
2008-02-01,575.830
2008-03-01,572.840
2008-04-01,596.710
2008-05-01,599.260
2008-06-01,583.210
2008-07-01,573.860
2008-08-01,575.710
2008-09-01,527.940
2008-10-01,441.900
2008-11-01,404.630
2008-12-01,434.880
2009-01-01,457.960
2009-02-01,442.090
2009-03-01,456.690
2009-04-01,509.050
2009-05-01,545.260
2009-06-01,562.600
2009-07-01,597.390
2009-08-01,609.540
2009-09-01,645.960
2009-10-01,657.500
2009-11-01,664.160
2009-12-01,684.980
2010-01-01,695.360
2010-02-01,696.440
2010-03-01,718.000
2010-04-01,734.080
2010-05-01,708.230
2010-06-01,717.470
2010-07-01,742.330
2010-08-01,743.490
2010-09-01,765.560
2010-10-01,784.130
2010-11-01,775.380
2010-12-01,789.040
2011-01-01,805.620
2011-02-01,816.400
2011-03-01,819.830
2011-04-01,832.290
2011-05-01,836.360
2011-06-01,827.960
2011-07-01,838.180
2011-08-01,804.600
2011-09-01,775.670
2011-10-01,821.870
2011-11-01,803.700
2011-12-01,823.620
2012-01-01,847.530
2012-02-01,866.840
2012-03-01,866.030
2012-04-01,874.880
2012-05-01,864.320
2012-06-01,881.890
2012-07-01,898.790
2012-08-01,909.630
2012-09-01,922.590
2012-10-01,930.200
2012-11-01,937.100
2012-12-01,951.960
2013-01-01,965.060
2013-02-01,969.530
2013-03-01,979.520
2013-04-01,997.710
2013-05-01,992.410
2013-06-01,966.250
2013-07-01,984.420
2013-08-01,977.480
2013-09-01,988.020
2013-10-01,1012.310
2013-11-01,1017.010
2013-12-01,1022.590
2014-01-01,1030.150
2014-02-01,1050.800
2014-03-01,1053.230
2014-04-01,1060.530
2014-05-01,1071.200
2014-06-01,1080.260
2014-07-01,1065.970
2014-08-01,1082.170
2014-09-01,1059.470
2014-10-01,1071.530
2014-11-01,1063.870
2014-12-01,1048.180
2015-01-01,1055.410
2015-02-01,1080.590
2015-03-01,1074.850
2015-04-01,1087.740
2015-05-01,1090.960
2015-06-01,1074.320
2015-07-01,1067.710
2015-08-01,1048.900
2015-09-01,1021.690
2015-10-01,1049.540
2015-11-01,1025.980
2015-12-01,999.520
2016-01-01,983.710
2016-02-01,988.280
2016-03-01,1031.970
2016-04-01,1073.200
2016-05-01,1080.950
2016-06-01,1092.660
2016-07-01,1120.260
2016-08-01,1145.220
2016-09-01,1152.620
2016-10-01,1156.230
2016-11-01,1151.670
2016-12-01,1174.320
2017-01-01,1190.090
2017-02-01,1208.660
2017-03-01,1206.120
2017-04-01,1219.790
2017-05-01,1230.680
2017-06-01,1231.980
2017-07-01,1246.190
2017-08-01,1245.870
2017-09-01,1257.060
2017-10-01,1261.910
2017-11-01,1258.530
2017-12-01,1262.200
2018-01-01,1270.290
2018-02-01,1258.450
2018-03-01,1250.680
2018-04-01,1259.000
2018-05-01,1258.810
2018-06-01,1263.150
2018-07-01,1277.270
2018-08-01,1286.520
2018-09-01,1293.990
2018-10-01,1272.800
2018-11-01,1261.250
2018-12-01,1233.610
2019-01-01,1290.270
2019-02-01,1312.050
2019-03-01,1324.910
2019-04-01,1343.450
2019-05-01,1326.370
2019-06-01,1358.890
2019-07-01,1365.850
2019-08-01,1371.180
2019-09-01,1375.530
2019-10-01,1378.720
2019-11-01,1382.490
2019-12-01,1411.390
2020-01-01,1411.450
2020-02-01,1389.570
2020-03-01,1226.170
2020-04-01,1272.770
2020-05-01,1330.990
2020-06-01,1343.960
2020-07-01,1408.170
2020-08-01,1422.030
2020-09-01,1407.210
2020-10-01,1413.790
2020-11-01,1470.380
2020-12-01,1498.420
