mid_month,realized_vol
2012-01-15,0.09979321690089664
2012-02-15,0.09929776199491092
2012-03-15,0.08059185117975277
2012-04-15,0.06735150069361774
2012-05-15,0.10953743820631437
2012-06-15,0.19964459817404445
2012-07-15,0.11568039331899464
2012-08-15,0.10166695642773084
2012-09-15,0.14739767882920737
2012-10-15,0.06525063311095831
2012-11-15,0.06983119201711821
2012-12-15,0.06102889949964345
2013-01-15,0.040819357126871174
2013-02-15,0.056706260809780924
2013-03-15,0.04909375390069497
2013-04-15,0.1168706721340472
2013-05-15,0.06467760467045387
2013-06-15,0.11367045258478291
2013-07-15,0.06968985061412351
2013-08-15,0.05214519350637992
2013-09-15,0.11252418066129784
2013-10-15,0.05812763603760685
2013-11-15,0.05788038522584841
2013-12-15,0.050758388961645085
2014-01-15,0.09980153175939904
2014-02-15,0.09628466726805984
2014-03-15,0.08622010096440512
2014-04-15,0.10010493431966476
2014-05-15,0.08741957756663897
2014-06-15,0.09942056824199035
2014-07-15,0.10342495334114113
2014-08-15,0.09591407268553825
2014-09-15,0.12167327370684052
2014-10-15,0.15469282380444352
2014-11-15,0.4317388682758463
2014-12-15,0.7947045561886152
2015-01-15,0.5007964807870051
2015-02-15,0.35729963770860707
2015-03-15,0.2705143944005273
2015-04-15,0.3575038232113944
2015-05-15,0.22941204139234084
2015-06-15,0.21820077659206255
2015-07-15,0.1518193543053952
2015-08-15,0.2790054001113552
2015-09-15,0.17720476033474314
2015-10-15,0.23602621681179678
2015-11-15,0.13651860908041205
2015-12-15,0.1480819398259733
2016-01-15,0.46459633583259885
2016-02-15,0.28385329069554743
2016-03-15,0.20305190948236515
2016-04-15,0.2625162148756452
2016-05-15,0.14956564355373558
2016-06-15,0.17240551231972012
2016-07-15,0.12058390548634587
2016-08-15,0.0992777105396308
2016-09-15,0.11245009392808229
2016-10-15,0.09264661702210679
2016-11-15,0.14535797010589904
2016-12-15,0.14439337363982555
2017-01-15,0.08717709959336986
2017-02-15,0.13145175816665328
2017-03-15,0.10867692829647216
2017-04-15,0.1014812954291416
2017-05-15,0.1419685249304692
2017-06-15,0.12046199399631552
2017-07-15,0.10629713237685662
2017-08-15,0.07482771789427058
2017-09-15,0.08615029997859644
2017-10-15,0.06840121632720507
2017-11-15,0.09173141316442261
2017-12-15,0.07633766417198944
2018-01-15,0.06509831250364549
2018-02-15,0.1324824538164708
2018-03-15,0.08917956543477956
2018-04-15,0.2999691252818743
2018-05-15,0.12837131091655246
2018-06-15,0.12140845978852195
2018-07-15,0.0625642579835672
2018-08-15,0.18638865230586324
2018-09-15,0.10236788586576313
2018-10-15,0.09196298096428891
2018-11-15,0.11580786541079305
2018-12-15,0.14285052339522267
2019-01-15,0.0660692759832522
2019-02-15,0.07437572870203925
2019-03-15,0.08646676008259217
2019-04-15,0.06272165474830894
2019-05-15,0.0648532002076892
2019-06-15,0.05817462513024801
2019-07-15,0.05874159775636618
2019-08-15,0.08661689097338743
2019-09-15,0.08269316236754155
2019-10-15,0.05640299887523335
2019-11-15,0.06523776560757379
2019-12-15,0.05525407666307951
2020-01-15,0.09095892062129218
2020-02-15,0.13618343869539964
2020-03-15,0.4064488133063327
2020-04-15,0.18652972746126692
2020-05-15,0.1387372396061003
2020-06-15,0.12792963249410774
2020-07-15,0.11574207403226165
2020-08-15,0.10965136259743359
2020-09-15,0.14418667407874672
2020-10-15,0.1373443867391858
2020-11-15,0.11676651673903318
2020-12-15,0.12018141991232113
2021-01-15,0.12732903738787163
2021-02-15,0.09122702491452832
2021-03-15,0.10028732275872111
2021-04-15,0.1627131831953829
2021-05-15,0.047358679548739124
2021-06-15,0.0835881551783612
2021-07-15,0.09705809604103231
2021-08-15,0.0612198900936827
2021-09-15,0.06622097616379331
2021-10-15,0.07811803930213744
2021-11-15,0.11122909799309233
2021-12-15,0.0860563861289954
2022-01-15,0.12887840636255654
2022-02-15,0.5522359779605223
2022-03-15,0.7740008081647002
2022-04-15,0.3760096146047783
2022-05-15,0.6474590519866565
2022-06-15,0.22112330415552495
2022-07-15,0.4230085404101249
2022-08-15,0.14168109912117802
2022-09-15,0.1915642823901915
2022-10-15,0.20603551595910025
2022-11-15,0.09359223038909206
2022-12-15,0.2798474166992236
2023-01-15,0.12115430400274645
2023-02-15,0.11433734592097346
2023-03-15,0.07087463217715281
2023-04-15,0.13048708358823888
2023-05-15,0.16927918261847322
2023-06-15,0.09735490181423158
2023-07-15,0.12465572089945781
2023-08-15,0.21948850862522973
2023-09-15,0.11554522345763632
2023-10-15,0.15308234591631048
2023-11-15,0.1059941750470378
2023-12-15,0.1305448586729024
2024-01-15,0.09456764730138775
2024-02-15,0.0774522274095629
2024-03-15,0.06945881217920642
