date,acmtp02,acmtp05,acmtp10
1961-06-30,0.005056011541716643,0.14627562505619718,0.18683061464965478
1961-07-31,0.1471833512088634,0.3560332435731355,0.4365056831713843
1961-08-31,0.06535105347654735,0.256604351755072,0.3247818768573798
1961-09-29,0.0708479627731311,0.18395281982444,0.22620782313429677
1961-10-31,0.052112264898950045,0.23289421964890833,0.3267876186448886
1961-11-30,-0.15129374459198885,0.07778478777793918,0.10533195003063067
1961-12-29,-0.26945921418867336,-0.06781232044115892,-0.11278605161357635
1962-01-31,0.07613926168799301,0.16189868962866294,0.18560484018462997
1962-02-28,-0.024044325771416908,0.10074663741388612,0.18213593154544538
1962-03-30,-0.001997888256078717,0.18535482876965492,0.31677449135939106
1962-04-30,-0.01770801913272413,0.05369368359880111,0.08829621433271484
1962-05-31,0.022043843778377425,0.23211554480655439,0.3833346244572864
1962-06-29,-0.09109494090382686,0.14507900398774431,0.264128927585213
1962-07-31,0.013666385651734725,0.1964070000437932,0.32764525762197705
1962-08-31,-0.1074376072663239,0.22562199830527963,0.4468372900182147
1962-09-28,-0.06330078232513792,0.2813056460725911,0.49403174234111
1962-10-31,0.03050130420939201,0.3070711277533005,0.5031183912096493
1962-11-30,-0.03763934647867062,0.21891226329315083,0.423791146671352
1962-12-31,0.008170843390833848,0.190970451220712,0.4149790544730765
1963-01-31,-0.10988532226493897,0.13579775446064302,0.23744179123835085
1963-02-28,0.071668525065125,0.2893563153349823,0.4167233502039629
1963-03-29,-0.001575949758985118,0.24990572333913708,0.42682992306032874
1963-04-30,-0.06774511096488256,0.1790570630513213,0.3113853511683984
1963-05-31,-0.10107211225846058,0.13896568964197575,0.2558752104263351
1963-06-28,-0.07764501223824061,0.17821630576266267,0.2892933276000256
1963-07-31,-0.09910378931681718,0.02670121460707131,0.08894423259449491
1963-08-30,-0.06607821623159227,0.05928576660753704,0.1757963243495344
1963-09-30,-0.09820204256603393,0.07036765197073658,0.19540795335596028
1963-10-31,-0.04983498267570585,0.10265759868904167,0.25523818766567796
1963-11-29,-0.1912047288899461,-0.056849480477736414,0.031245253884191637
1963-12-31,-0.12294175865950274,-0.0336236554906133,0.04713126770674503
1964-01-31,-0.06718227023232215,0.03877442245264939,0.11696750399648081
1964-02-28,0.08213215631752124,0.05591416717678621,0.13837607814617137
1964-03-31,0.17093599231786705,0.11572596735622831,0.20180402380749207
1964-04-30,-4.126335737333342e-4,0.0912891474284665,0.17872720432996037
1964-05-28,-0.0046604212043748205,0.047076797762811484,0.12664686707542083
1964-06-30,-0.013985002171510441,0.04301528703518542,0.11878763974640894
1964-07-31,-0.0023491829989823465,0.18907919411375929,0.3863688676524526
1964-08-31,-0.04749823930100394,0.10843491990140919,0.27794667675865714
1964-09-30,-0.08198321350611515,0.0037164159869380597,0.10630678398846793
1964-10-30,-0.09909137647656285,-0.010116802185534901,0.09931316411516544
1964-11-30,-0.19368611331395202,-0.13675664934153797,-0.03751251573063641
1964-12-31,-0.19705114052742045,-0.07436555392435018,0.02448092514261191
1965-01-29,-0.04141660518752177,0.081838403190162,0.3056967377402424
1965-02-26,-0.0854410448423577,0.010616856038241806,0.20625999934971162
1965-03-31,-0.13894484898226,-0.034541896320352095,0.08598184546573506
1965-04-30,-0.1744885902451876,-0.07067627900206919,0.04030073504418841
1965-05-28,-0.2347616511059596,-0.09952485389011922,0.016847845094368985
1965-06-30,-0.21778336484059757,-0.04969397549870802,0.07813687704385064
1965-07-30,-0.1679828507704011,-0.03650154206898293,0.08094303081522103
1965-08-31,-0.17943498848712025,-0.07227130945151039,0.04030748113837479
1965-09-30,-0.07478392712376891,0.019259852214093875,0.22739918768683332
1965-10-29,-0.1969342533259102,-0.0267166954056286,0.13407844093282062
1965-11-30,-0.21708059945630342,-0.05131665211719838,0.10339024366050342
1965-12-31,-0.07925967863796046,0.02866611933610308,0.22746048759249682
1966-01-31,-0.00453586710561904,0.11251883665005025,0.31128081567512655
1966-02-28,0.14989140171820647,0.27200668143889484,0.5007382403121783
1966-03-31,0.06144772094819384,0.13306080289465783,0.3263925337658593
1966-04-29,0.013255826005926785,0.1050288605412053,0.3044773720787024
1966-05-31,-0.101489426887869,0.03676417179661762,0.2481194425477078
1966-06-30,0.05765145363503521,0.1852845900918716,0.4112852066675945
1966-07-29,0.0633834306322063,0.24667393140893878,0.4987910529540329
1966-08-31,0.15464329340717065,0.35849636320317835,0.6879105617826786
1966-09-30,-0.017976022170377526,0.1587863797518283,0.4420965311429681
1966-10-31,-0.09634438128725087,0.0780285216435157,0.34166837814689277
1966-11-30,-0.05488799754138274,0.14235977184232862,0.4135399913673359
1966-12-30,-0.13994461983916295,-0.03623358594154169,0.16555156939129656
1967-01-31,-0.13582761897294748,0.008644422579589417,0.1792597542409089
1967-02-28,0.014690107032148347,0.09571527061840168,0.2850320703652889
1967-03-31,-0.15742813389307653,0.04677785900718057,0.195298832214303
1967-04-28,0.02978657300890042,0.3343181186070945,0.5364513474309138
1967-05-31,0.13798951289483696,0.34861935439625746,0.5228416756212431
1967-06-30,0.39190814497979964,0.47769804391945847,0.6991279344166621
1967-07-31,0.10151839613236469,0.21346170105021223,0.4286309535602495
1967-08-31,0.26020355591820277,0.3762140203641051,0.6277159489657098
1967-09-29,0.17231110979946695,0.31481136848010305,0.57138945944354
1967-10-31,0.23798694341284676,0.5185790844029503,0.8301312345029279
1967-11-30,0.03313589438738784,0.41404684230965927,0.7717502043065609
1967-12-29,0.10543757457870395,0.41163526794752237,0.7536558801578597
1968-01-31,0.20904930159367563,0.4645038877862637,0.7570623591027781
