S,original_call_pv,original_call_delta,original_loan,option_pnl,delta_pnl,full_pnl
95,3.987761167674492,0.5199388058383725,-48.006119416162754,2.126800223562512,-2.5996940291918627,-0.4728938056293508
95.01,3.987761167674492,0.5199388058383725,-48.006119416162754,2.1235974409163916,-2.594494641133476,-0.4708972002170846
95.02,3.987761167674492,0.5199388058383725,-48.006119416162754,2.1203908617888096,-2.5892952530750972,-0.4689043912862876
95.03,3.987761167674492,0.5199388058383725,-48.006119416162754,2.11718048470264,-2.5840958650167107,-0.46691538031407065
95.04,3.987761167674492,0.5199388058383725,-48.006119416162754,2.1139663081846685,-2.5788964769583242,-0.4649301687736558
95.05,3.987761167674492,0.5199388058383725,-48.006119416162754,2.1107483307655244,-2.5736970888999453,-0.46294875813442093
95.06,3.987761167674492,0.5199388058383725,-48.006119416162754,2.107526550979692,-2.568497700841559,-0.4609711498618667
95.07,3.987761167674492,0.5199388058383725,-48.006119416162754,2.104300967365532,-2.56329831278318,-0.4589973454176479
95.08,3.987761167674492,0.5199388058383725,-48.006119416162754,2.101071578465252,-2.5580989247247934,-0.45702734625954156
95.09,3.987761167674492,0.5199388058383725,-48.006119416162754,2.097838382824964,-2.5528995366664073,-0.4550611538414433
95.1,3.987761167674492,0.5199388058383725,-48.006119416162754,2.094601378994657,-2.547700148608028,-0.45309876961337103
95.11,3.987761167674492,0.5199388058383725,-48.006119416162754,2.091360565528177,-2.542500760549642,-0.45114019502146485
95.12,3.987761167674492,0.5199388058383725,-48.006119416162754,2.088115940983254,-2.5373013724912554,-0.4491854315080013
95.13,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0848675039215685,-2.5321019844328765,-0.447234480511308
95.14,3.987761167674492,0.5199388058383725,-48.006119416162754,2.081615252908584,-2.52690259637449,-0.4452873434659059
95.15,3.987761167674492,0.5199388058383725,-48.006119416162754,2.078359186513765,-2.5217032083161035,-0.44334402180233834
95.16,3.987761167674492,0.5199388058383725,-48.006119416162754,2.075099303310406,-2.5165038202577246,-0.44140451694731864
95.17,3.987761167674492,0.5199388058383725,-48.006119416162754,2.071835601875751,-2.511304432199338,-0.43946883032358697
95.18,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0685680807908753,-2.506105044140952,-0.43753696335007675
95.19,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0652967386408605,-2.5009056560825726,-0.43560891744171215
95.2,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0620215740146186,-2.4957062680241866,-0.433684694009568
95.21,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0587425855050263,-2.4905068799658077,-0.43176429446078135
95.22,3.987761167674492,0.5199388058383725,-48.006119416162754,2.055459771708854,-2.485307491907421,-0.4298477201985671
95.23,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0521731312268052,-2.4801081038490347,-0.42793497262222946
95.24,3.987761167674492,0.5199388058383725,-48.006119416162754,2.048882662663498,-2.4749087157906557,-0.4260260531271576
95.25,3.987761167674492,0.5199388058383725,-48.006119416162754,2.045588364627502,-2.4697093277322693,-0.4241209631047673
95.26,3.987761167674492,0.5199388058383725,-48.006119416162754,2.042290235731272,-2.4645099396738828,-0.42221970394261055
95.27,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0389882745912686,-2.459310551615504,-0.4203222770242352
95.28,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0356824798278126,-2.4541111635571173,-0.41842868372930475
95.29,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0323728500652116,-2.4489117754987313,-0.41653892543351967
95.3,3.987761167674492,0.5199388058383725,-48.006119416162754,2.029059383931738,-2.4437123874403524,-0.4146530035086142
95.31,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0257420800595334,-2.438512999381966,-0.4127709193224325
95.32,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0224209370847923,-2.433313611323587,-0.4108926742387946
95.33,3.987761167674492,0.5199388058383725,-48.006119416162754,2.019095953647575,-2.4281142232652004,-0.4090182696176252
95.34,3.987761167674492,0.5199388058383725,-48.006119416162754,2.015767128391939,-2.422914835206814,-0.4071477068148748
95.35,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0124344599659274,-2.417715447148435,-0.4052809871825076
95.36,3.987761167674492,0.5199388058383725,-48.006119416162754,2.0090979470214805,-2.4125160590900485,-0.40341811206856804
95.37,3.987761167674492,0.5199388058383725,-48.006119416162754,2.005757588214564,-2.4073166710316625,-0.4015590828170983
95.38,3.987761167674492,0.5199388058383725,-48.006119416162754,2.002413382205102,-2.402117282973283,-0.3997039007681811
95.39,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9990653276569432,-2.396917894914897,-0.3978525672579538
95.4,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9957134232379978,-2.3917185068565106,-0.3960050836185127
95.41,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9923576676200838,-2.3865191187981316,-0.3941614511780478
95.42,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9889980594790302,-2.381319730739745,-0.39232167126071493
95.43,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9856345974946414,-2.3761203426813586,-0.3904857451867172
95.44,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9822672803507366,-2.3709209546229797,-0.38865367427224307
95.45,3.987761167674492,0.5199388058383725,-48.006119416162754,1.9788961067350783,-2.365721566564593,-0.3868254598295149
95.46,3.987761167674492,0.5199388058383725,-48.006119416162754,1.975521075339472,-2.3605221785062143,-0.3850011031667422
