month,gamma,gamma_return,inv_gamma_return,gamma_growth,inv_gamma_growth,sp500,sp500_return,sp500_growth,rf_return,rf_growth
2012-05-31,10000,0,-0,1,1,2270.25,0,1,1e-4,1
2012-06-30,10918.1627,0.09181627000000003,-0.09181627000000003,1.09181627,0.90818373,2363.7900390625,0.041202527942957756,1.0412025279429578,0,1
2012-07-31,11819.6492,0.08256760086566572,-0.08256760086566572,1.18196492,0.8331971782686685,2396.6201171875,0.013888745439514905,1.055663524804537,0,1
2012-08-31,9829.8713,-0.16834492008443014,0.16834492008443014,0.9829871300000002,0.9734616906588802,2450.60009765625,0.02252337785268077,1.0794406332590023,1e-4,1.0001
2012-09-30,9826.5374,-3.391600864602884e-4,3.391600864602884e-4,0.9826537399999999,0.97379185001005,2513.929931640625,0.02584258200468681,1.107336166343189,1e-4,1.00020001
2012-10-31,9337.3293,-0.04978438284883546,0.04978438284883546,0.9337329299999999,1.022271476286026,2467.510009765625,-0.018465081819009077,1.0868891134305143,1e-4,1.000300030001
2012-11-30,9474.6951,0.014711465729285278,-0.014711465729285278,0.94746951,1.0072323644966183,2481.820068359375,0.005799392317403118,1.0931924098048122,1e-4,1.000400060004
2012-12-31,7419.853,-0.21687685759935438,0.21687685759935438,0.7419853,1.2256777545810125,2504.43994140625,0.009114227632879057,1.103156014274309,1e-4,1.0005001000100004
2013-01-31,6814.5826,-0.08157444628620003,0.08157444628620003,0.68145826,1.3256617387362715,2634.159912109375,0.05179599979957472,1.1602950829685608,0,1.0005001000100004
2013-02-28,7113.1863,0.04381834039255761,-0.04381834039255761,0.71131863,1.2675734414229358,2669.919921875,0.013575489324408219,1.1760466564805638,0,1.0005001000100004
2013-03-31,6366.7869,-0.104931794068152,0.104931794068152,0.63667869,1.400582196744586,2770.050048828125,0.037503044991254564,1.220151987150369,0,1.0005001000100004
2013-04-30,7016.0176,0.10197148266419909,-0.10197148266419909,0.70160176,1.2577627535494595,2823.419921875,0.01926675406801892,1.2436603554123997,0,1.0005001000100004
2013-05-31,7560.5997,0.07761983094227132,-0.07761983094227132,0.75605997,1.160135421253465,2889.4599609375,0.023390087514379987,1.2727496799636606,0,1.0005001000100004
2013-06-30,8096.1996,0.07084092813431186,-0.07084092813431186,0.8096199599999999,1.0779503512503785,2850.659912109375,-0.01342813167604373,1.255659029670466,0,1.0005001000100004
2013-07-31,6900.4443,-0.14769340666946995,0.14769340666946995,0.6900444299999999,1.2371565108470988,2995.719970703125,0.0508864835042393,1.3195551021707412,0,1.0005001000100004
2013-08-31,6830.6733,-0.010111088064285956,0.010111088064285956,0.68306733,1.2496655092775784,2908.9599609375,-0.02896132169031196,1.281339042368682,0,1.0005001000100004
2013-09-30,6217.9396,-0.08970326541601703,0.08970326541601703,0.6217939599999999,1.361764586137547,3000.179931640625,0.031358276472711166,1.321519626314558,0,1.0005001000100004
2013-10-31,6198.6545,-0.0031015257851652045,0.0031015257851652045,0.6198654499999999,1.3659881341147775,3138.090087890625,0.045967295093059635,1.3822663089486293,0,1.0005001000100004
2013-11-30,6205.4309,0.0010932049850496117,-0.0010932049850496117,0.62054309,1.3644948290770444,3233.719970703125,0.030473912518165225,1.424389371524337,0,1.0005001000100004
2013-12-31,5754.949,-0.07259478145184095,0.07259478145184095,0.5754948999999998,1.4635500329860598,3315.590087890625,0.025317627354634054,1.4604515308404915,0,1.0005001000100004
2014-01-31,5621.6914,-0.023155305112173896,0.023155305112173896,0.5621691399999998,1.497438980546784,3200.949951171875,-0.03457608862369477,1.40995482927954,0,1.0005001000100004
2014-02-28,5339.182,-0.0502534521905631,0.0502534521905631,0.5339181999999999,1.5726904587639774,3347.3798828125,0.04574577355919507,1.4744543036284554,0,1.0005001000100004
2014-03-31,4855.1167,-0.09066282063432196,0.09066282063432196,0.48551166999999984,1.7152750117402051,3375.510009765625,0.008403625503505596,1.486845065418181,0,1.0005001000100004
2014-04-30,5037.2749,0.037518809795035635,-0.037518809795035635,0.50372748999999994,1.6509199348285468,3400.4599609375,0.007391461171702307,1.4978350229875568,0,1.0005001000100004
2014-05-31,4335.1127,-0.13939326598991064,0.13939326598991064,0.4335112699999999,1.8810470564321484,3480.2900390625,0.02347625881264337,1.5329985856458541,0,1.0005001000100004
2014-06-30,3666.9933,-0.15411811554518517,0.15411811554518517,0.36669932999999993,2.1709504840212888,3552.179931640625,0.020656293518999336,1.5646646543951659,0,1.0005001000100004
2014-07-31,4174.7216,0.13845902036417668,-0.13845902036417668,0.41747215999999987,1.870362806744566,3503.18994140625,-0.013791528350802995,1.5430855374545756,0,1.0005001000100004
2014-08-31,3732.5967,-0.10590524168126558,0.10590524168126558,0.37325966999999993,2.0684440318244994,3643.330078125,0.04000357932704479,1.6048144821605552,0,1.0005001000100004
2014-09-30,3602.7766,-0.034780103620624225,0.034780103620624225,0.36027765999999994,2.140384729584817,3592.25,-0.014020162057698515,1.5823147230481227,0,1.0005001000100004
2014-10-31,4304.5869,0.19479706290975685,-0.19479706290975685,0.4304586899999999,1.7234440707648007,3679.989990234375,0.024424800677674163,1.6209624447679223,0,1.0005001000100004
2014-11-30,3512.5605,-0.18399591375423274,0.18399591375423274,0.35125604999999993,2.0405507373694842,3778.9599609375,0.02689408693115003,1.6645567496696403,0,1.0005001000100004
2014-12-31,3868.9872,0.10147204581956659,-0.10147204581956659,0.38689871999999986,1.8334918794499777,3769.43994140625,-0.002519216829407256,1.660363370292369,0,1.0005001000100004
2015-01-31,4031.9692,0.042125236289228374,-0.042125236289228374,0.4031969199999999,1.756255600793766,3656.280029296875,-0.03002035152924043,1.6105186782499177,0,1.0005001000100004
2015-02-28,3455.4759,-0.1429805813000754,0.1429805813000754,0.3455475899999999,2.0073660475067716,3866.419921875,0.057473686614352815,1.7030811240502153,0,1.0005001000100004
2015-03-31,4052.3321,0.17272764078603475,-0.17272764078603475,0.4052332099999999,1.6606384459269397,3805.27001953125,-0.015815639164743267,1.6761458075239517,0,1.0005001000100004
2015-04-30,3847.0923,-0.0506473297191018,0.0506473297191018,0.3847092299999999,1.7447453488420184,3841.780029296875,0.009594591074544079,1.6922277411284554,0,1.0005001000100004
2015-05-31,3723.6292,-0.03209257547576905,0.03209257547576905,0.3723629199999999,1.8007387206357277,3891.179931640625,0.012858597308287534,1.7139874162055393,0,1.0005001000100004
2015-06-30,3458.7877,-0.07112456310096615,0.07112456310096615,0.3458787699999999,1.9288154753999365,3815.85009765625,-0.019359123789635224,1.6808061216413392,0,1.0005001000100004
2015-07-31,3234.847,-0.0647454308918699,0.0647454308918699,0.3234846999999999,2.0536974644656123,3895.800048828125,0.02095206811739847,1.716022485994109,0,1.0005001000100004
2015-08-31,3644.0231,0.12649009365821628,-0.12649009365821628,0.3644023099999999,1.7939250798397157,3660.75,-0.06033421784540227,1.6124876114965316,0,1.0005001000100004
2015-09-30,3256.4763,-0.10635135655424355,0.10635135655424355,0.3256476299999999,1.9847114456373491,3570.169921875,-0.02474358481868466,1.572588887512389,0,1.0005001000100004
2015-10-31,3480.9234,0.06892330215945397,-0.06892330215945397,0.34809234,1.8479185789703596,3871.330078125,0.08435457214648068,1.7052439502808066,0,1.0005001000100004
2015-11-30,3002.5821,-0.1374179334138752,0.1374179334138752,0.30025820999999997,2.101855731209571,3882.840087890625,0.0029731408930131487,1.7103138808019496,0,1.0005001000100004
2015-12-31,3313.3685,0.1035063787264967,-0.1035063787264967,0.33133684999999996,1.8843002558665358,3821.60009765625,-0.015771957857693808,1.6833388823505127,1e-4,1.0006001500200015
2016-01-31,3679.8245,0.11059922854943549,-0.11059922854943549,0.36798245,1.675898101212193,3631.9599609375,-0.04962322898072313,1.5998061715394785,1e-4,1.0007002100350035
2016-02-29,3509.0959,-0.046395853932708064,0.046395853932708064,0.35090958999999994,1.7536528247221366,3627.06005859375,-0.0013491069275127776,1.5976478619507768,2e-4,1.0009003500770104
2016-03-31,3288.2984,-0.06292147786556634,0.06292147786556634,0.32882984,1.8639952521167786,3873.110107421875,0.06783732412843513,1.706028017805033,2e-4,1.0011005301470257
