x,t2,t5,t100
-6,0.004268984766599014,6.884815401374298e-4,7.179752524579449e-8
-5.99,0.00428926940527944,6.945572067848856e-4,7.506777231726933e-8
-5.98,0.004309680956319067,7.006942579889548e-4,7.84842202983027e-8
-5.97,0.00433022039923536,7.068933883613057e-4,8.205326743791519e-8
-5.96,0.004350888722490092,7.131553011631503e-4,8.578158519764502e-8
-5.95,0.004371686923583174,7.194807084220107e-4,8.967612958854833e-8
-5.94,0.004392616009147581,7.258703310501693e-4,9.374415296294465e-8
-5.93,0.00441367699504539,7.32324898964824e-4,9.79932162784163e-8
-5.92,0.004434870906464957,7.388451512099819e-4,1.0243120185219714e-7
-5.91,0.004456198778019271,7.45431836080128e-4,1.070663266247895e-7
-5.9,0.00447766165384541,7.520857112456655e-4,1.119071559522617e-7
-5.89,0.004499260587705252,7.588075438801987e-4,1.1696261794747774e-7
-5.88,0.0045209966430873084,7.655981107896296e-4,1.2224201839115548e-7
-5.87,0.004542870893309831,7.724581985431624e-4,1.277550562344738e-7
-5.86,0.004564884421625096,7.793886036061899e-4,1.3351183971569065e-7
-5.85,0.0045870383213249604,7.863901324751134e-4,1.3952290311405861e-7
-5.84,0.004609333695847661,7.934636018141269e-4,1.4579922416516921e-7
-5.83,0.0046317716588858936,8.006098385939998e-4,1.5235224216269996e-7
-5.82,0.004654353334496191,8.078296802328691e-4,1.5919387677244012e-7
-5.81,0.004677079857209612,8.151239747390938e-4,1.6633654758541905e-7
-5.8,0.004699952372143714,8.224935808561825e-4,1.7379319443785477e-7
-5.79,0.004722972035115943,8.299393682098562e-4,1.8157729852669724e-7
-5.78,0.00474614001275832,8.374622174572403e-4,1.8970290435048898e-7
-5.77,0.004769457482633544,8.450630204382503e-4,1.9818464250638266e-7
-5.76,0.0047929256333524755,8.527426803291868e-4,2.070377533751686e-7
-5.75,0.004816545664693035,8.605021117985883e-4,2.1627811172735516e-7
-5.74,0.004840318787720568,8.683422411653608e-4,2.2592225228443942e-7
-5.73,0.0048642462249096,8.762640065592244e-4,2.3598739627075746e-7
-5.72,0.004888329210267138,8.842683580835235e-4,2.464914789924742e-7
-5.71,0.004912568989457409,8.923562579804266e-4,2.5745317848158895e-7
-5.7,0.004936966819928147,9.005286807985474e-4,2.688919452441582e-7
-5.69,0.004961523971038381,9.087866135630356e-4,2.8082803315320366e-7
-5.68,0.004986241724187812,9.171310559481793e-4,2.9328253152829706e-7
-5.67,0.005011121372947739,9.255630204525336e-4,3.062773984451444e-7
