month,corp_index,high_yield_index,corp_return,high_yield_return,corp_growth,high_yield_growth
2002-09-30,1287.29,331.5,0.019377266752189648,-0.015560966918097052,3.830080333234153,3.287711990479028
2002-10-31,1270.86,328.71,-0.012763246820840735,-0.008416289592760196,3.7811960725974374,3.2600416542695667
2002-11-30,1288.41,349.27,0.013809546291487784,0.06254753430075133,3.8334126747991633,3.4639492214618706
2002-12-31,1328.32,354.35,0.030976164419711072,0.014544621639419386,3.9521570961023467,3.514331052266195
2003-01-31,1332.92,364.99,0.0034630209588051297,0.030026809651474418,3.9658434989586397,3.6198552018248575
2003-02-28,1360.72,369.9,0.0208564655043062,0.013452423354064491,4.048556977090147,3.668551026480218
2003-03-31,1361.96,379.66,9.112822623316141e-4,0.02638550959718855,4.052246355251409,3.7653476147971876
2003-04-30,1387.85,401.73,0.019009368850773756,0.0581309592793553,4.1292770008925865,3.9842308836655804
2003-05-31,1432.09,406.33,0.03187664372950971,0.011450476688322997,4.260904492710497,4.02985222651989
2003-06-30,1429.74,417.71,-0.001640958319658603,0.028006792508552092,4.253912526033914,4.142715461668159
2003-07-31,1369.38,412.05,-0.042217466112719704,-0.013550070623159494,4.074323118119603,4.086581374590901
2003-08-31,1380.13,417.31,0.007850268004498284,0.012765441087246643,4.106307646533765,4.13874838837648
2003-09-30,1429.39,428.64,0.03569228985675266,0.027150080276053812,4.252871169294848,4.25111573936329
2003-10-31,1413.33,437.53,-0.011235562022960943,0.02074001493094446,4.205087771496573,4.339283943270858
2003-11-30,1420.22,443.57,0.00487501149766878,0.013804767673073925,4.225587622731325,4.399186749975212
2003-12-31,1438.7,454.1,0.013012068552759493,0.02373920688955522,4.280571258553997,4.503619954378664
2004-01-31,1454.19,461.43,0.010766664349760147,0.016141818982602807,4.3266587325200785,4.576316572448682
2004-02-29,1471.1,460.92,0.011628466706551377,-0.0011052597360379224,4.376971139541798,4.571258554001791
2004-03-31,1486.18,464,0.010250832710216873,0.006682287598715586,4.421838738470688,4.60180501834772
2004-04-30,1440,460.94,-0.031072952132312426,-0.006594827586206886,4.284439155013384,4.571456907666375
2004-05-31,1429.8,453.69,-0.00708333333333333,-0.015728728250965385,4.254091044332039,4.4995537042546925
2004-06-30,1436.75,460.29,0.004860819695062357,0.014547378165707947,4.274769413864917,4.565010413567397
2004-07-31,1454.11,466.49,0.012082825822167909,0.013469769058636949,4.326420708122577,4.626500049588423
2004-08-31,1488.21,474.97,0.023450770574440893,0.01817831036035078,4.42787860755727,4.71060200337202
2004-09-30,1495.99,481.58,0.005227756835392894,0.013916668421163347,4.451026480214217,4.776157889517016
2004-10-31,1511.11,490.87,0.010107019431947917,0.019290668217118778,4.496013091341857,4.8682931667162626
2004-11-30,1495.4,495.97,-0.01039633117377281,0.010389716218143441,4.44927105028265,4.918873351185171
2004-12-31,1516.6,503.45,0.014176808880566938,0.015081557352259134,4.512347515620346,4.9930576217395695
2005-01-31,1528.87,502.94,0.008090465514967615,-0.0010130102294170218,4.548854507587022,4.987999603292679
2005-02-28,1519.03,510.13,-0.006436126027719813,0.014295939873543606,4.51957750669443,5.05930774571061
2005-03-31,1502.67,496.19,-0.010770030874966197,-0.027326367788602868,4.470901517405529,4.921055241495595
2005-04-30,1523.58,490.87,0.01391523088901736,-0.01072169934903966,4.533115144302285,4.8682931667162634
2005-05-31,1542.36,499.66,0.01232623163864055,0.017906981481858875,4.588991371615585,4.955469602300911
2005-06-30,1554.79,509.17,0.008059078295598932,0.019032942400832642,4.625974412377262,5.049786769810582
2005-07-31,1538.69,517.16,-0.010355096186623225,0.015692204961014866,4.578072002380238,5.129029058811871
2005-08-31,1563.76,519.03,0.01629308047754896,0.0036159022352850734,4.652662897947033,5.147575126450471
2005-09-30,1539.02,513.83,-0.015820842072952424,-0.010018688707781664,4.579053853019928,5.0960031736586435
2005-10-31,1523.19,510.09,-0.010285766266845076,-0.0072786719342974315,4.5319547753644684,5.058911038381444
2005-11-30,1531.36,512.55,0.005363743196843407,0.004822678350879128,4.556263016959232,5.0833085391252695
2005-12-31,1546.51,517.24,0.009893166858217617,0.00915032679738581,4.601338887235935,5.129822473470208
2006-01-31,1543.26,525.44,-0.0021015059715100426,0.015853375609001796,4.591669146087467,5.2111474759496295
2006-02-28,1549.4,528.76,0.003978590775371771,0.006318514007308096,4.60993751859565,5.244074184270565
2006-03-31,1529.88,532.06,-0.012598425196850394,0.006241016718359749,4.551859565605469,5.276802538926916
2006-04-30,1523.8,535.48,-0.003974167908594284,0.0064278464834794935,4.533769711395411,5.310721015570774
2006-05-31,1522.58,535.15,-8.006300039375969e-4,-6.162695152014397e-4,4.530139839333525,5.307448180105138
2006-06-30,1523.72,533.12,7.487291308174715e-4,-0.0037933289731850728,4.533531686997911,5.287315283149867
2006-07-31,1546.3,538.8,0.014818995615992314,0.010654261704681867,4.600714073192495,5.343647723891709
2006-08-31,1575.23,547.52,0.01870917674448691,0.016184112843355747,4.686789645938702,5.430129921650314
2006-09-30,1592.34,554.72,0.010861905880411138,0.013150204558737721,4.737697113954173,5.501537240900538
2006-10-31,1606.07,562.82,0.008622530364118308,0.01460196134987024,4.778548051175239,5.581870475057039
2006-11-30,1628.82,571.81,0.014165011487668577,0.015973135283038786,4.846236239214512,5.671030447287525
2006-12-31,1614.19,578.1,-0.008981962402229815,0.01100015739493898,4.802707527521564,5.73341267479918
2007-01-31,1614.72,584.31,3.2833805190213283e-4,0.010742086144265528,4.804284439155006,5.795001487652496
2007-02-28,1647.49,592.45,0.020294540229885083,0.013930961304787104,4.901785182981248,5.875731429138167
2007-03-31,1639.46,593.83,-0.004874081178034451,0.0023293104903368,4.8778934840821115,5.88941783199446
2007-04-30,1651.59,601.69,0.007398777646298038,0.013236111344997692,4.913983933353161,5.967370822175954
2007-05-31,1635.24,605.97,-0.00989955134143461,0.007113297545247477,4.865337697113946,6.009818506396919
2007-06-30,1627.38,595.76,-0.004806633888603473,-0.016849018928329795,4.8419518000594985,5.908558960626811
2007-07-31,1632.03,577.05,0.002857353537587981,-0.031405263864643596,4.855786968164229,5.722999107408522
2007-08-31,1648.1,583.48,0.009846632721212112,0.01114288189931556,4.90360011901219,5.786769810572263
2007-09-30,1657.34,597.74,0.005606455918937048,0.02443956947967374,4.931091936923527,5.928195973420622
2007-10-31,1675.35,601.36,0.010866810672523375,0.0060561448121256856,4.984677179410881,5.964097986710318
2007-11-30,1690.08,589.05,0.008792192676157162,-0.020470267393907227,5.028503421600705,5.842011306158894
2007-12-31,1689.14,590.78,-5.561866893873946e-4,0.0029369323486971854,5.025706634930072,5.859168898145406
2008-01-31,1709.1,582.75,0.011816664101258478,-0.013592200142184874,5.085093722106507,5.77952990181495
2008-02-29,1710.33,575.83,7.196770229944693e-4,-0.011874731874731759,5.08875334721808,5.710899533868902
2008-03-31,1687.63,572.84,-0.013272292481567805,-0.0051925047322994855,5.0212139244272445,5.681245661013601
2008-04-30,1697.29,596.71,0.005724003484175899,0.04166957614691702,5.049955370425459,5.917980759694549
2008-05-31,1681.84,599.26,-0.009102746142379936,0.0042734326557287705,5.003986908658128,5.943270851929002
2008-06-30,1675.39,583.21,-0.0038350853826759623,-0.02678303240663482,4.984796191609631,5.78409203610038
2008-07-31,1660.96,573.86,-0.008612919976841216,-0.016031961043192045,4.941862540910434,5.691361697907381
2008-08-31,1672.62,575.71,0.007020036605336566,0.0032237828041683514,4.976554596846167,5.709709411881398
2008-09-30,1549.89,527.94,-0.07337590128062543,-0.08297580379010261,4.61139541803034,5.235941684022625
2008-10-31,1435.49,441.9,-0.07381168986186126,-0.1629730651210366,4.271020529604276,4.382624218982455
2008-11-30,1491.16,404.63,0.038781182732028796,-0.08434034849513461,4.436655757215107,4.012992165030258
2008-12-31,1573.98,434.88,0.05554065291450949,0.07475965697056575,4.683070514727751,4.313002082713488
2009-01-31,1579.22,457.96,0.003329140141552056,0.05307211184694616,4.69866111276405,4.54190221164337
2009-02-28,1554.62,442.09,-0.015577310317751891,-0.034653681544239645,4.625468610532571,4.3845085787960025
2009-03-31,1551.4,456.69,-0.002071245706346092,0.033024949670881654,4.615888128533166,4.52930675394229
2009-04-30,1599.25,509.05,0.030843109449529393,0.11465107622238291,4.758256471288298,5.04859664782308
2009-05-31,1668.57,545.26,0.04334531811786779,0.07113250171888819,4.964504611722693,5.4077159575523295
2009-06-30,1719.22,562.6,0.03035533420833403,0.031801342478817496,5.11520380839035,5.579688584746617
2009-07-31,1787.09,597.39,0.03947720477891137,0.061837895485246985,5.317137756620044,5.9247247842904045
2009-08-31,1825.74,609.54,0.021627338298574772,0.020338472354743065,5.432133293662591,6.045224635525155
2009-09-30,1862.31,645.96,0.020030234315948636,0.05974997539127869,5.540940196370118,6.406426658732536
2009-10-31,1877.52,657.5,0.008167276124812828,0.017864883274506083,5.5861945849449475,6.5208767231974765
2009-11-30,1904.09,664.16,0.01415164685329584,0.010129277566539807,5.665248437964882,6.586928493503932
2009-12-31,1885,684.98,-0.010025786596221775,0.03134786798361855,5.608449866111267,6.793414658335829
2010-01-31,1922.86,695.36,0.02008488063660474,0.015153727116120175,5.7210949122284935,6.8963602102549
2010-02-28,1930.07,696.44,0.0037496229574696116,0.0015531523239762368,5.742546861053248,6.907071308142435
2010-03-31,1936.76,718,0.0034661955265871125,0.030957440698409,5.762451651294248,7.1208965585639366
2010-04-30,1970.81,734.08,0.017580908321113586,0.02239554317548742,5.863760785480502,7.280372904889435
2010-05-31,1959.55,708.23,-0.005713386881535998,-0.035214145597210145,5.830258851532272,7.024000793414675
2010-06-30,1999.87,717.47,0.02057615268811719,0.013046609152393973,5.950223147872647,7.115640186452461
2010-07-31,2040.8,742.33,0.02046633031147027,0.03464953238462942,6.072002380243965,7.362193791530316
2010-08-31,2085.47,743.49,0.021888475107800787,0.0015626473401317842,6.2049092531984424,7.3736983040761865
2010-09-30,2097.78,765.56,0.00590274614355546,0.02968432662174325,6.2415352573638705,7.592581572944578
2010-10-31,2102.19,784.13,0.0021022223493407655,0.02425675322639642,6.2546563522761,7.7767529505107795
2010-11-30,2084.21,775.38,-0.008552985220175113,-0.011158863963883547,6.201160368937808,7.6899732222553
2010-12-31,2064.45,789.04,-0.009480810474952195,0.017617168356160784,6.142368342755124,7.825448775166139
2011-01-31,2069.34,805.62,0.0023686696214488823,0.02101287640677274,6.156917584052357,7.989883963106236
2011-02-28,2084,816.4,0.007084384393091447,0.01338099848563834,6.200535554894368,8.096796588316987
2011-03-31,2084.57,819.83,2.7351247600782e-4,0.004201371876531246,6.202231478726562,8.130814241793136
2011-04-30,2119.97,832.29,0.016981919532565337,0.015198272812656288,6.30755727462064,8.254388574828939
2011-05-31,2150.32,836.36,0.014316240324155682,0.004890122433286459,6.397857780422485,8.294753545571774
2011-06-30,2132.41,827.96,-0.008328992894081066,-0.010043521928356225,6.344570068432005,8.211445006446514
2011-07-31,2181.34,838.18,0.022945868758822208,0.012343591477849136,6.490151740553397,8.312803729048913
2011-08-31,2183.58,804.6,0.0010268917271034628,-0.0400629936290533,6.496816423683418,7.979767926212456
2011-09-30,2180.66,775.67,-0.0013372535011312303,-0.03595575441213028,6.48812853317464,7.692849350391767
2011-10-31,2218.92,821.87,0.017545146882136597,0.05956141142496163,6.601963701279371,8.1510463155807
2011-11-30,2177.51,803.7,-0.018662232076866125,-0.022108119288938632,6.47875632252305,7.970842011306178
2011-12-31,2219.45,823.62,0.019260531524539326,0.024785367674505343,6.603540612912813,8.168402261231796
2012-01-31,2267.9,847.53,0.021829732591407858,0.029030378086981834,6.7476941386492015,8.405534067241911
2012-02-29,2287.15,866.84,0.008488028572688489,0.022783854258846326,6.804968759297818,8.597044530397719
2012-03-31,2273.65,866.03,-0.005902542465513805,-9.344284989156737e-4,6.764802142219568,8.589011206982068
2012-04-30,2302.66,874.88,0.012759219756778739,0.010219045529600512,6.851115739363276,8.676782703560468
2012-05-31,2315.99,864.32,0.005788957119157834,-0.012070226773957526,6.890776554596837,8.57205196866014
2012-06-30,2327.55,881.89,0.004991385973169393,0.020328119215105467,6.925171080035696,8.746305662997143
2012-07-31,2392.89,898.79,0.028072436682348156,0.01916338772409265,7.1195775066944265,8.913914509570585
2012-08-31,2402.45,909.63,0.003995169021559608,0.012060659330878298,7.1480214221957645,9.021422195775088
2012-09-30,2420.2,922.59,0.007388291119482249,0.014247551202137165,7.200833085391243,9.149955370425491
2012-10-31,2452.05,930.2,0.013160069415750986,0.008248517759784857,7.295596548646228,9.225428939799684
