t,s,trend
0,100,100
0.01,99.42354618925766,100.05
0.02,99.65584266763372,100.09971177309463
0.03,98.87291785369845,100.14953969442844
0.04,100.49965498965882,100.19897615335529
0.05,100.8810589909922,100.24922598085011
0.060000000000000005,100.10380232590316,100.2996665103456
0.06999999999999999,100.64178924218814,100.34971841150855
0.08,101.43517333046839,100.40003930612964
0.09,102.06993572918785,100.45075689279487
0.09999999999999999,101.80926096655755,100.50179186065947
0.11,103.39929883207222,100.55269649114274
0.12,103.85409365448193,100.60439614055878
0.13,103.26083692697364,100.65632318738602
0.14,101.0255497065169,100.70795360584951
0.15000000000000002,102.21253012524281,100.75846638070277
0.16,102.21770861165437,100.80957264576539
0.17,102.25226815000225,100.86068150007121
0.18000000000000002,103.26848821712402,100.91180763414621
0.19,104.16818517432897,100.96344187825477
0.2,104.83892549495478,101.01552597084194
0.21000000000000002,105.8547909596381,101.06794543358941
0.22,106.73564710127623,101.12087282906923
0.23,106.86860234233266,101.17424065261987
0.24000000000000002,104.79604429046115,101.22767495379104
0.25,105.4979951778938,101.28007297593626
0.26,105.49152948056103,101.33282197352521
0.27,105.37992418241586,101.3855677382655
0.28,103.88273639744294,101.4382577003567
0.29000000000000004,103.43796240430895,101.49019906855543
0.3,103.92199161942246,101.54191804975758
0.31,105.38591946490699,101.59387904556729
0.32,105.33028863308195,101.64657200529975
0.33,105.79128940480248,101.69923714961628
0.34,105.78726400330746,101.75213279431868
0.35000000000000003,104.38340400644405,101.80502642632034
0.36000000000000004,104.0024102568334,101.85721812832357
0.37,103.6443404067025,101.90921933345199
0.38,103.63468759811173,101.96104150365534
0.39,104.82651279966625,102.0128588474544
0.4,105.67893657970687,102.06527210385423
0.41000000000000003,105.55790926105324,102.11811157214407
0.42000000000000004,105.34324492326299,102.1708905267746
0.43,106.13012038130267,102.22356214923623
0.44,106.77397276436409,102.27662720942688
0.45,106.09194793303496,102.33001419580906
0.46,105.39439851344848,102.38306016977558
0.47000000000000003,105.83134467878784,102.4357573690323
0.48000000000000004,106.69760907944112,102.4886730413717
0.49,106.63108716172523,102.54202184591142
0.5,107.62393745309019,102.59533738949229
0.51,108.10620664550007,102.64914935821884
0.52,107.49862123141013,102.70320246154158
0.53,107.91906950705592,102.75695177215728
0.54,106.75423089716298,102.81091130691081
0.55,108.33742144393656,102.8642884223594
0.56,110.53710433897811,102.91845713308136
0.5700000000000001,110.18645690455068,102.97372568525086
0.5800000000000001,109.09105518295121,103.02881891370313
0.59,109.76711386370398,103.0833644412946
0.6,109.6737518798158,103.13824799822646
0.61,112.36253305951331,103.19308487416637
0.62,112.37462326499946,103.24926614069614
0.63,113.20590258669642,103.30545345232863
0.64,113.29420563458117,103.36205640362198
0.65,112.50876725970049,103.41870350643927
0.66,112.77742953219517,103.47495789006912
0.67,110.7982323011784,103.53134660483522
0.68,112.47744029734466,103.58674572098582
0.6900000000000001,112.7060544494843,103.64298444113449
0.7000000000000001,115.21107236888326,103.69933746835923
0.7100000000000001,115.81651753252923,103.75694300454367
0.72,115.05219055865537,103.81485126330993
0.73,115.81237070194285,103.87237735858926
0.74,114.78847627541592,103.93028354394023
0.75,113.40684383533947,103.98767778207794
0.76,113.79406723443441,104.04438120399561
0.77,113.34652441579667,104.10127823761283
0.78,113.40445055566158,104.15795149982073
0.79,113.5454591511294,104.21465372509856
0.8,112.93285761556365,104.27142645467413
0.81,112.34711019403328,104.32789288348191
0.8200000000000001,112.25141448143836,104.38406643857893
0.8300000000000001,113.6299595061544,104.44019214581965
0.8400000000000001,111.95554614752993,104.49700712557272
0.85,112.67647961878552,104.55298489864649
0.86,113.10797461575598,104.60932313845588
0.87,114.36697929715055,104.66587712576376
0.88,114.07627682183103,104.72306061541234
0.89,114.5554186421349,104.78009875382325
0.9,114.91867248941317,104.83737646314432
0.91,114.35267500805311,104.89483579938903
0.92,115.79108049225998,104.95201213689306
0.93,117.19261875927975,105.0099076771392
0.9400000000000001,118.07181378143595,105.06850398651883
0.9500000000000001,120.00445272979366,105.12753989340955
0.9600000000000001,120.73466353472838,105.18754211977445
0.97,119.25374155890339,105.24790945154182
0.98,118.62972797414221,105.30753632232127
0.99,117.23628822433834,105.36685118630834
1,116.73990903385867,105.42546933042051
