x,norm_cdf,norm_density,mixture_density,norm_density_one_two
-0.7999999999999998,0.21185539858339666,0.2896915527614828,0.0075204705562366666,0.13304262494937744
-0.75,0.22662735237686824,0.30113743215480443,0.008639793734584948,0.13602749918927176
-0.6999999999999993,0.24196365222307326,0.31225393336676144,0.009900930167623641,0.1389924430654983
-0.6499999999999995,0.2578461108058649,0.32297235966791443,0.011317822651688045,0.14193327676244366
-0.5999999999999996,0.27425311775007377,0.3332246028917997,0.012905179068947557,0.1448457763807414
-0.5499999999999998,0.2911596867883464,0.3429438550193839,0.014678424712393749,0.14772568367078148
-0.5,0.30853753872598694,0.3520653267642995,0.01665363829894048,0.15056871607740221
-0.4499999999999993,0.3263552202879203,0.36052696246164806,0.01884747040764497,0.15337057706412002
-0.39999999999999947,0.34457825838967604,0.3682701403033234,0.021277043233130306,0.1561269666833807
-0.34999999999999964,0.36316934882438107,0.375240346916938,0.02395983074142622,0.15883359235757413
-0.2999999999999998,0.38208857781104744,0.38138781546052414,0.026913518558295286,0.16148617983395716
-0.25,0.4012936743170763,0.38666811680284924,0.030155843209067612,0.16408048427518754
-0.1999999999999993,0.42074029056089723,0.391042693975456,0.03370441066320454,0.16661230144589986
-0.14999999999999947,0.4403823076297577,0.39447933090788895,0.037576494514060685,0.16907747895465575
-0.09999999999999964,0.4601721627229712,0.3969525474770118,0.04178881454100391,0.17147192750969195
-0.04999999999999982,0.4800611941616276,0.39844391409476404,0.04635729685208154,0.17379163214617405
0,0.5,0.3989422804014327,0.05129681728417997,0.17603266338214976
0.05000000000000071,0.5199388058383727,0.398443914094764,0.056620930235982234,0.17819118826009167
0.09999999999999964,0.5398278372770289,0.3969525474770118,0.06234158561742019,0.18026348123082397
0.15000000000000036,0.5596176923702426,0.3944793309078889,0.06846883710684076,0.18224593483675325
0.20000000000000107,0.5792597094391034,0.3910426939754558,0.07501054540167967,0.1841350701516617
0.25,0.5987063256829237,0.38666811680284924,0.08197208061706861,0.18592754693488447
0.3000000000000007,0.6179114221889529,0.381387815460524,0.08935602841578037,0.187620173458469
0.34999999999999964,0.636830651175619,0.375240346916938,0.09716190482823546,0.18920991596690973
0.40000000000000036,0.6554217416103243,0.3682701403033233,0.10538588502895078,0.19069390773026207
0.45000000000000107,0.6736447797120804,0.3605269624616478,0.11402055156220621,0.1920694576528524
0.5,0.691462461274013,0.3520653267642995,0.12305466764216375,0.19333405840142462
0.5500000000000007,0.7088403132116539,0.3429438550193838,0.13247298117973694,0.19448539401837475
0.5999999999999996,0.7257468822499262,0.3332246028917997,0.14225606510052113,0.19552134698772794
0.6500000000000004,0.7421538891941354,0.3229723596679142,0.1523801993075579,0.19644000472368964
0.7000000000000011,0.7580363477769274,0.31225393336676105,0.162817299304622,0.19723966545394447
0.75,0.7733726476231317,0.30113743215480443,0.1735348960281097,0.19791884347237476
0.8000000000000007,0.7881446014166035,0.28969155276148256,0.18449617083955078,0.1984762737385059
0.8499999999999996,0.8023374568773075,0.2779848861309966,0.1956600489108479,0.19891091580374856
0.9000000000000004,0.8159398746532407,0.26608524989875476,0.20698135339862636,0.19922195704738202
0.9500000000000011,0.8289438736915185,0.25405905646918875,0.21841102186409,0.1994088152081909
1,0.8413447460685429,0.24197072451914337,0.2298963853656381,0.19947114020071635
1.0500000000000007,0.8531409436241042,0.22988214068423282,0.24138150955137658,0.1994088152081909
1.0999999999999996,0.8643339390536172,0.21785217703255064,0.25280759592880686,0.19922195704738202
1.1500000000000004,0.8749280643628499,0.20593626871997464,0.26411344031305983,0.19891091580374856
1.200000000000001,0.8849303297782919,0.1941860549832127,0.275235944278685,0.19847627373850588
1.25,0.8943502263331448,0.18264908538902191,0.2861106742902797,0.19791884347237476
1.3000000000000007,0.9031995154143898,0.1713685920478072,0.29667246209176,0.19723966545394445
1.3499999999999996,0.9114920085625979,0.16038332734191968,0.3068560389204853,0.19644000472368964
1.4000000000000004,0.919243340766229,0.1497274656357448,0.3165966952074989,0.19552134698772794
1.450000000000001,0.9264707403903518,0.13943056644536006,0.3258309566539168,0.1944853940183747
1.5,0.9331927987311419,0.12951759566589174,0.334497266958761,0.19333405840142462
1.5500000000000007,0.9394292419979411,0.12000900069698547,0.3425366670348118,0.19206945765285238
1.6000000000000014,0.9452007083004421,0.11092083467945532,0.3498934603021877,0.190693907730262
1.6500000000000004,0.9505285319663519,0.10226492456397797,0.35651585360578275,0.18920991596690973
1.700000000000001,0.9554345372414571,0.09404907737688675,0.362356563469044,0.1876201734584689
1.75,0.9599408431361829,0.08627731882651153,0.36737337777438706,0.18592754693488447
1.8000000000000007,0.9640696808870742,0.07895015830089407,0.3715296635460807,0.18413507015166164
1.8500000000000014,0.9678432252043864,0.07206487433621782,0.3747948122955853,0.18224593483675317
1.9000000000000004,0.9712834401839983,0.06561581477467655,0.3771446153579089,0.18026348123082397
1.950000000000001,0.9744119404783614,0.05959470606881594,0.37856156278143527,0.1781911882600916
2,0.9772498680518208,0.05399096651318806,0.3790350606094012,0.17603266338214976
2.0500000000000007,0.9798177845942956,0.04879201857918268,0.3785615627814352,0.173791632146174
2.1000000000000014,0.9821355794371835,0.04398359598042705,0.37714461535790883,0.1714719275096919
2.1500000000000004,0.9842223926089095,0.039550041589370186,0.3747948122955852,0.1690774789546557
2.200000000000001,0.9860965524865014,0.03547459284623136,0.3715296635460806,0.16661230144589978
2.25,0.9877755273449553,0.03173965183566742,0.36737337777438706,0.16408048427518754
2.3000000000000007,0.9892758899783242,0.02832703774160112,0.3623565634690439,0.1614861798339571
2.3500000000000014,0.9906132944651614,0.025218219915194306,0.35651585360578253,0.15883359235757402
2.4000000000000004,0.9918024640754038,0.022394530294842882,0.34989346030218743,0.1561269666833806
2.450000000000001,0.9928571892647285,0.019837354391795275,0.34253666703481156,0.1533705770641199
2.5,0.9937903346742238,0.01752830049356854,0.334497266958761,0.15056871607740221
2.5500000000000007,0.9946138540459333,0.015449347134395141,0.32583095665391654,0.14772568367078145
2.6000000000000014,0.9953388119762813,0.013582969233685566,0.31659669520749856,0.14484577638074128
2.6500000000000004,0.9959754114572417,0.011912243607605169,0.3068560389204853,0.14193327676244363
2.700000000000001,0.9965330261969594,0.010420934814422567,0.2966724620917597,0.13899244306549818
2.75,0.9970202367649454,0.009093562501591053,0.2861106742902797,0.13602749918927176
2.8000000000000007,0.997444869669572,0.007915451582979946,0.2752359442786846,0.13304262494937738
2.8500000000000014,0.9978140385450868,0.006872766690613947,0.26411344031305944,0.13004194668499777
2.9000000000000004,0.998134186699616,0.005952532419775849,0.25280759592880686,0.12702952823459449
2.950000000000001,0.9984111303526352,0.005142640923053925,0.24138150955137622,0.1240093623053685
3,0.9986501019683699,0.0044318484119380075,0.2298963853656381,0.12098536225957168
3.0500000000000007,0.9988557931689773,0.0038097620982218,0.2184110218640896,0.11796135433843621
3.1000000000000014,0.9990323967867817,0.0032668190561999074,0.20698135339862594,0.11494107034211641
3.1500000000000004,0.9991836476871714,0.002794258414879442,0.1956600489108479,0.11192814078161972
3.200000000000001,0.9993128620620841,0.0023840882014648343,0.1844961708395504,0.10892608851627521
3.25,0.9994229749576092,0.002029048057299768,0.1735348960281097,0.10593832288784974
3.3000000000000007,0.9995165758576162,0.0017225689390536767,0.1628172993046216,0.10296813435998732
3.3500000000000014,0.999595942198136,0.0014587308046667396,0.1523801993075575,0.10001868966924378
3.4000000000000004,0.9996630707343231,0.0012322191684730175,0.14225606510052113,0.09709302749160646
3.450000000000001,0.9997197067231838,0.0010382812956614075,0.13247298117973658,0.09419405462606312
3.5,0.9997673709209645,8.726826950457602e-4,0.12305466764216375,0.09132454269451096
3.5500000000000007,0.9998073844243643,7.316644628303089e-4,0.11402055156220589,0.0884871253550898
3.6000000000000014,0.9998408914098424,6.119019301137692e-4,0.1053858850289505,0.0856842960239036
3.6500000000000004,0.9998688798455795,5.104649743441847e-4,0.09716190482823546,0.08291840609805234
3.700000000000001,0.9998922002665226,4.2478027055074997e-4,0.0893560284157801,0.08019166367095976
3.75,0.9999115827147992,3.525956823674454e-4,0.08197208061706861,0.07750613272914661
3.8000000000000007,0.9999276519560749,2.919469257914595e-4,0.07501054540167945,0.0748637328178724
3.8500000000000014,0.999940941087581,2.4112658022599215e-4,0.06846883710684054,0.07226623916146638
3.9000000000000004,0.9999519036559824,1.9865547139277237e-4,0.06234158561742019,0.06971528322268011
3.950000000000001,0.9999609244034022,1.6325640876624142e-4,0.056620930235982025,0.0672123536840395
4,0.9999683287581669,1.3383022576488537e-4,0.05129681728417997,0.06475879783294587
4.050000000000001,0.9999743911835259,1.0943404343980016e-4,0.04635729685208146,0.06235582333117857
4.100000000000001,0.9999793424930875,8.92616571771323e-5,0.04178881454100374,0.06000450034849274
4.15,0.9999833762362703,7.262593030225232e-5,0.03757649451406061,0.057705764039174975
4.200000000000001,0.9999866542509841,5.8943067756539645e-5,0.03370441066320441,0.05546041733972773
4.25,0.9999893114742251,4.771863654120495e-5,0.030155843209067612,0.05326913406529254
4.300000000000001,0.999991460094529,3.8535196742086994e-5,0.026913518558295223,0.051132462281988984
4.350000000000001,0.9999931931234006,3.104140705784999e-5,0.02395983074142611,0.04905082793204885
4.4,0.9999945874560923,2.4942471290053535e-5,0.021277043233130222,0.04702453868844345
4.450000000000001,0.99999570648553,1.999179670692272e-5,0.01884747040764469,0.04505378801564902
4.5,0.9999966023268753,1.5983741106905475e-5,0.01665363829893947,0.043138659413255766
4.550000000000001,0.9999973177042204,1.2747332381833396e-5,0.014678424712388822,0.04127913081929579
4.600000000000001,0.9999978875452975,1.014085206548667e-5,0.012905179068924655,0.03947507915044703
4.65,0.9999983403248557,8.047182456492295e-6,0.01131782265158567,0.03772628495664509
4.700000000000001,0.9999986991925461,6.369825178867068e-6,0.009900930167182881,0.03603243716810896
4.75,0.9999989829167575,5.029507288592445e-6,0.008639793732761658,0.03439313791334595
4.800000000000001,0.999999206671848,3.961299091032061e-6,0.007520470548989246,0.03280790738733828
4.850000000000001,0.999999382692628,3.112175579148917e-6,0.00652981563275231,0.03127618874982995
4.9,0.9999995208167234,2.438960745893352e-6,0.005655501052029033,0.029797353034408027
4.950000000000001,0.9999996289325921,1.9066009031228006e-6,0.004886023140993534,0.02837070404991198
5,0.9999997133484281,1.4867195147342977e-6,0.0042106991761823006,0.02699548325659403
5.050000000000001,0.9999997790949677,1.1564119035797777e-6,0.003619654969520532,0.025670874600384704
5.100000000000001,0.9999998301732593,8.972435162383264e-7,0.0031038047852955317,0.02439600928959134
5.15,0.9999998697567705,6.944202353855341e-7,0.0026548249199769575,0.023169970499354608
5.200000000000001,0.9999999003557368,5.361035344697591e-7,0.0022651222002117387,0.021991797990213578
5.25,0.9999999239503948,4.1284709886299984e-7,0.0019277985592405095,0.020860492628169306
5.300000000000001,0.9999999420986596,3.171349216715963e-7,0.0016366127489948982,0.019775020794685093
5.350000000000001,0.999999956022884,2.4300385410805107e-7,0.0013859401375138692,0.01873431867611686
5.4,0.9999999666795515,1.8573618445552894e-7,0.0011707314319662138,0.017737296423115712
5.450000000000001,0.99999997481509,1.41610071301611e-7,9.864710590079032e-4,0.016782842171588756
5.5,0.9999999810104375,1.0769760042543276e-7,8.291358285629766e-4,0.01586982591783371
5.550000000000001,0.9999999857165202,8.17019037854318e-8,6.951544061350764e-4,0.014997103241472637
5.600000000000001,0.9999999892824097,6.182620500165795e-8,5.81368023801092e-4,0.01416351887080056
5.65,0.9999999919776081,4.666886797594254e-8,4.849927721244099e-4,0.013367910086124113
5.700000000000001,0.9999999940096286,3.513955094820416e-8,4.035837350502675e-4,0.01260910995759718
5.75,0.9999999955378276,2.6392432035705735e-8,3.3500115781730987e-4,0.011885950414956903
5.800000000000001,0.999999996684254,1.9773196406244592e-8,2.7737877419446564e-4,0.011197265147421441
5.850000000000001,0.999999997542135,1.4777079586479906e-8,2.2909436387271513e-4,0.010541892332832035
5.9,0.9999999981824922,1.1015763624682298e-8,1.88742563370273e-4,0.009918677195897656
5.950000000000001,0.9999999986592876,8.191338403479136e-9,1.5510991396880597e-4,0.00932647439613494
6,0.9999999990134123,6.075882849823286e-9,1.2715209749921758e-4,0.00876415024678427
6.050000000000001,0.9999999992757709,4.495501831013224e-9,1.0397328467215412e-4,0.008230584766623623
6.100000000000001,0.9999999994696577,3.317884243547266e-9,8.48075004839934e-5,0.007724673567197571
6.15,0.9999999996125852,2.4426348268070457e-9,6.900189638016993e-5,0.007245329578524219
6.200000000000001,0.9999999997176842,1.7937839079640722e-9,5.6001808675488316e-5,0.006791484616842801
6.25,0.9999999997947736,1.314001818155884e-9,4.533747657779882e-5,0.006362090798415716
6.300000000000001,0.9999999998511772,9.60143337031228e-10,3.661229042465685e-5,0.005956121803802584
6.350000000000001,0.9999999998923426,6.998265948579734e-10,2.9492440845663273e-5,0.005572573997382391
6.4,0.9999999999223115,5.088140281645047e-10,2.3697841972679864e-5,0.005210467407211296
6.450000000000001,0.999999999944075,3.69013261612454e-10,1.8994206051247274e-5,0.004868846570571994
6.5,0.99999999995984,2.669556614762852e-10,1.518615242567089e-5,0.0045467812507955264
6.550000000000001,0.9999999999712315,1.9264181479359002e-10,1.2111240495979908e-5,0.004243367031119355
6.600000000000001,0.9999999999794421,1.386679994165301e-10,9.634823547418885e-6,0.003957725791489973
6.65,0.9999999999853454,9.956717905497001e-11,7.64562805191333e-6,0.003689006074323395
6.700000000000001,0.999999999989579,7.131328123996027e-11,6.051970902441601e-6,0.0034363833453069825
6.75,0.9999999999926077,5.094937958843684e-11,4.778534874891682e-6,0.0031990601553617782
6.800000000000001,0.9999999999947691,3.630961501791774e-11,3.7636302663895608e-6,0.0029762662098879243
6.850000000000001,0.9999999999963075,2.5811821449986383e-11,2.956878017749386e-6,0.0027672583513902436
