strike,iv,call,put,left_call,right_call,fly,density_weight
64,0.2906,19.652,0.148,20.644,18.663,0.0030000000000001137,0.0031282586027112794
65,0.2789,18.663,0.159,19.652,17.677,0.0030000000000001137,0.0031282586027112794
66,0.2679,17.677,0.173,18.663,16.694,0.0030000000000001137,0.0031282586027112794
67,0.2576,16.694,0.19,17.677,15.715,0.003999999999997783,0.004171011470279236
68,0.2481,15.715,0.211,16.694,14.742,0.006000000000000227,0.006256517205422559
69,0.2392,14.742,0.238,15.715,13.776,0.006999999999997897,0.007299270072990516
70,0.2311,13.776,0.272,14.742,12.818,0.008000000000002672,0.008342022940565881
71,0.2237,12.818,0.314,13.776,11.87,0.010000000000001563,0.010427528675705499
72,0.2169,11.87,0.366,12.818,10.936,0.013999999999999346,0.014598540145984735
73,0.2107,10.936,0.432,11.87,10.019,0.01699999999999946,0.017726798748696013
74,0.2052,10.019,0.515,10.936,9.123,0.020999999999997243,0.02189781021897525
75,0.2003,9.123,0.619,10.019,8.253,0.0259999999999998,0.027111574556829852
76,0.1961,8.253,0.749,9.123,7.413,0.030000000000001137,0.03128258602711279
77,0.1924,7.413,0.909,8.253,6.611,0.038000000000000256,0.039624608967674974
78,0.1894,6.611,1.107,7.413,5.851,0.041999999999999815,0.04379562043795606
79,0.187,5.851,1.347,6.611,5.142,0.051000000000000156,0.053180396246089896
80,0.1852,5.142,1.638,5.851,4.488,0.054999999999999716,0.05735140771637098
81,0.1842,4.488,1.984,5.142,3.894,0.0600000000000005,0.06256517205422374
82,0.1839,3.894,2.39,4.488,3.363,0.06300000000000061,0.06569343065693502
83,0.1845,3.363,2.859,3.894,2.898,0.06599999999999984,0.06882168925964537
84,0.1859,2.898,3.394,3.363,2.495,0.06200000000000028,0.06465067778936429
85,0.188,2.495,3.991,2.898,2.152,0.0600000000000005,0.06256517205422374
86,0.1904,2.152,4.648,2.495,1.861,0.0519999999999996,0.054223149113659705
87,0.1927,1.861,5.357,2.152,1.614,0.04400000000000004,0.045881126173097066
88,0.195,1.614,6.11,1.861,1.402,0.0349999999999997,0.03649635036496323
89,0.1974,1.402,6.898,1.614,1.22,0.03000000000000025,0.03128258602711187
90,0.1999,1.22,7.716,1.402,1.062,0.02400000000000002,0.02502606882168931
91,0.2026,1.062,8.558,1.22,0.925,0.020999999999999908,0.02189781021897803
92,0.2055,0.925,9.421,1.062,0.807,0.019000000000000128,0.019812304483837487
93,0.2087,0.807,10.303,0.925,0.706,0.016999999999999904,0.01772679874869648
94,0.2122,0.706,11.202,0.807,0.619,0.014000000000000234,0.014598540145985661
95,0.2158,0.619,12.115,0.706,0.544,0.01200000000000001,0.012513034410844654
96,0.2198,0.544,13.04,0.619,0.481,0.01200000000000001,0.012513034410844654
97,0.224,0.481,13.977,0.544,0.427,0.009000000000000119,0.009384775808133607
98,0.2284,0.427,14.923,0.481,0.381,0.008000000000000007,0.008342022940563102
99,0.2331,0.381,15.877,0.427,0.342,0.007000000000000006,0.007299270072992715
100,0.238,0.342,16.838,0.381,0.309,0.005999999999999894,0.006256517205422212
