strike,call,put,iv,left_call,right_call,fly,density_weight
7900,1.08,NaN,0.1502,1.26,0.93,0.029999999999999805,5.829487490891349e-4
7950,0.93,NaN,0.152,1.08,0.9,0.11999999999999988,0.0023317949963565527
8000,0.9,NaN,0.1559,0.93,0.8049999999999999,0,0
8100,0.71,NaN,0.1603,0.8049999999999999,0.63,0.015000000000000124,2.914743745445718e-4
8200,0.55,NaN,0.1643,0.63,0.565,0.09499999999999975,0.0018460043721156012
8300,0.58,NaN,0.173,0.565,0.49,0,0
8400,0.4,NaN,0.1746,0.49,0.375,0.06499999999999995,0.0012630556230264663
8500,0.35,NaN,0.17989999999999998,0.375,0.32499999999999996,0,0
8600,0.3,NaN,0.1846,0.32499999999999996,0.3125,0.03749999999999998,7.286859363614229e-4
8800,0.35,NaN,0.2015,0.33749999999999997,0.3125,0,0
