date,fx_rate,ccy
2022-05-18,63.5428,USD
2022-05-17,63.4445,USD
2022-05-14,63.7799,USD
2022-05-13,65.7916,USD
2022-05-12,68.8389,USD
2022-05-07,67.3843,USD
2022-05-06,66.2378,USD
2022-05-05,69.416,USD
2022-04-30,71.0237,USD
2022-04-29,72.2953,USD
2022-04-28,72.8764,USD
2022-04-27,72.7089,USD
2022-04-26,73.3611,USD
2022-04-23,73.505,USD
2022-04-22,74.999,USD
2022-04-21,77.0809,USD
2022-04-20,79.0287,USD
2022-04-19,79.4529,USD
2022-04-16,80.0437,USD
2022-04-15,81.288,USD
2022-04-14,79.8471,USD
2022-04-13,79.6274,USD
2022-04-12,79.1596,USD
2022-04-09,74.8501,USD
2022-04-08,76.2547,USD
2022-04-07,82.5962,USD
2022-04-06,83.352,USD
2022-04-05,83.5932,USD
2022-04-02,83.4285,USD
2022-04-01,83.4097,USD
2022-03-31,84.0851,USD
2022-03-30,86.2843,USD
2022-03-29,93.7125,USD
2022-03-26,95.6618,USD
2022-03-25,96.0458,USD
2022-03-24,103.1618,USD
2022-03-23,104.0741,USD
2022-03-22,104.6819,USD
2022-03-19,103.9524,USD
2022-03-18,104.8012,USD
2022-03-17,108.0521,USD
2022-03-16,111.4823,USD
2022-03-15,115.1963,USD
2022-03-12,116.7517,USD
2022-03-11,120.3785,USD
2022-03-10,116.0847,USD
2022-03-06,105.8124,USD
2022-03-05,105.8124,USD
2022-03-04,111.7564,USD
2022-03-03,103.2487,USD
2022-03-02,91.7457,USD
2022-03-01,93.5589,USD
2022-02-26,83.5485,USD
2022-02-25,86.9288,USD
2022-02-23,80.4194,USD
2022-02-22,76.7671,USD
2022-02-19,75.7619,USD
2022-02-18,75.7527,USD
2022-02-17,75.0141,USD
2022-02-16,76.166,USD
2022-02-15,76.5762,USD
2022-02-12,74.9867,USD
2022-02-11,74.7241,USD
2022-02-10,74.8015,USD
2022-02-09,75.3042,USD
2022-02-08,75.6806,USD
2022-02-05,76.0509,USD
2022-02-04,76.6501,USD
2022-02-03,76.4849,USD
2022-02-02,77.1302,USD
2022-02-01,77.4702,USD
2022-01-29,77.8174,USD
2022-01-28,78.947,USD
2022-01-27,78.9437,USD
2022-01-26,78.6422,USD
2022-01-25,77.3649,USD
2022-01-22,76.6903,USD
2022-01-21,76.4408,USD
2022-01-20,76.8697,USD
2022-01-19,76.3347,USD
2022-01-18,76.0404,USD
2022-01-15,75.7668,USD
2022-01-14,74.5686,USD
2022-01-13,74.5277,USD
2022-01-12,74.8355,USD
2022-01-11,75.1315,USD
2021-12-31,74.2926,USD
2021-12-30,73.6514,USD
2021-12-29,73.4959,USD
2021-12-28,73.2329,USD
2021-12-25,73.1886,USD
2021-12-24,73.3583,USD
2021-12-23,73.7901,USD
2021-12-22,73.8206,USD
2021-12-21,74.2947,USD
2021-12-18,73.733,USD
2021-12-17,73.5708,USD
2021-12-16,73.851,USD
2021-12-15,73.4698,USD
2021-12-14,73.4107,USD
2021-12-11,73.6059,USD
2021-12-10,73.5998,USD
2021-12-09,73.8453,USD
2021-12-08,74.1399,USD
2021-12-07,73.6694,USD
2021-12-04,73.7426,USD
2021-12-03,74.0637,USD
2021-12-02,73.9746,USD
2021-12-01,74.8926,USD
2021-11-30,74.9818,USD
2021-11-27,75.5873,USD
2021-11-26,74.6004,USD
2021-11-25,74.3726,USD
2021-11-24,74.8327,USD
2021-11-23,73.4506,USD
2021-11-20,72.7617,USD
2021-11-19,72.6022,USD
2021-11-18,72.8228,USD
2021-11-17,72.5553,USD
2021-11-16,72.2724,USD
2021-11-13,71.8118,USD
2021-11-12,71.1964,USD
2021-11-11,70.695,USD
2021-11-10,71.2866,USD
2021-11-09,71.3975,USD
2021-11-04,71.4876,USD
2021-11-03,71.4783,USD
2021-11-02,71.0863,USD
2021-10-30,70.52,USD
2021-10-29,70.5207,USD
