path,t,stock_price
1,0,100
1,0.05,98.95502821001199
1,0.1,103.51389031544689
1,0.15000000000000002,108.07461698098348
1,0.2,109.63612008530555
1,0.25,104.16257381989278
1,0.30000000000000004,101.01260421248364
1,0.35000000000000003,100.06275898014081
1,0.4,100.08718359229532
1,0.45,108.54161726290803
1,0.5,111.4061878270441
2,0,100
2,0.05,96.26589473864162
2,0.1,95.37750589051495
2,0.15000000000000002,94.4664063735434
2,0.2,93.21226299672095
2,0.25,94.04530383780767
2,0.30000000000000004,91.31345771877815
2,0.35000000000000003,92.69818934184988
2,0.4,88.96812320929564
2,0.45,88.34004060720898
2,0.5,89.50452660734614
3,0,100
3,0.05,102.77899693198825
3,0.1,102.62721004616814
3,0.15000000000000002,104.42113814460923
3,0.2,108.34140939319221
3,0.25,105.90576007854776
3,0.30000000000000004,101.48392084555582
3,0.35000000000000003,101.68757414027709
3,0.4,100.93096576173572
3,0.45,99.15311288616238
3,0.5,97.765238599903185
4,0,100
4,0.05,102.51238772153918
4,0.1,106.5972209910071
4,0.15000000000000002,110.25248042005329
4,0.2,108.72309146685129
4,0.25,113.38347830944859
4,0.30000000000000004,112.37523990233373
4,0.35000000000000003,119.25248757598328
4,0.4,121.56978808170489
4,0.45,119.78987296486588
4,0.5,116.54402151407525
5,0,100
5,0.05,96.53124046853003
5,0.1,91.63867024644131
5,0.15000000000000002,95.30500017508167
5,0.2,98.04509110014178
5,0.25,97.34293441726832
5,0.30000000000000004,98.25873655638088
5,0.35000000000000003,97.06750605858291
5,0.4,105.39656381706044
5,0.45,102.66703164156436
5,0.5,102.52307578236606
6,0,100
6,0.05,102.13997704243458
6,0.1,101.59473654646061
6,0.15000000000000002,94.33359146404483
6,0.2,90.45856770004247
6,0.25,91.59361494047627
6,0.30000000000000004,91.59975406074548
6,0.35000000000000003,88.79370471990232
6,0.4,88.48812438619873
6,0.45,86.13974969206818
6,0.5,86.88055445118103
7,0,100
7,0.05,101.27926734269809
7,0.1,102.17134306704219
7,0.15000000000000002,102.44013407209505
7,0.2,102.55083173596591
7,0.25,103.48508402243147
7,0.30000000000000004,101.30102471163609
7,0.35000000000000003,100.94108047777071
7,0.4,103.26002004593337
7,0.45,107.19133336434265
7,0.5,107.75661745026224
8,0,100
8,0.05,97.02958994447229
8,0.1,92.502472564534
8,0.15000000000000002,90.1015780739656
8,0.2,94.01350153315464
8,0.25,96.5223262340279
8,0.30000000000000004,95.85619154240533
8,0.35000000000000003,94.5414150983221
8,0.4,93.2629081131331
8,0.45,96.47654575713179
8,0.5,95.63009323903134
9,0,100
9,0.05,102.23742499592261
9,0.1,106.83820250489737
9,0.15000000000000002,103.79968772134718
9,0.2,103.87427076065043
9,0.25,100.89429624859187
9,0.30000000000000004,102.97745001903694
9,0.35000000000000003,103.4370261120686
9,0.4,102.50751209241588
9,0.45,107.68485155540921
9,0.5,108.56270917639324
10,0,100
10,0.05,102.70204614715037
10,0.1,100.1046021038808
10,0.15000000000000002,98.10047717431965
10,0.2,98.29685979973387
10,0.25,94.68118401257215
10,0.30000000000000004,96.57274185492504
10,0.35000000000000003,92.55253082275561
10,0.4,97.78126986983797
10,0.45,96.19493155110256
10,0.5,101.80975954873217
