date,benchmark_growth,risk_free_growth,personal_growth,green_growth,yellow_growth,red_growth
2015-10-31,1,1,1,1,1,1
2015-11-30,1.034775429732248,1.009041095890411,1.0178428831,1.0717618695536637,1.057302963730185,1.0212203353796272
2015-12-31,1.0347343617248992,1.0184680277725653,1.0183684816,1.0430323382776325,1.0533968407314345,1.0504962927529298
2016-01-31,1.0499468675340085,1.0279830304429884,1.0457762427,1.052976010992839,1.0900029261087862,1.093574769459725
2016-02-29,1.0824498201894728,1.036967320489874,1.0226814013,1.0594279703314513,1.1087764685118182,1.1163862978022268
2016-03-31,1.1006725903269157,1.046655152168971,1.0221389726,1.0733411263529358,1.10462743203764,1.1110978234872038
2016-04-30,1.1499442722501216,1.0561180617639234,1.0207486638,1.1152251645690228,1.1039860104132315,1.125116266709187
2016-05-31,1.1193849772378546,1.065984808587526,1.0340788359,1.1133719129109407,1.1272731917344394,1.112267134391028
2016-06-30,1.121140791044182,1.0756224794596874,1.0300641237,1.110481886736859,1.111827053036883,1.1074237954768926
2016-07-31,1.1787098692105737,1.0852146744477458,1.1097782834999999,1.185081461838299,1.1861850508353344,1.1863722129208853
2016-08-31,1.1952362684185778,1.0948924107911084,1.1172631049999997,1.1927216501374793,1.2235955838980415,1.1892523054027477
2016-09-30,1.2004662016586622,1.1043414822814974,1.1164105644999998,1.1942609780377287,1.2129436189927683,1.1814724016051448
2016-10-31,1.2099111379429606,1.1137208208981348,1.0873238773999998,1.1870572539106228,1.2056636461173322,1.1944079034786996
2016-11-30,1.2800057645113816,1.1228746906589415,1.1242850044999997,1.243217938815158,1.2113728094824503,1.2676293550187352
2016-12-31,1.365720032213404,1.1324114346070038,1.1991901599999997,1.3275684264296266,1.2144308253949088,1.3143851816418184
2017-01-31,1.356704800774284,1.1420291755584606,1.2280710149999998,1.3254797319531701,1.233695303827629,1.3329280608041665
2017-02-28,1.2455813178195796,1.1507899473161693,1.1595201957999999,1.2331641174129928,1.1550075939489928,1.2319421191102602
2017-03-31,1.221187263644006,1.16056377974543,1.1248230070999998,1.2260609039627366,1.1187888696395314,1.1977165218315657
2017-04-30,1.234655142581085,1.1698641881173624,1.1367109290999997,1.2260306130738228,1.0916429404142072,1.1689787132265004
2017-05-31,1.1655354565814837,1.1795516251271836,1.1092144467999998,1.1619295846981441,1.0429701397565292,1.1008896064205795
2017-06-30,1.1658764409272975,1.1885194491264384,1.1301964533,1.1708213374528942,1.0462891831511871,1.1156853756411274
2017-07-31,1.2174480941272636,1.1976042964225007,1.1567318454,1.2288476657427945,1.0780662601078483,1.176163995854261
2017-08-31,1.2829280091673414,1.2067585867978945,1.2148241051999997,1.2653495637423569,1.1190754425158962,1.2403066783597751
2017-09-30,1.3200803829387031,1.21568529415229,1.2374625708999998,1.3013076026000598,1.1788688499463549,1.2667457280289134
2017-10-31,1.3162821856353297,1.224461542782677,1.2582924244999998,1.2831495915549,1.180614761522134,1.2851989157298886
2017-11-30,1.3394332894699748,1.2327643984494911,1.2734509307999995,1.28028159511821,1.2046896699070613,1.3147904541709847
2017-12-31,1.353571798977901,1.241402192830408,1.2458310000999997,1.2814312720383427,1.199802139310646,1.3097411570862894
2018-01-31,1.4698637236518133,1.2495733401407505,1.3258997081999995,1.3697484892419154,1.2904906109064902,1.4460456031252487
2018-02-28,1.474233059853289,1.2570023104095325,1.3596664442999995,1.3674532659774112,1.2987993664742248,1.4730726301522756
2018-03-31,1.4577467695508268,1.265009242934744,1.3884417958999993,1.3473635223347118,1.2900075707259073,1.4665417630019395
2018-04-30,1.480879231928081,1.2725473117111359,1.3985449478999996,1.3674078296440408,1.2934213643098331,1.5039231709585688
2018-05-31,1.4809269738292148,1.2803830653633845,1.3820519987999995,1.3628256442665543,1.2975090918380143,1.5026807781232556
2018-06-30,1.4943085019516298,1.288012745273427,1.3920834678999996,1.370169807969533,1.315077820559862,1.5294154774243263
2018-07-31,1.5413957977097252,1.2959437278624735,1.4114447295999992,1.4130314157823791,1.3623093965248976,1.5885819447766345
2018-08-31,1.5604593014180344,1.3039235457484213,1.4604753192999993,1.3926511549778258,1.3773913972401686,1.5979165005713671
