x,x1,x2,avg
-4,0.0044318484119380075,1.4867195147342977e-6,1.0737544099093775e-5
-3.99,0.004566589954670144,1.5628671089492902e-6,1.132500441240648e-5
-3.98,0.004704957526933979,1.6427505880450713e-6,1.1943012679084097e-5
-3.97,0.004847032905978944,1.7265445216770643e-6,1.2593066620862599e-5
-3.96,0.004992899213612376,1.8144311901820303e-6,1.3276732418990736e-5
-3.95,0.005142640923053939,1.9066009031228108e-6,1.3995647582545097e-5
-3.94,0.00529634386531102,2.0032523299485e-6,1.4751523923829785e-5
-3.93,0.005454095235056545,2.1045928431831295e-6,1.5546150644228716e-5
-3.92,0.005615983595990969,2.2108388745684212e-6,1.6381397533957197e-5
-3.91,0.005782098885669473,2.322216284597997e-6,1.7259218289235244e-5
-3.9,0.005952532419775854,2.438960745893352e-6,1.8181653950483982e-5
-3.89,0.006127376895823687,2.5613181408845308e-6,1.915083646522272e-5
-3.88,0.0063067263962659275,2.6895449742715233e-6,2.0168992379423453e-5
-3.87,0.006490676390993364,2.823908800755821e-6,2.1238446661156357e-5
-3.86,0.00667932373920262,2.964688668545283e-6,2.2361626660439667e-5
-3.85,0.006872766690613971,3.1121755791489445e-6,2.3541066209282178e-5
-3.84,0.007071104886019449,3.266672963993275e-6,2.477940986598689e-5
-3.83,0.007274439357141218,3.428497178405039e-6,2.6079417307859982e-5
-3.82,0.007482872525780564,3.5979780135212474e-6,2.7443967876547285e-5
-3.81,0.007696508202237322,3.7754592267013287e-6,2.8876065280294553e-5
-3.8,0.007915451582979969,3.961299091032075e-6,3.0378842457506374e-5
-3.79,0.008139809247546021,4.155870964531201e-6,3.195556660604908e-5
-3.78,0.008369689154653033,4.359563879671652e-6,3.360964438282272e-5
-3.77,0.008605200637499671,4.5727831538641446e-6,3.5344627278192116e-5
-3.76,0.008846454398237232,4.795951021552522e-6,3.7164217169946094e-5
-3.75,0.009093562501591053,5.029507288592445e-6,3.907227206151795e-5
-3.74,0.009346638367612283,5.273910009601303e-6,4.1072812009271986e-5
-3.73,0.009605796763539587,5.5296361889840515e-6,4.317002524372699e-5
-3.7199999999999998,0.009871153794751144,5.797182506357287e-6,4.5368274489650454e-5
-3.71,0.010142826894787077,6.077066067111115e-6,4.7672103490024574e-5
-3.7,0.010420934814422592,6.36982517886709e-6,5.008624373893874e-5
-3.69,0.010705597609772187,6.6760201546074854e-06,5.2615621428528505e-5
-3.68,0.010996936629405572,6.996234143270405e-6,5.526536461512984e-5
-3.67,0.011295074500456135,7.331073988623945e-6,5.804081060987716e-5
-3.66,0.01160013511370256,7.681171117250455e-6,6.0947513599014376e-5
-3.65,0.01191224360760518,8.047182456492295e-6,6.399125249924312e-5
-3.64,0.012231526351277971,8.429791383228741e-6,6.717803905346757e-5
-3.63,0.012558110926378211,8.829708704374098e-6,7.051412617234282e-5
-3.62,0.012892126107895304,9.247673670005617e-6,7.400601652705633e-5
-3.61,0.013233701843821374,9.684455020051471e-6,7.766047139881913e-5
-3.6,0.013582969233685613,1.0140852065486758e-5,8.148451979055293e-5
-3.59,0.013940060505935825,1.0617695805008393e-5,8.548546780629546e-5
-3.58,0.01430510899414969,1.111585007817779e-5,8.967090830385134e-5
-3.57,0.014678249112060044,1.1636212756042667e-5,9.404873082624001e-5
-3.56,0.01505961632737745,1.2179716970268655e-5,9.86271318174831e-5
-3.55,0.015449347134395174,1.2747332381833466e-5,1.0341462512828904e-4
-3.54,0.015847579025360818,1.334006649035584e-5,1.0842005281717363e-4
-3.53,0.016254450460600506,1.3958965985154821e-5,1.1365259625255809e-4
-3.52,0.016670100837381057,1.4605118139152942e-5,1.1912178752135e-4
-3.51,0.017094670457496956,1.527965224676162e-5,1.248375211495015e-4
-3.5,0.01752830049356854,1.5983741106905475e-5,1.3081006613999737e-4
