month,dy_ru,hml_ru,liq_ru,mom_ru,pe_ru,rmrf_ru,rmrf_ru_fixed,smb_ru,soe_ru
2004-12-31,1,1,1,1,1,1,1,1,
2005-01-31,0.963774,0.950924,1.087471,1.036032,1.059716,1.074718,1.0315506248006179,1.036169,
2005-02-28,0.8743627584720001,0.880439611272,1.155782665807,1.050948788736,1.130407534928,1.2106429590500003,1.1281200850857451,1.1256111080799998,
2005-03-31,0.8871284547456912,0.7926465754340125,1.2744295353654176,1.2039879513517364,1.2420318877795353,1.1724338566194232,1.0493670629120697,1.2082107024131266,
2005-04-30,0.9488362229293467,0.7481878216644942,1.2972978989480144,1.302229756218184,1.3147093836929549,1.1646676547531762,1.0308551911917971,1.1831596617092925,
2005-05-31,1.0625732209718874,0.5691517132549323,1.3917152400334512,1.2945049293042976,1.4209549931173338,1.2103715428610002,1.036848749306898,1.151518422876201,
2005-06-30,1.1380148570876705,0.6428073439223929,1.4200269031614516,1.2982395760253405,1.3745451820871284,1.2901277653062833,1.0895891114772298,1.2350599329374465,
2005-07-31,1.009305376751055,0.6041231979651432,1.4436788712605086,1.3526565860940187,1.2978015754808399,1.4045646783444812,1.1808646692896563,1.3162824143671448,
2005-08-31,1.0383955763197739,0.6114578577116381,1.5872772775481776,1.4902799251329824,1.2612230380759124,1.6143321993611945,1.3173023177464955,1.2783274109488683,
2005-09-30,1.0293334981252311,0.8082451744325477,1.5386002452776077,1.5164492406183177,1.0347553069129254,1.8140848227135506,1.4850083549736102,1.3596213643207504,
2005-10-31,1.0287879513712246,0.829612752109021,1.5793223779693701,1.5141260403816903,1.0328741217649577,1.7496666706589925,1.3854488627556625,1.4184616981044595,
2005-11-30,1.0968577061737017,0.9581944325583982,1.541224384245615,1.5759780891312825,1.0224369287645227,1.868920451597768,1.5384194770771855,1.4475103752199407,
2005-12-31,1.0209090848828222,1.140361567104238,1.5692484672243532,1.6768785103098238,0.9548845208810509,1.9707710094484916,1.6323408472828271,1.50598255682695,
2006-01-31,1.0426799711179484,0.9539808725767214,1.5584944074784648,1.579461930131885,0.9845852490185351,2.261784910558703,1.881426855732338,1.5022989234929514,
2006-02-28,1.2589901872061937,1.0388613207142352,1.5943491298169143,1.4996232884875784,0.9207496643984184,2.4128450011650977,2.1040285696868004,1.6518678043159098,
2006-03-31,1.5369613716492618,1.0357862912049212,1.7112707232520377,1.3727881499938759,1.0003650463796208,2.4902852614774917,2.052073150615521,1.7541597180981725,
2006-04-30,1.1805338817183115,1.2497921684033522,1.4638295330234092,1.1465059880777853,1.0012653749213625,2.779061230683683,2.3282404612609233,1.6251219750751529,
2006-05-31,1.083600244690421,1.299603885067236,1.5409616387774787,1.1486660053593238,0.9774122298946107,2.392138093658055,1.9829441519776911,1.6895791879725588,
2006-06-30,1.1090540144381988,1.437339803618317,1.4183134200239016,1.211483103194409,0.9800541751520158,2.3755988508785033,2.0484894143907417,1.5571888315405928,
2006-07-31,1.123571531487195,1.4111313496391404,1.3719331528757,1.0600380234302824,0.977786329790714,2.4339150514698686,2.1037068723131065,1.5518788176250395,
2006-08-31,1.1399644401315931,1.4096482505906698,1.4110648021951737,0.9467729606267568,0.9399430654688239,2.5348349051640153,2.195794468141526,1.545668198596904,
2006-09-30,0.9583567051742292,1.3707588746533745,1.448922259773268,0.9667366152745325,1.0067316599287768,2.4483032460064313,2.0515374639206176,1.7580507374251118,
2006-10-31,1.0213111571371243,1.2743506614812532,1.5119851522076395,0.9693816066539237,1.0451837756797562,2.577571209092325,2.120969424342267,1.7919301331860311,
2006-11-30,0.656897123159027,1.3030235513645814,1.4754132553460413,1.0270452715257323,1.0949345234021128,2.790916778068897,2.2856981626208723,1.7668449032515599,
2006-12-31,0.6520952051887345,1.3157514854143106,1.5028943026401167,1.0801887020555598,1.208187980895687,2.99748090156411,2.476473263918343,1.8705728338316525,1
2007-01-31,0.6173391828473802,1.3815627432117634,1.584567590622791,1.0611698195784676,1.2538405719418115,2.9862133708551304,2.4140794988504686,2.1073125316813863,0.987556
2007-02-28,0.540518112273035,1.575418101088265,1.75510984669875,1.1681590831280078,1.2612419928379839,3.026607879122688,2.3921724509772337,2.3348833192901908,0.9784418456759999
2007-03-31,0.5610734755646664,1.5423847343446464,1.670736451038401,1.1413708590337164,1.2521938427813644,3.1073638305534397,2.432738714968577,2.433882372028095,1.0294343209052503
2007-04-30,0.533219543943734,1.4181826612268094,1.7255833872530897,1.1413514557291127,1.3080229052617716,3.0370907975254737,2.4105889775071003,2.5639320088126722,1.0181445147078825
2007-05-31,0.5144032926770475,1.362460846284547,1.827506695604581,1.1974968165393391,1.3089529095474126,2.836433245623763,2.2088049064365407,2.6735118989373174,1.0155899901204806
2007-06-30,0.49946604986429144,1.3576772462532418,1.7481252872676047,1.2653146537504114,1.2882740714823826,2.9944027223722873,2.325601188674048,2.389852286460068,1.0046947407064681
2007-07-31,0.5065424848587687,1.4654700312195177,1.797191667830632,1.3030969493113989,1.2637053966651421,3.1204101833324356,2.407392665427546,2.4004345523845134,1.054362829908033
2007-08-31,0.525159440804783,1.723927653275548,1.8498206286313843,1.2373426772491456,1.2306228530858454,3.067506749084217,2.3080823876803462,2.5095439045285994,1.1002191781063932
2007-09-30,0.5412834111158122,1.8022680976233487,1.7672742328993374,1.3191928953491765,1.1714089732639137,3.1589705978216616,2.402812127892097,2.5198656586079258,1.1449452881347744
2007-10-31,0.5394073228128848,1.8928446854056054,1.7183543148584508,1.3666099647796073,1.1254124285197329,3.3609014753462154,2.5398491278489987,2.4029312927202247,1.1843359858277631
