target_return,std_dev,stocks,bonds,reit,gold
5.5,3.503097165465515,5.263157894736835,94.73684210526318,6.087965874506333e-16,-1.0474173102303041e-17
5.550000000000001,3.505480912752296,6.140350877192987,93.85964912280701,9.897404342157763e-16,1.7968194571925072e-16
5.6000000000000005,3.51321122678927,7.017543859649125,92.98245614035089,1.3706842809809127e-15,3.6983806454080117e-16
5.65,3.5262529452373403,7.894736842105261,92.10526315789474,1.7516281277460492e-15,5.599941833623516e-16
5.7,3.544547440639103,8.771929824561399,91.22807017543862,2.1325719745111854e-15,7.501503021839021e-16
5.75,3.5680139152582857,9.649122807017523,90.35087719298248,2.5135158212763176e-15,0
5.800000000000001,3.5963819367429894,10.455927526829607,89.32117630813084,2.8562726361669762e-15,0.22289616503955947
5.8500000000000005,3.6292789393280107,11.253585749235945,88.27165801223347,3.1940672943733714e-15,0.4747562385305914
5.9,3.6665802191224253,12.05124397164228,87.2221397163361,3.5318619525797675e-15,0.726616312021623
5.95,3.7081528671781125,12.848902194048616,86.17262142043873,3.8696566107861635e-15,0.9784763855126546
6,3.7538549743902014,13.646560416454957,85.12310312454136,4.207451268992558e-15,1.2303364590036863
6.050000000000001,3.8035376888415713,14.444218638861306,84.07358482864397,4.54524592719896e-15,1.4821965324947224
6.1000000000000005,3.857047190716481,15.241876861267645,83.02406653274662,4.883040585405356e-15,1.7340566059857538
6.15,3.9142265406694237,16.03953508367399,81.97454823684923,0,1.9859166794767897
6.2,3.9749173691083626,16.837193306080326,80.92502994095186,0,2.2377767529678216
6.25,4.038961385070323,17.634851528486667,79.87551164505449,0,2.489636826458854
6.300000000000001,4.106201693564312,18.43250975089302,78.8259933491571,0,2.7414968999498903
6.3500000000000005,4.176483918999697,19.23016797329936,77.77647505325972,0,2.993356973440922
6.4,4.249650135470546,19.981990354488858,76.73128116803541,0.04909045262030329,3.2376380248554355
6.45,4.325394800652787,20.591159080978855,75.69954602973391,0.25096379939565233,3.4583310898915824
6.5,4.4035193926112415,21.200327807468845,74.66781089143242,0.4528371461710007,3.6790241549277294
6.550000000000001,4.483899514114048,21.80949653395885,73.63607575313091,0.6547104929463532,3.8997172199638803
6.6000000000000005,4.566416058159933,22.418665260448844,72.60434061482943,0.8565838397217016,4.120410285000027
6.65,4.650955313884384,23.027833986938838,71.57260547652794,1.05845718649705,4.341103350036174
6.7,4.737408996409077,23.637002713428835,70.54087033822644,1.2603305332723989,4.561796415072321
6.75,4.8256742139048026,24.24617143991883,69.50913519992496,1.462203880047748,4.782489480108468
6.800000000000001,4.915653383855863,24.85534016640883,68.47740006162346,1.6640772268230992,5.003182545144617
6.8500000000000005,5.00725410915616,25.464508892898824,67.44566492332196,1.865950573598448,5.223875610180764
6.9,5.1003890233087805,26.073677619388825,66.41392978502047,2.0678239203737974,5.444568675216911
6.95,5.1949756126950115,26.682846345878815,65.38219464671899,2.269697267149145,5.665261740253058
7,5.290936022660162,27.29201507236881,64.35045950841749,2.4715706139244946,5.885954805289205
7.050000000000001,5.388196853052953,27.901183798858813,63.31872437011599,2.6734439606998457,6.106647870325356
7.1000000000000005,5.486688947862486,28.510352525348807,62.286989231814495,2.8753173074751954,6.327340935361503
7.15,5.586347182723496,29.119521251838805,61.255254093513,3.077190654250544,6.548034000397649
7.2,5.6871102533034215,29.7286899783288,60.22351895521152,3.2790640010258922,6.768727065433796
7.25,5.788920466936376,30.337858704818792,59.19178381691002,3.480937347801242,6.989420130469943
7.300000000000001,5.891723539320276,30.9470274313088,58.16004867860851,3.682810694576593,7.210113195506095
7.3500000000000005,5.995468397633847,31.556196157798787,57.12831354030703,3.8846840413519415,7.430806260542242
7.4,6.100106991049544,32.165364884288785,56.096578402005534,4.086557388127291,7.6514993255783885
7.45,6.205594109306266,32.774533610778775,55.06484326370404,4.288430734902638,7.8721923906145355
7.5,6.311887209752844,33.38370233726877,54.03310812540255,4.490304081677989,8.092885455650684
7.550000000000001,6.41894625307038,33.99287106375878,53.001372987101036,4.69217742845334,8.313578520686834
7.6000000000000005,6.526733547721308,34.602039790248774,51.96963784879956,4.89405077522869,8.534271585722982
7.65,6.635213603048137,35.211208516738765,50.937902710498065,5.095924122004038,8.754964650759128
7.7,6.74435299084939,35.82037724322876,49.90616757219657,5.297797468779387,8.975657715795275
7.75,6.854120215189034,36.42954596971876,48.87443243389508,5.499670815554737,9.196350780831422
7.800000000000001,6.964485590144231,37.03871469620876,47.84269729559358,5.701544162330087,9.417043845867571
7.8500000000000005,7.075421125160684,37.647883422698754,46.81096215729209,5.903417509105436,9.637736910903719
7.9,7.186900417662214,38.257052149188745,45.779227018990596,6.105290855880786,9.858429975939867
7.95,7.298898552548619,38.86622087567874,44.747491880689104,6.307164202656132,10.079123040976013
8,7.4113920082113545,39.47538960216874,43.71575674238761,6.5090375494314845,10.29981610601216
8.05,7.524358568698181,40.08455832865874,42.68402160408611,6.710910896206834,10.520509171048309
8.1,7.637777241664232,40.69372705514872,41.65228646578464,6.912784242982179,10.741202236084453
8.15,7.7516281817568045,41.302895781638725,40.620551327483135,7.114657589757531,10.961895301120604
8.200000000000001,7.865892619093417,41.91206450812873,39.58881618918162,7.3165309365328834,11.182588366156756
8.25,7.980552792506922,42.52123323461872,38.55708105088015,7.5184042833082305,11.4032814311929
8.3,8.095591887246517,43.130401961108724,37.525345912578636,7.720277630083583,11.62397449622905
8.35,8.210993976839399,43.7395706875987,36.49361077427717,7.922150976858925,11.844667561265192
8.4,8.326743968834037,44.348739414088705,35.46187563597567,8.124024323634277,12.065360626301343
