date,benchmark_growth,strategy_growth,mkt_growth,rf_growth
1959-05-31,6.7039021156770895,8.040376040610608,19.805524469679696,1.453848145186335
1959-06-30,6.712281993321685,8.056521934627344,19.805524469679696,1.4574827655493008
1959-07-31,6.835452367899139,8.12632274549985,20.48287340654274,1.461126472463174
1959-08-31,6.8009333334412485,8.119799114184714,20.23707892566423,1.463902612760854
1959-09-30,6.658793826772326,8.069185699706296,19.328434081901904,1.468440710860413
1959-10-31,6.7213864887439865,8.115628346289048,19.63382334039595,1.472846032992994
1959-11-30,6.792633185524672,8.16408165330467,19.999012454527314,1.4766754326787757
1959-12-31,6.8989378948781335,8.231195318062497,20.556984902008626,1.4816961291498836
1960-01-31,6.680931457399985,8.141322859552687,19.189945406025053,1.4865857263760782
1960-02-29,6.739389607652234,8.188746065209582,19.470118608953015,1.4908968249825687
1960-03-31,6.708051445976651,8.180329853975895,19.220901090758417,1.496114963870008
1960-04-30,6.663442903860906,8.157987328062223,18.92874339417889,1.498957582301361
1960-05-31,6.785383909001561,8.24777051082273,19.57042779524155,1.5030047677735745
1960-06-30,6.87223682303678,8.314027600593006,20.024461720091153,1.506611979216231
1960-07-31,6.799734724553742,8.266452887100725,19.57591377756111,1.5085705747892122
1960-08-31,6.913630281190018,8.3530784246468,20.198427835687554,1.511135144766354
1960-09-30,6.717628862718281,8.210084163364877,19.020859492866972,1.51355296099798
1960-10-31,6.708560063753612,8.209660355779594,18.927657281351923,1.5168827775121756
1960-11-30,6.874596925331514,8.331742946269324,19.839970362313085,1.5188547251229416
1960-12-31,7.047493038003601,8.446813573849466,20.806176918957732,1.5212848926831384
1961-01-31,7.279355558953919,8.579240839990595,22.135691624079133,1.5241753339792363
1961-02-28,7.419483153463783,8.652223965191904,22.956925783332473,1.5263091794468073
1961-03-31,7.541533651338262,8.714097380691136,23.666294790037444,1.529361797805701
1961-04-30,7.565289482339978,8.733181657385282,23.775159746071616,1.5319617128619707
1961-05-31,7.669690477196269,8.78431928775686,24.388558867520263,1.5347192439451223
1961-06-30,7.56691662480184,8.758673955613993,23.68616837213568,1.5377886824330127
1961-07-31,7.687608944967429,8.815751314224745,24.399122040136962,1.5405567020613922
1961-08-31,7.797157372433215,8.8616585229203,25.060338247424678,1.5427134814442782
1961-09-30,7.726593098212694,8.848056287349586,24.56414355012567,1.5453360943627334
1961-10-31,7.840560346411332,8.899082126767812,25.24211391210914,1.5482722329420227
1961-11-30,8.0267736546386,8.958265142856247,26.40325115206616,1.5505946412914358
1961-12-31,8.034800428293238,8.973718150227674,26.405891477181367,1.5535407711098896
1962-01-31,7.898610561033668,8.95506029457366,25.447357616559685,1.5572692689605532
1962-02-28,7.98589020773309,8.993981639965074,25.958849504652534,1.5603838074984744
1962-03-31,7.974709961442263,9.002767427585596,25.8342470270302,1.5635045751134713
1962-04-30,7.729487630127914,8.91957310386415,24.188605491408378,1.566944285178721
1962-05-31,7.413738060437188,8.782027918340974,22.154343769580933,1.5707049514631497
1962-06-30,7.114593729698547,8.591248526199182,20.32217953983659,1.573846361366076
1962-07-31,7.357201375881268,8.750576412061445,21.653282299695885,1.5780957465417642
1962-08-31,7.452477133698931,8.816005201109128,22.164299761968707,1.5817253667588103
1962-09-30,7.273617682490157,8.716274142271581,21.053868343894074,1.5850469900290038
1962-10-31,7.289983322275759,8.736803792595104,21.095976080581863,1.5890096075040763
1962-11-30,7.700773882485998,8.987303327631775,23.431300632702275,1.5921876267190844
1962-12-31,7.75737457052227,9.027935508486399,23.721848760547783,1.5958496582605382
1963-01-31,7.9679872901119495,9.141169225521544,24.950640526344156,1.5998392824061896
1963-02-28,7.891494612126874,9.118883393511547,24.414201755027754,1.6035189127557237
1963-03-31,8.03117406676152,9.196419232588044,25.222311833119168,1.6072070062550619
1963-04-30,8.232354977133896,9.29333714425518,26.42289387637564,1.6112250237706993
1963-05-31,8.324557352877797,9.342901609024542,26.95135175390315,1.615091963827749
1963-06-30,8.260458261260638,9.333679819103041,26.474312827859066,1.6188066753445527
1963-07-31,8.266653604956584,9.352308288408668,26.442543652465634,1.623177453367983
1963-08-31,8.496879907854623,9.452520869582381,27.849286974776803,1.6272353970014029
1963-09-30,8.453120976329172,9.45743092903408,27.487246244104703,1.6316289325733064
1963-10-31,8.58456700751109,9.518089840187248,28.26238658818846,1.6363606564777688
1963-11-30,8.571260928649448,9.531428385532731,28.09846474597697,1.6407788302502588
1963-12-31,8.674544622839672,9.583699003560891,28.694152198591677,1.6455370888579843
1964-01-31,8.797723156483997,9.636302862535992,29.4229836644359,1.6504737001245582
1964-02-29,8.888339704995781,9.677502518524658,29.952597370395747,1.6547649317448818
1964-03-31,8.978556353001489,9.720137293509048,30.467782045166558,1.6598947030332911
1964-04-30,9.009083444601695,9.749225704372586,30.5866063951427,1.6647083976720876
1964-05-31,9.096471554014332,9.786751196273583,31.100461382581095,1.6690366395060348
1964-06-30,9.181523563044365,9.829346218494031,31.588738626287615,1.6740437494245528
1964-07-31,9.288947388731986,9.873878617611707,32.23314889426388,1.6790658806728262
1964-08-31,9.248076020221564,9.887702047676363,31.85924436709042,1.6837672651387101
1964-09-30,9.398357255550167,9.942478085964558,32.805463924793,1.6884818134810982
1964-10-31,9.453337645495134,9.976471234420506,33.094152007331175,1.6933784107401932
1964-11-30,9.480752324667069,10.005403001000325,33.19012504815243,1.6982892081313397
1964-12-31,9.511564769722236,10.036794952915963,33.302971473316155,1.703553904676547
1965-01-31,9.706551847501542,10.102731119759424,34.57514498359683,1.7083238556096412
1965-02-28,9.757025917108551,10.1373610369866,34.83100105647544,1.7134488271764698
1965-03-31,9.726779136765515,10.15813324066702,34.489657246121986,1.7196172429543053
1965-04-30,9.908183567666192,10.227650613613102,35.66920352393936,1.7249480564074637
1965-05-31,9.900752429990442,10.25151749922325,35.505125187729234,1.7302953953823272
1965-06-30,9.662639334049171,10.19194716501422,33.6730607280424,1.7363514292661655
1965-07-31,9.761681387223176,10.248170380960852,34.25897198471034,1.7417341186968907
1965-08-31,9.92714188673661,10.322142244113428,35.30729652744249,1.7474818412885906
1965-09-30,10.099874155565827,10.380108718845417,36.42653782736242,1.7528990349965854
1965-10-31,10.262482129470436,10.432278376369391,37.48655007813867,1.758333022005075
1965-11-30,10.296861444604163,10.468566766916084,37.60650703838871,1.7644871875820929
1965-12-31,10.382840237666608,10.510210822446048,38.11043423270313,1.7703099953011139
1966-01-31,10.459673255425342,10.555229558802193,38.52964900926287,1.7770371732832582
1966-02-28,10.433001088624007,10.583599181581649,38.198294027783206,1.7832568033897496
1966-03-31,10.341712329098547,10.6029093502736,37.38467036499142,1.7900331792426307
1966-04-30,10.487530472938836,10.657867763739185,38.31181019004321,1.796119292052056
1966-05-31,10.233732235493717,10.638728009546805,36.30044015506595,1.8034833811494693
1966-06-30,10.198937545893038,10.663551708235746,35.91565548942225,1.8103366179978373
1966-07-31,10.151512486304634,10.686791833081358,35.45593509915764,1.8166727961608298
1966-08-31,9.791641368665136,10.630812339472376,32.79673996672082,1.8241211546250893
1966-09-30,9.77891223488587,10.654032789758318,32.580281482940464,1.8314176392435895
1966-10-31,10.011650346076156,10.800979523495577,33.984491614855195,1.8396590186201855
1966-11-30,10.121778499882993,10.867635568425298,34.59621246392259,1.8470176546946664
1966-12-31,10.168844769907448,10.91418024279729,34.77957238998138,1.854405725313445
1967-01-31,10.62695122679178,11.175251476493978,37.76365970104178,1.8623796699322928
1967-02-28,10.706653360992718,11.231624411719848,38.194165421633656,1.8690842367440492
1967-03-31,10.962007043652394,11.360491702365984,39.867069867101215,1.876373665267351
1967-04-30,11.210296503191122,11.468453189946754,41.54547350850618,1.8823780609962066
1967-05-31,11.004587562357564,11.462618083439462,39.88365456816593,1.8885899085974942
1967-06-30,11.166905228902339,11.514030048250742,40.95253651059277,1.8936891013507073
1967-07-31,11.457244764853801,11.585123853229222,42.955115545960766,1.8995595375648948
1967-08-31,11.441777484421248,11.614832187036184,42.705975875794195,1.905448172131346
1967-09-30,11.656310812254146,11.672903659352803,44.17079084833393,1.9115456062821665
1967-10-31,11.521680422372611,11.699224435868024,42.97817949542892,1.919000634146667
1967-11-30,11.584473580674542,11.743145274271013,43.29192020574555,1.9259090364295952
1967-12-31,11.799365565596055,11.795992146325897,44.75518710869975,1.932264536249813
1968-01-31,11.60703590687684,11.813243784839898,43.11714726052134,1.9399935943948123
1968-02-29,11.434671423659719,11.82239904877315,41.668411112567824,1.9475595694129522
1968-03-31,11.489557846493284,11.86918509834209,41.91008789702072,1.9549602957767214
1968-04-30,12.058865437787027,11.984871188099218,45.883164229658284,1.963366625048561
1968-05-31,12.250601398247841,12.047026061733055,47.13577461312795,1.9722017748612797
1968-06-30,12.34554355908426,12.102291793791254,47.663695288794976,1.9806822424931831
1968-07-31,12.23690277576432,12.132188936852213,46.59602851432597,1.9901895172571502
1968-08-31,12.370285016020148,12.199325999056931,47.41611861617811,1.9985483132296302
1968-09-30,12.672738484661842,12.298442698881216,49.53087750645965,2.0071420709765175
1968-10-31,12.755111284812143,12.357099438086712,49.956843053015206,2.0159734960888143
1968-11-30,13.154984023591004,12.454042599442314,52.87931837161659,2.024440584772387
1968-12-31,12.952397269627703,12.492828870074929,51.02325429677285,2.0331456792869083
1969-01-31,12.940092492221556,12.549642322848422,50.65588686583609,2.0439213513871293
1969-02-28,12.621766216912906,12.56326100877655,47.930600152454105,2.0533233896035097
1969-03-31,12.846433655573957,12.644852409439103,49.41644875718018,2.062768677195686
1969-04-30,13.008298719634189,12.72810939599792,50.399836087448065,2.0737013511848232
1969-05-31,13.064234404128616,12.788556130342434,50.591355464580374,2.08365511767051
1969-06-30,12.661855984481454,12.796389120972266,47.21691205509286,2.09428175877063
1969-07-31,12.285798861742354,12.789564380107747,44.16197784512835,2.1053814520921144
1969-08-31,12.634715549415835,12.911704719937775,46.44956829750599,2.115908359352575
1969-09-30,12.524793524135918,12.982850604001062,45.35335848568484,2.129026991180561
1969-10-31,12.916819561441374,13.086599207832387,47.92035857597461,2.141801153127644
1969-11-30,12.739213292471554,13.132835495728022,46.353362850540236,2.152938519123908
1969-12-31,12.65322360274737,13.21048946561295,45.43093092981448,2.166717325646301
1970-01-31,12.216687388452586,13.269936668208206,42.0236111100784,2.179717629600179
1970-02-28,12.6057888817748,13.438879549415333,44.4399687489079,2.1932318789037
1970-03-31,12.61083119732751,13.49272839316542,44.22221290203825,2.205733300613451
1970-04-30,11.980289637461134,13.34374618382422,39.57888054732424,2.216761967116518
1970-05-31,11.629267151083523,13.183621229618328,37.04979008035021,2.2285108055422356
1970-06-30,11.360049616535939,13.037447829234935,35.119496017163975,2.241436168214381
1970-07-31,11.812747593754896,13.416864722415315,37.73589847044269,2.2530916362890956
1970-08-31,12.140551339481593,13.680412941539094,39.63024057365891,2.265033021961428
1970-09-30,12.459847839709958,13.921074205869003,41.50078792873562,2.27726420028002
1970-10-31,12.375120874399931,13.895474897190432,40.74547358843263,2.287739615601308
1970-11-30,12.71667421053337,14.188733748423452,42.80719455200732,2.2982632178330737
1970-12-31,13.133781124638864,14.55079607562049,45.43555629750057,2.3079159233479727
1971-01-31,13.501526996128751,14.860404681007303,47.8072923362301,2.316686003856695
1971-02-28,13.641267800538685,14.982683108135951,48.6391392228805,2.3243310676694224
1971-03-31,13.963883784021425,15.272566812355238,50.7938530904541,2.3313040608724305
1971-04-30,14.222913828215024,15.486828197593574,52.536082251456676,2.337831712242873
1971-05-31,13.981124293135368,15.34340296089697,50.597500816377924,2.344611424208377
1971-06-30,14.025863890873403,15.39537873842701,50.73411406858214,2.353286486477948
1971-07-31,13.766385408892244,15.259706963294622,48.654015391770265,2.36269963242386
1971-08-31,14.091960423812546,15.522869793959533,50.72667644745968,2.373804320696252
1971-09-30,14.084209845579448,15.529603557384043,50.48318840051188,2.382587396682828
1971-10-31,13.825060384420786,15.289937198779693,48.43861927029115,2.391402970050555
1971-11-30,13.844415468958976,15.312808396506199,48.395024512947884,2.400251161039742
1971-12-31,14.498564099867288,15.943717370231695,52.78929273872355,2.409132090335589
1972-01-31,14.721117058800251,16.14893737124367,54.25683507686006,2.416118573397562
1972-02-29,14.969167881241036,16.36203979548499,55.94964833125809,2.4221588698310557
1972-03-31,15.056737513346294,16.443440943467525,56.453195166239404,2.4286986987795993
1972-04-30,15.122234321529351,16.506911864238894,56.780623698203584,2.43574192500606
1972-05-31,15.262114989003498,16.63189822698872,57.660723365525726,2.4430491507810776
1972-06-30,15.120940425355215,16.528572559253554,56.42678388550348,2.450133993318343
1972-07-31,15.107331578972396,16.52716456973925,56.150292644464514,2.45772940869763
1972-08-31,15.397392345288667,16.758430101739417,58.14362803334299,2.4648568239828528
