date,mkt_rf,smb,hml,mom
1990-12-31,1,1,1,1
1991-01-31,1.014,0.952,1.0019,0.9922
1991-02-28,1.1155014,0.9707544,1.00901349,0.8899041799999999
1991-03-31,1.0622919832200002,0.99269344944,1.0069954630200002,0.8975573559479999
1991-04-30,1.0723837570605903,0.990807331886064,1.0041758757235442,0.9032119672904724
1991-05-31,1.0633757335012812,0.9761433833741502,1.006686315412853,0.9131472989306674
1991-06-30,0.9919168842099951,0.9929330495681856,1.0198739061447615,0.9297665797712056
1991-07-31,1.021971965801558,0.9701948827330742,1.0280328973939195,0.9549632540830052
1991-08-31,0.9879402993403661,0.9703889217096208,1.0284441105528772,0.997172629913474
1991-09-30,1.0426721919238222,0.9670895993758082,1.0253587782212183,1.0015601894850932
1991-10-31,1.0573738698299482,0.9580956661016131,1.0018780621999523,1.0222924854074347
1991-11-30,0.99847814528042,0.9736168158924592,0.9952656669894328,1.040795979393309
1991-12-31,1.0366200104301322,0.958428393564537,0.987701647920313,1.050475382001667
1992-01-31,1.0054177481161852,0.9686835773756775,1.0080483018674713,1.0562529966026764
1992-02-29,0.9680162078862631,0.995903585899934,1.0120804950749414,1.0776949324337106
1992-03-31,0.8971574214689886,1.0187097780170422,1.027767742748603,1.0959079767918403
1992-04-30,0.8870195426063889,1.0238033269071274,1.0625062924535058,1.1214426326510902
1992-05-31,0.9457402363269319,1.0276937795493746,1.0664375657355838,1.1156111309613046
1992-06-30,0.9021416114322603,1.0506113508333257,1.068997015893349,1.1751847653546381
1992-07-31,0.8709275116767042,1.027392839979909,1.0544586564771996,1.1810606891814113
1992-08-31,0.9219638638609591,0.9768451122528976,1.0209268712012245,1.1249603064452942
1992-09-30,0.8941205551723581,0.9755752136069689,1.0111259732376927,1.1515093696774032
1992-10-31,0.8431556835275337,0.959770895146536,1.021945021151336,1.1641759727438543
1992-11-30,0.8451792571679997,0.9352967373202994,1.0094772918932897,1.1577730048937633
1992-12-31,0.8470386515337693,0.947455594905463,1.0070545463927458,1.1551101269825077
1993-01-31,0.8461916128822355,0.9590145531633097,1.0220596591339977,1.1636579419221784
1993-02-28,0.8731851253331788,0.9657276550354529,1.0286008409524554,1.1557450679171075
1993-03-31,0.9605909563790301,0.9673693920490132,1.0411497712120752,1.1275448882599302
1993-04-30,1.050598328991745,0.9754952949422249,1.067282630469498,1.114465367556115
1993-05-31,1.0852680738484726,1.0323666706373567,1.0599183803192587,1.1229353043495416
1993-06-30,1.046849584034237,1.0233850806028115,1.050697090410481,1.148538229288711
1993-07-31,1.0879907726867821,0.9885899878623159,1.0582621094614366,1.1601384654045268
1993-08-31,1.1403231288530165,0.9988713237360839,1.0758292604784965,1.1493491776762648
1993-09-30,1.1053152087972289,1.0124559737388945,1.0791643311859798,1.1371660763928961
1993-10-31,1.115705171759923,0.9973703797301852,1.0829414063451308,1.147969154118629
1993-11-30,1.013952860095418,1.0346720319320941,1.0878146426736839,1.0990656681531752
1993-12-31,1.072153754264895,1.0328096222746164,1.118273452668547,1.1095067920006305
1994-01-31,1.1814062218244878,1.0346686795947106,1.1625570813942216,1.1333611880286443
1994-02-28,1.1773894406702845,1.0436702971071847,1.176740277787231,1.1480948834730165
1994-03-31,1.1407726290654387,1.0588035164152387,1.1976862547318439,1.1300697938024902
1994-04-30,1.177961816772972,1.0614505252062767,1.2087049682753768,1.1194471377407467
1994-05-31,1.1694804916922066,1.0526404858470646,1.2250224853470943,1.121574087302454
1994-06-30,1.190998932739343,1.0430614574258563,1.2334751404959894,1.1252752817905525
1994-07-31,1.193261830711548,1.0459820295066489,1.2451931543307013,1.1139100014444678
1994-08-31,1.2060297323001612,1.036463593038138,1.234110935257158,1.1146897384454788
1994-09-30,1.1681603987059364,1.049315741591811,1.2380600902499812,1.124721946091488
1994-10-31,1.1974812247134552,1.02895901620493,1.247345540926856,1.1378811928607584
1994-11-30,1.1274285730677183,1.0207273440752906,1.2538317377396757,1.1318504225385966
1994-12-31,1.135320573079192,1.0176651620430648,1.245681831444368,1.139320635327351
1995-01-31,1.0825281664310096,1.0339478046357538,1.2473012178252456,1.1214333013527116
1995-02-28,1.068888311533979,1.041702413170522,1.2544108347668497,1.1310776277443448
1995-03-31,1.1282116128241149,1.0095138086035529,1.2347165846610102,1.1232731921129089
1995-04-30,1.1614938554024263,0.9929577821424546,1.225950096909917,1.1332703235227135
1995-05-31,1.1381478289088376,1.0029866557420934,1.2286471871231186,1.143129775337361
1995-06-30,1.1184578714687148,1.0101078609978622,1.2374934468704053,1.1657637448890412
1995-07-31,1.172143849299213,1.003744181473576,1.2143523194139287,1.1541061074401506
1995-08-31,1.133345887887409,1.0287374115922678,1.1961370346227196,1.1471814707955097
1995-09-30,1.1392392865044239,1.021021881005326,1.1833383683522565,1.1890535944795457
1995-10-31,1.1129228589861717,1.0219408006982307,1.1831017006785862,1.2196122718576703
1995-11-30,1.1321764244466324,1.0063051064475477,1.1795523955765503,1.232174278257804
1995-12-31,1.1656888466102528,1.006908889511416,1.1947686214794877,1.2016163561570106
1996-01-31,1.1687196376114393,1.02402634063311,1.2120927664909404,1.1896001925954405
1996-02-29,1.1698883572490506,1.0342666040394413,1.2113655108310457,1.1973325938473107
1996-03-31,1.1873196937720614,1.0316809375293425,1.2066411853388046,1.214574183198712
1996-04-30,1.2259075838196534,1.0534494053112116,1.2079684906426775,1.2155458425452708
1996-05-31,1.209235240679706,1.0716740800230957,1.2119547866617983,1.2339005847677045
1996-06-30,1.2064539996261427,1.0564563080867677,1.228437371760399,1.2392063572822054
