date,benchmark_growth,strategy_growth,overperformance,signal
1993-05-31,1.1118863355850075,1.0545266557637354,0.9484122810169324,0.33101851851851855
1993-06-30,1.1136097594051642,1.0554952580253256,0.9478143030904467,0.29629629629629634
1993-07-31,1.1117166228141753,1.054407022868093,0.9484494530620493,0.3032407407407408
1993-08-31,1.1323389661673784,1.0678992834739092,0.943091525930987,0.34490740740740744
1993-09-30,1.1316595627876778,1.0674394935046356,0.9432514234891937,0.35879629629629634
1993-10-31,1.139637762705331,1.0738152206460478,0.9422425754802736,0.4236111111111112
1993-11-30,1.1288681858477656,1.0651240287039438,0.9435326834939983,0.4282407407407408
1993-12-31,1.1381813483810097,1.0708601654001932,0.9408519713694338,0.32638888888888895
1994-01-31,1.1545142507302775,1.0800375857482514,0.9354909088953067,0.2986111111111111
1994-02-28,1.1397941940334664,1.0722598150786615,0.9407486199628581,0.28240740740740744
1994-03-31,1.1125531127960664,1.0592090231627271,0.9520525456090136,0.25462962962962965
1994-04-30,1.1163357933795732,1.060492823728764,0.9499765482913065,0.17824074074074076
1994-05-31,1.1195731671803737,1.0610196333583295,0.9477001275678031,0.08564814814814814
1994-06-30,1.102611633697591,1.0598289335475606,0.9611987586177018,0.037037037037037035
1994-07-31,1.118158457732727,1.0612125990996921,0.9490717453870507,0.046296296296296294
1994-08-31,1.1405775348102682,1.0621976598687637,0.9312805376667858,0.023148148148148147
1994-09-30,1.1274038642832096,1.0617432753142644,0.9417594785248572,0.018518518518518517
1994-10-31,1.1349574701739071,1.0617762090177116,0.9355207018065778,0.0023148148148148147
1994-11-30,1.1120313292763941,1.0617762090177116,0.9548078197658479,0
1994-12-31,1.1168130639922826,1.0617762090177116,0.950719724948569,0
1995-01-31,1.1268643815682131,1.0617762090177116,0.9422395688291072,0
1995-02-28,1.147316970093676,1.0617762090177116,0.925442782329821,0
1995-03-31,1.1598800909162017,1.0617762090177116,0.9154189448833484,0
1995-04-30,1.1721168258753678,1.0623466679485287,0.906348790919489,0.02546296296296297
1995-05-31,1.1891125198505605,1.0632737621471784,0.894174221864894,0.030092592592592598
1995-06-30,1.2052844501205282,1.0652821681423452,0.8838429534503803,0.06944444444444445
1995-07-31,1.22770274089277,1.071611719691391,0.8728592712207585,0.15972222222222224
1995-08-31,1.231078923430225,1.0720892318581519,0.8708533721549946,0.08101851851851852
1995-09-30,1.2516994953976814,1.0740013724904358,0.8580345174216207,0.05324074074074074
1995-10-31,1.242186579232659,1.0726787596891283,0.8635407736829346,0.08101851851851852
1995-11-30,1.2667818735014658,1.078185177322199,0.8511214123565145,0.12962962962962962
1995-12-31,1.2733058001499984,1.0796761676576907,0.847931555428792,0.13425925925925927
1996-01-31,1.2876941556916934,1.0836299817716593,0.8415274519822451,0.16203703703703703
1996-02-29,1.2962573218270432,1.0864990928206186,0.8381816438183929,0.19907407407407407
1996-03-31,1.3009886610517118,1.0872151259033178,0.8356837829965553,0.09027777777777779
1996-04-30,1.3143888442605445,1.0882001629409996,0.8279134197560881,0.04398148148148148
1996-05-31,1.3298986326228188,1.0889135386033721,0.8187943892053057,0.027777777777777773
1996-06-30,1.3223182104168687,1.0889135386033721,0.8234882723577449,0
1996-07-31,1.2828470118359252,1.0889135386033721,0.8488257201028139,0
1996-08-31,1.3006144429498527,1.0889135386033721,0.837230083447072,0
1996-09-30,1.3331948347457465,1.0896712409406504,0.8173383308587912,0.013888888888888886
1996-10-31,1.338927572535153,1.0896712409406504,0.8138388239159526,0
1996-11-30,1.3807690591768766,1.090301837723602,0.7896337410497654,0.009259259259259259
1996-12-31,1.3690325221738733,1.0896153513813316,0.7959017289458852,0.037037037037037035
1997-01-31,1.4031898836021115,1.0911256793267186,0.7776037242555536,0.027777777777777773
1997-02-28,1.3997520683872864,1.0911256793267186,0.7795135324099579,0
1997-03-31,1.364548303867346,1.0911256793267186,0.7996240779709267,0
1997-04-30,1.3921121796054665,1.0911256793267186,0.7837914898754428,0
1997-05-31,1.4390263600581708,1.0911256793267186,0.7582388409359028,0
1997-06-30,1.4685264004393632,1.0911256793267186,0.7430071934697725,0
1997-07-31,1.522347893015466,1.0911256793267186,0.7167387194036294,0
1997-08-31,1.490759174235395,1.0911256793267186,0.7319261878004897,0
1997-09-30,1.5306369821461918,1.0911256793267186,0.7128572561972142,0
1997-10-31,1.5015548794854143,1.0911256793267186,0.7266638697219308,0
1997-11-30,1.5239280471897467,1.0911256793267186,0.715995536232073,0
1997-12-31,1.533985972301199,1.0911256793267186,0.7113009499623217,0
1998-01-31,1.535136461780425,1.0911256793267186,0.710767874056779,0
1998-02-28,1.5891732652350958,1.0939706885054075,0.6883898140229346,0.037037037037037035
1998-03-31,1.626995588947691,1.0939706885054075,0.6723870033433627,0
1998-04-30,1.6329341228473502,1.0939706885054075,0.6699417160796719,0
1998-05-31,1.6078685840616433,1.0939706885054075,0.6803856355859157,0
1998-06-30,1.6334336945482235,1.0939706885054075,0.6697368201456005,0
1998-07-31,1.6133424601052804,1.0939706885054075,0.6780771693283392,0
1998-08-31,1.4836297263128158,1.0939706885054075,0.7373609931800121,0
1998-09-30,1.529251340396935,1.094593644036362,0.7157709234063823,0.009259259259259259
1998-10-31,1.5837691506820857,1.1041685512619384,0.6971777110233542,0.1226851851851852
1998-11-30,1.6320741097778892,1.115082439488532,0.6832302729440912,0.16203703703703703
1998-12-31,1.6823419923590481,1.1204885243525708,0.6660289818845789,0.0787037037037037
1999-01-31,1.7117829772253315,1.1238473962021924,0.6565361445665634,0.08564814814814814
1999-02-28,1.6768626044899348,1.121618432199725,0.668879149189982,0.04861111111111111
1999-03-31,1.705788484417386,1.121618432199725,0.6575366421135238,0
1999-04-30,1.7427188051050224,1.121618432199725,0.6436026448524679,0
1999-05-31,1.7212833638022307,1.121618432199725,0.6516175406018708,0
1999-06-30,1.7623359720289138,1.121618432199725,0.6364384827873916,0
1999-07-31,1.7315832093170094,1.121618432199725,0.6477415732404372,0
1999-08-31,1.719635285172722,1.121618432199725,0.6522420433394797,0
1999-09-30,1.6956463729445623,1.121618432199725,0.6614695434708987,0
1999-10-31,1.747533151956666,1.121618432199725,0.6418295589665232,0
1999-11-30,1.776979085567136,1.121618432199725,0.6311939410596676,0
1999-12-31,1.8455704782700273,1.121618432199725,0.6077353563062465,0
2000-01-31,1.8018304579350275,1.121618432199725,0.6224883297206254,0
2000-02-29,1.8239028810447317,1.121618432199725,0.6149551293856511,0
2000-03-31,1.8713243559518948,1.121618432199725,0.5993714711361122,0
2000-04-30,1.811441976561434,1.121618432199725,0.6191854040662317,0
2000-05-31,1.7714091088794264,1.121618432199725,0.6331786522816563,0
2000-06-30,1.8125058002054293,1.121618432199725,0.6188219822924709,0
2000-07-31,1.7897588524128512,1.121618432199725,0.6266869029241692,0
2000-08-31,1.852668876075163,1.121618432199725,0.6054068520737759,0
2000-09-30,1.8021836492021148,1.121618432199725,0.6223663346941927,0
2000-10-31,1.7773135148431256,1.121618432199725,0.6310751720687413,0
2000-11-30,1.6820495104475341,1.121618432199725,0.666816538534173,0
2000-12-31,1.6920577050346968,1.121618432199725,0.6628724474717164,0
2001-01-31,1.7185384081184896,1.121618432199725,0.652658344382136,0
2001-02-28,1.6321818531105354,1.121618432199725,0.6871896229345996,0
2001-03-31,1.5729336518426231,1.1201104785297673,0.7121155283426016,0.018518518518518517
2001-04-30,1.6353791178207753,1.1304040863995897,0.691218368928368,0.11574074074074076
2001-05-31,1.6412664826449301,1.130931608306576,0.6890603203472841,0.06481481481481483
2001-06-30,1.6253461977632744,1.1307792466871236,0.69571593316134694,0.006944444444444443
2001-07-31,1.6080362607570953,1.1299986949015632,0.7027196602951836,0.032407407407407406
2001-08-31,1.556096689534641,1.1267881384244285,0.724111905129366,0.04398148148148148
2001-09-30,1.484127217643664,1.1144834554544814,0.7509352582482364,0.11805555555555557
2001-10-31,1.502381982420681,1.1210202104994593,0.7461619106302376,0.23842592592592596
2001-11-30,1.5590217831579407,1.141173143737378,0.731980243037931,0.23842592592592596
2001-12-31,1.5714939574232043,1.1445543974966,0.7283224934401518,0.18518518518518523
2002-01-31,1.5601792009297573,1.1433335394726036,0.7328219340388957,0.07407407407407408
2002-02-28,1.5423151490791116,1.1406668198560004,0.7395808959907265,0.10185185185185186
2002-03-31,1.575012230239589,1.1487275320496497,0.7293451504658517,0.1666666666666667
2002-04-30,1.5340619122533596,1.146100349638388,0.7471017567699721,0.04398148148148148
2002-05-31,1.5234768850588114,1.1443796073078893,0.7511630918270955,0.10879629629629631
2002-06-30,1.4685555433524413,1.1323469325618831,0.7710616991557186,0.14583333333333331
2002-07-31,1.4084916216293264,1.1113345576771863,0.789024613715208,0.22685185185185186
2002-08-31,1.4120128506833995,1.1136627006741722,0.7887057827661915,0.4189814814814815
2002-09-30,1.3389411856605338,1.0581651760905757,0.7902999679321656,0.48148148148148157
2002-10-31,1.3914276801384264,1.1082869332647327,0.7965106265202907,0.6041666666666666
2002-11-30,1.4328922250065517,1.148194498586707,0.8013125331749616,0.6041666666666666
2002-12-31,1.391624928926363,1.1139017562289173,0.8004324535119468,0.5185185185185186
2003-01-31,1.373742548589659,1.098395315530747,0.799564166268567,0.5416666666666667
2003-02-28,1.3608293686329163,1.0871621893640462,0.7988967716475762,0.5439814814814815
2003-03-31,1.3682458886919657,1.0945959124917373,0.7999994164339598,0.6273148148148149
2003-04-30,1.4244807947172053,1.1516638866071744,0.8084797568898134,0.6342592592592593
2003-05-31,1.467571338757401,1.1926305971291478,0.8126559613374251,0.587962962962963
2003-06-30,1.4779910952625783,1.2028231715842423,0.8138230165524442,0.6018518518518519
2003-07-31,1.4953574906319136,1.220031617445299,0.8158795639761924,0.6087962962962963
2003-08-31,1.512853173272307,1.2335129668180695,0.8153553752674997,0.47222222222222227
2003-09-30,1.5034734835980186,1.2272460356616521,0.8162738146366797,0.40972222222222227
2003-10-31,1.5491790774993985,1.2590271626296012,0.8127060201857716,0.425925925925926
2003-11-30,1.5596360362725195,1.2659124674252318,0.8116717221094238,0.40509259259259267
2003-12-31,1.5930902292505649,1.2867806828083848,0.8077261784561462,0.3842592592592593
2004-01-31,1.6102159492150085,1.2971553520635273,0.80557850187479485,0.37500000000000006
2004-02-29,1.6214874608595133,1.303965417661861,0.8041785392349927,0.37500000000000006
2004-03-31,1.6107856436178405,1.2972717285178632,0.8053658372594991,0.38888888888888895
2004-04-30,1.5960469549787373,1.2866106773822519,0.8061233244853954,0.4490740740740741
2004-05-31,1.6053838296653629,1.292011761788346,0.8047992871945532,0.35879629629629634
2004-06-30,1.620313899281251,1.2992434387328002,0.8018467528477827,0.300925925925926
2004-07-31,1.5874215271258414,1.285323488890599,0.8096926159353427,0.2638888888888889
2004-08-31,1.5880564957366918,1.2857043254799,0.8096086813860284,0.37037037037037046
2004-09-30,1.6007609477025853,1.2942280689710444,0.808508022905308,0.4143518518518519
2004-10-31,1.6122063884786588,1.3021108765985365,0.8076576832245773,0.425925925925926
2004-11-30,1.6488034734971242,1.3281108960928396,0.8054998169526576,0.4398148148148149
2004-12-31,1.6770804530675998,1.3462482179506854,0.8027332353007998,0.3981481481481482
2005-01-31,1.653936742815267,1.3327446004089634,0.8058014347878971,0.363425925925926
2005-02-28,1.669566445034871,1.3423070429168975,0.8039853980707319,0.37962962962962965
2005-03-31,1.6531212155512776,1.3319622678289733,0.8057257116410516,0.3912037037037038
2005-04-30,1.6315479836883335,1.3206156142599053,0.8094249310856774,0.32638888888888895
2005-05-31,1.6613237343906457,1.340030497977879,0.8066040773620722,0.4027777777777778
2005-06-30,1.666058507033659,1.343319156158333,0.8062857039456863,0.43055555555555564
2005-07-31,1.6987132537715188,1.3663570796864486,0.8043482775287907,0.43750000000000006
2005-08-31,1.6883511029235125,1.359565778942229,0.8052624697481668,0.4074074074074075
2005-09-30,1.6924875631256753,1.3622027700676358,0.8048524548989467,0.39583333333333337
2005-10-31,1.675393438738106,1.349909520717206,0.8057268755534509,0.4467592592592593
2005-11-30,1.7056342903073287,1.3701016048188785,0.8032798194811196,0.4143518518518519
2005-12-31,1.7035022474444446,1.3689281381666032,0.8035963205920263,0.3425925925925926
2006-01-31,1.7293954816056003,1.382414615379652,0.7993629161654768,0.3240740740740741
2006-02-28,1.726801388383192,1.380974600155298,0.7997298412229722,0.34722222222222227
2006-03-31,1.7394070385183895,1.3871819531149776,0.7975027824979748,0.3078703703703704
2006-04-30,1.7457558742089814,1.3898307642101733,0.7961197695181286,0.26157407407407407
2006-05-31,1.714594131854351,1.3788047734807725,0.8041581082454663,0.22222222222222227
2006-06-30,1.7115935921236058,1.3777323697680652,0.8049412992126753,0.22222222222222227
2006-07-31,1.7049183771143237,1.3750209159236744,0.8065024897267983,0.2523148148148149
2006-08-31,1.7222232986420343,1.382192986826107,0.8025631681536072,0.2569444444444445
2006-09-30,1.7380677529895412,1.389846240586496,0.7996502082245693,0.300925925925926
2006-10-31,1.7661375472003225,1.4030436671223987,0.7944135887640804,0.2939814814814815
2006-11-30,1.7812380232288854,1.408708455928405,0.7908591875749494,0.23611111111111116
2006-12-31,1.7889864086299312,1.4117440269969785,0.7891306609076711,0.2476851851851852
2007-01-31,1.8015093134903406,1.4167766330191438,0.786438694715491,0.25462962962962965
2007-02-28,1.783854522218135,1.4107986227259326,0.7908708951062188,0.21527777777777776
2007-03-31,1.7899196275936768,1.4129527032156317,0.7893944965088572,0.22453703703703706
2007-04-30,1.8211537250951866,1.4289334599469083,0.7846308854966222,0.3240740740740741
2007-05-31,1.8506564154417284,1.4415795210674385,0.7789557851144139,0.2731481481481482
2007-06-30,1.8325199825703995,1.4345811864109972,0.7828461354068128,0.2476851851851852
2007-07-31,1.7983434848954614,1.4241764878617775,0.7919379694833802,0.19444444444444445
2007-08-31,1.8066158649259805,1.4268455000945852,0.789789090085869,0.20370370370370375
2007-09-30,1.8357023803512889,1.4414158386110603,0.7852121640411143,0.31712962962962965
2007-10-31,1.85222370177445,1.450004274649451,0.7828451138274127,0.33101851851851855
2007-11-30,1.8074924993765973,1.4287667467629013,0.7904689769145276,0.3032407407407408
2007-12-31,1.7996299070043091,1.4230695393601842,0.7907567738352643,0.4583333333333334
2008-01-31,1.742401675961572,1.3813775548278735,0.792800864396287,0.4606481481481482
2008-02-29,1.7154815700679658,1.3554901557344117,0.7901513950282243,0.6064814814814815
2008-03-31,1.7075045807671496,1.347728091967616,0.7892969114976589,0.6157407407407407
2008-04-30,1.7467771861247938,1.3874798311987535,0.7943084225165904,0.6412037037037037
2008-05-31,1.7630222139557545,1.4038482390962566,0.796273709987121,0.6342592592592593
2008-06-30,1.6886226765268217,1.3314408665864252,0.7884774290281047,0.611111111111111
2008-07-31,1.6821214792221935,1.3250333074159781,0.78771558640858,0.6250000000000001
2008-08-31,1.694989708538243,1.3381262927848823,0.7894598333218675,0.6458333333333334
2008-09-30,1.6166811840037763,1.258846026954858,0.7786606533251503,0.6412037037037037
2008-10-31,1.477404100001851,1.1142465799919767,0.754192153650163,0.6666666666666667
2008-11-30,1.4193421188717783,1.0530218255508064,0.74190838949234,0.6990740740740742
2008-12-31,1.4316903953059625,1.0663820399624822,0.7448412334529831,0.7291666666666667
2009-01-31,1.3735637652565407,0.9954261638923119,0.7247032784869627,0.8194444444444444
2009-02-28,1.3041987951110854,0.9128080965164811,0.6998995091378937,0.8217592592592593
2009-03-31,1.3625616911923064,0.9827794856742202,0.7212733867589081,0.8564814814814815
2009-04-30,1.4319160812739948,1.071015338858163,0.7479595716986894,0.8819444444444445
2009-05-31,1.4692174951911823,1.1133819289569578,0.757806065202129,0.7592592592592592
2009-06-30,1.4723763128058434,1.116762022475076,0.7584759499063872,0.7060185185185186
2009-07-31,1.5292100384801488,1.174836749760509,0.7682638226258021,0.6736111111111112
2009-08-31,1.5546713856208434,1.2010992462707806,0.7725743571147885,0.6712962962962963
2009-09-30,1.5863866818875085,1.2328616485610522,0.7771507808513455,0.6481481481481481
2009-10-31,1.5658429743570654,1.212239469027101,0.7741769059090016,0.6458333333333334
2009-11-30,1.6093734090441918,1.2554569285418697,0.7800905131690269,0.6412037037037037
2009-12-31,1.6315022934185495,1.2774346901670963,0.7829806279281645,0.6365740740740741
2010-01-31,1.6040930548891177,1.2511053418308744,0.779945613515144,0.6134259259259259
2010-02-28,1.6313626368222325,1.2765097308552737,0.7824806710921217,0.5972222222222222
2010-03-31,1.682832128013974,1.325360458106305,0.787577344194429,0.6064814814814815
2010-04-30,1.6996604492941136,1.3409457153451476,0.7889491785856735,0.587962962962963
2010-05-31,1.6326088445694609,1.2821675948225186,0.7853489211989674,0.5555555555555556
2010-06-30,1.5871406882482013,1.2381934014928673,0.7801409230202,0.6157407407407407
2010-07-31,1.6421351130960016,1.293014414343964,0.7873983109137576,0.638888888888889
2010-08-31,1.602970190648662,1.2534670297252477,0.7819652773567901,0.6412037037037037
2010-09-30,1.6794318687426033,1.3318034963037855,0.793008350675703,0.6550925925925926
2010-10-31,1.71201284699621,1.3651762722486644,0.7974100630400741,0.6458333333333334
2010-11-30,1.7171488855371984,1.3704284087405099,0.798083625877194,0.6412037037037037
2010-12-31,1.7757036625340168,1.4281938695417122,0.8042974172298598,0.6180555555555555
2011-01-31,1.79337191397623,1.4445096620994953,0.8054713307608102,0.5740740740740741
2011-02-28,1.8246662538751153,1.471933611159007,0.8066864874784656,0.5439814814814815
2011-03-31,1.828862986259028,1.4753190584646725,0.8066864874784655,0.5000000000000001
2011-04-30,1.8553814995597837,1.499187125361917,0.8080209518730358,0.5578703703703705
2011-05-31,1.8435998270375793,1.4888739672620315,0.8075906416494163,0.5416666666666667
2011-06-30,1.8274683285510003,1.473916298239075,0.8065345238610747,0.5740740740740741
2011-07-31,1.805995575690526,1.4529897574630348,0.8045367203668156,0.6041666666666666
2011-08-31,1.7519060081985947,1.4010110669311244,0.7997067538867113,0.5972222222222222
2011-09-30,1.685421175187458,1.3283968579169547,0.7881690805084409,0.6828703703703703
2011-10-31,1.7810688268793464,1.434845418632094,0.8056091920636897,0.7060185185185186
2011-11-30,1.7785753305217153,1.4321112409732561,0.8052013408693632,0.6805555555555556
2011-12-31,1.7851560592446458,1.4394216384468537,0.8063281812212637,0.6898148148148148
2012-01-31,1.830231249740573,1.4895648241806194,0.8138670041787115,0.6898148148148148
2012-02-29,1.8706793603598397,1.5339145479805636,0.8199772662726675,0.6736111111111112
2012-03-31,1.8997684244134352,1.565828137253236,0.8242205297925692,0.6689814814814815
2012-04-30,1.891694408609678,1.557201584089665,0.8231781925253707,0.6481481481481481
2012-05-31,1.8331464666632085,1.4938335725904457,0.8149013729980898,0.6574074074074074
2012-06-30,1.8688011654398078,1.534322340919391,0.8210195762363516,0.6967592592592593
2012-07-31,1.8761829300432948,1.5430765022756365,0.8224552508001064,0.7222222222222222
2012-08-31,1.9001042624013469,1.571312659105472,0.8269612832296114,0.7175925925925926
2012-09-30,1.9260406855831254,1.6009035318065987,0.8311888444464045,0.6898148148148148
2012-10-31,1.9090915275499938,1.5818587090504401,0.8285923886952118,0.6759259259259259
2012-11-30,1.9165369845074387,1.5901700583509093,0.8297100818847972,0.6736111111111112
2012-12-31,1.9278445527160326,1.6033309241532883,0.8316702308256362,0.701388888888889
2013-01-31,1.981535023509174,1.6645217519604645,0.8400163167505872,0.6851851851851851
2013-02-28,1.9943159244108084,1.6782401853995388,0.841511700757918,0.638888888888889
2013-03-31,2.0345013902876863,1.7206674181236221,0.8457440365181137,0.6273148148148149
2013-04-30,2.0502687760624156,1.7370894360979825,0.8472496174058209,0.6157407407407407
2013-05-31,2.0789725389272897,1.7680514468802844,0.8504448297294803,0.6365740740740741
2013-06-30,2.0664987036937257,1.7551839613502112,0.8493515907911964,0.6064814814814815
2013-07-31,2.124877292073074,1.8137205653389916,0.8535648491821797,0.5902777777777778
2013-08-31,2.0960852047654837,1.7860726624711054,0.8520992650539397,0.5625
2013-09-30,2.1355964108753134,1.8230133583783117,0.8536319639304489,0.5486111111111112
2013-10-31,2.180230375862607,1.8634074520567119,0.8546837401618421,0.5300925925925927
2013-11-30,2.2143509812448565,1.8952699941096116,0.8559031563479313,0.5462962962962963
2013-12-31,2.245462612531347,1.922884779875638,0.8563423720103442,0.5185185185185186
2014-01-31,2.2081879331633263,1.890521560761009,0.8561416047830467,0.5069444444444445
2014-02-28,2.259528302609374,1.9354936552498065,0.8565919059365789,0.5115740740740741
2014-03-31,2.2643862884599844,1.9398476199122412,0.856676985635493,0.5231481481481483
2014-04-30,2.262235121485947,1.9379365107755868,0.8566468146346587,0.5185185185185186
2014-05-31,2.2855361432372523,1.95882136545051,0.8570511436655818,0.5231481481481483
2014-06-30,2.3153623899064986,1.9862775115895743,0.857868954012761,0.5370370370370371
2014-07-31,2.2917456935294522,1.9653609059050297,0.8575824584089142,0.5162037037037037
2014-08-31,2.340330702232277,2.00895552244379,0.8584066860839745,0.5231481481481483
2014-09-30,2.317278444815289,1.9874266807976013,0.8576555334747524,0.5439814814814815
2014-10-31,2.3464761532199616,2.0132797895369765,0.8580013850872701,0.5162037037037037
2014-11-30,2.376393724173516,2.042276610950169,0.8594016177434783,0.5648148148148149
2014-12-31,2.375680806056264,2.041646908995126,0.8593944539141817,0.513888888888889
2015-01-31,2.3387389695220895,2.0081355434805364,0.858640305587797,0.5277777777777779
2015-02-28,2.4104213189379413,2.079943123622828,0.862896086788377,0.5833333333333333
2015-03-31,2.396922959551889,2.0671630286521236,0.8624236421176361,0.5486111111111112
