month,benchmark_excess_return,personal_excess_return,red_excess_return,yellow_excess_return,green_excess_return
2015-11-01,2.543124481871686,0.8500417346575272,1.187786962620254,4.796049797676029,6.241940380023904
2015-12-01,-0.9084468548287421,-0.852471118239067,1.9626524954036668,-1.273551757723728,-3.5846986351876713
2016-01-01,0.5662872879920906,1.7872306866259686,3.1966642074949876,2.570942163718499,0.049233116672759564
2016-02-01,2.1609915198956187,-3.1426388161504315,1.1517130663353934,0.7880921407609675,-0.3215109316758259
2016-03-01,0.7495510704090623,-0.9872864271780891,-1.4079602285316997,-1.3084461179921327,0.3790240207823169
2016-04-01,3.6024221420429705,-1.009992149716155,0.3877023754350945,-0.9320393866892324,3.028238650303671
2016-05-01,-3.621865413177663,0.34153753066254783,-2.1064106301654695,1.1449893019209045,-1.1305609146089823
2016-06-01,-0.7473402404558342,-1.2923500268705639,-1.3395570426590724,-2.274331005713897,-1.1636837834830653
2016-07-01,4.297417702765807,6.904510455983516,6.294769232918641,5.853663886572216,5.883519467708456
2016-08-01,0.4527053335310671,-0.2748721089143813,-0.7065504074116657,2.2045379526996034,-0.30461775905005206
2016-09-01,-0.4251665846284154,-0.9393198521390684,-1.5171981607715197,-1.7335599024125001,-0.7339535864009412
2016-10-01,-0.06268185118571984,-3.454690548169559,0.24554773625631282,-1.4495056100355066,-1.452510204194757
2016-11-01,4.97168911829052,2.577357041550606,5.308437770204163,-0.3483891102689906,3.9091669578711206
2016-12-01,5.873945665733368,5.840552579644117,2.866528379774954,-0.5694756295174053,5.9629334218763566
2017-01-01,-1.5366156437296412,1.531650911971952,0.5340521428154029,0.7095845627380778,-1.034044669223108
2017-02-01,-8.957900682065155,-6.349114749296923,-8.343371748745763,-7.145335933411388,-7.731817829182251
2017-03-01,-2.8077324798508885,-3.84168974430128,-3.6274973181115944,-3.9851147376216423,-1.4253303246909879
2017-04-01,0.35501894175395743,0.30892524657941467,-3.147328371799898,-3.1743126785550935,-0.7504157914687747
2017-05-01,-6.480119646767508,-3.300458017645121,-6.706172947638452,-5.340180913493027,-6.109845170735014
2017-06-01,-0.7313928281392512,1.131335585903418,0.5837090329825967,-0.4420440187296005,0.004983481192092319
2017-07-01,3.6562354713096634,1.5834730452779697,4.656375868708971,2.2727382463973966,4.191652550248002
2017-08-01,4.614188419937258,4.257719013902659,4.689165665471105,3.0395739431523494,2.206033278225259
2017-09-01,2.1810383108460605,1.1484494929591569,1.4165857283763947,4.628039322353826,2.1266789486672697
2017-10-01,-1.033192967126723,0.9380659252620823,0.7115342033956416,-0.5971049018637378,-2.1405720329770896
2017-11-01,1.0807486187885342,0.5266064803315642,1.6244048457444475,1.3611018985390457,-0.9015944350582903
2017-12-01,0.40007628966578734,-2.8243836502439423,-1.039517613320515,-1.0611881352538852,-0.5656806980528261
2018-01-01,7.890658400577484,5.726246818752452,9.706290927920865,6.857933996106487,6.191391072154946
2018-02-01,-0.2970978045715734,1.9521830896806522,1.2745095136666262,0.04932416487283698,-0.7620858551918254
2018-03-01,-1.735012037714911,1.499915380491546,-1.0597883320349606,-1.2933555132911274,-2.085574021896996
2018-04-01,0.9714748529457577,0.11190775853604992,1.9331960086072457,-0.3511198161892666,0.8719154172743209
2018-05-01,-0.6127225246317765,-1.7950468842467489,-0.6983635512454018,-0.2997135291543169,-0.9508535519311474
2018-06-01,0.326850355092397,0.14981136341661508,1.2031062477751395,0.7780077175889429,-0.037135006008629824
2018-07-01,2.5131502471336367,0.755195402057888,3.232950882013167,2.95592584352398,2.492580341600851
2018-08-01,0.6212627107153694,2.8580340125519403,-0.028150385014198004,0.49133728129689347,-2.0580611169652103
2018-09-01,5.368099613792063,0.32103137803057613,6.232478178971621,5.635977754614383,4.90825868385508
2018-10-01,-5.013168858212153,-4.0167664418677536,-4.065411632929867,-4.8678486624080985,-4.198899334836166
2018-11-01,1.0747963473585869,1.4292749519366992,0.018486756524249952,-0.9498542148941521,1.668675175637047
2018-12-01,-1.1095053951177762,-1.415997521373174,-1.430642027802092,0.2981991935327173,-2.139728594830686
2019-01-01,5.95270096375274,6.585771670891812,5.719162381324157,4.659786776556214,6.336323160545916
2019-02-01,-1.9967167080849404,1.4567107584942662,-2.937914798271553,-1.7797663044563274,-2.3773117185407826
2019-03-01,-0.139750991281868,2.7148326745354328,-1.0167598263828022,-1.0382513606034767,-0.13989334312347126
2019-04-01,1.8122361217029548,-1.213652679774384,2.1271904104004324,3.3882818343405847,2.5569647590083022
2019-05-01,3.9811817883517238,-3.286262009538781,2.2968364260686216,3.2336852306186277,3.3606337385546254
2019-06-01,4.86181220020329,5.798495523852402,4.596936189301008,4.302276856221702,5.346473544659262
2019-07-01,0.7006549207134996,2.9350262363189654,1.3339296097791655,1.7380975845079631,0.35412200094653756
2019-08-01,-0.5762039582492378,2.5659316442129105,-0.64792937663724,-2.198299676877818,-0.6447640911708623
2019-09-01,-0.04403242635719409,0.06823084268741605,-1.0331410831110506,-0.7926371993055521,-0.38867784172286823
2019-10-01,5.5159087869046814,1.7040770411544435,4.130219065944811,4.571896861130124,5.133207883333239
2019-11-01,0.9137077613284752,1.3581358297000692,0.4100657919312691,0.8041016879578258,0.8805559190027459
2019-12-01,3.998563128564784,2.549640087495911,3.2774844265436456,2.9474352549054315,3.515921665603653
2020-01-01,0.6134441238980082,5.26363454962928,1.4168810089752992,2.0732376633310268,0.1661556375335471
2020-02-01,-9.928462068932834,-6.390428909808403,-10.262776469850635,-10.078940514105666,-10.593421924050043
