date,mkt,mkt_rf,smb,hml,mom,rf,cpi
1994-11-30,1.5196612662172635,1.2115570058734273,1.0823865029739197,1.1014855575760607,1.684844000546129,1.2545760637801249,1.1871530531324346
1994-12-31,1.5394168626780877,1.2219763961239387,1.0844430373295701,1.1004942205742423,1.7434765717651342,1.2600961984607575,1.1871530531324346
1995-01-31,1.5735919170295414,1.2439719712541697,1.047138196845433,1.1281166255106556,1.7119196458161852,1.2653886024942926,1.1919111816019035
1995-02-28,1.637007671285832,1.289128153810696,1.040227084746253,1.1404130967287216,1.7052431591975021,1.2704501569042697,1.1966693100713721
1995-03-31,1.6803883745749064,1.3173600603791502,1.0380426078682858,1.1166925043167641,1.7125757047820513,1.2762942276260294,1.2006344171292627
1995-04-30,1.7232382781265663,1.3451563576531502,1.0329561990897311,1.135676276890149,1.7432308098976501,1.2819099222275838,1.2045995241871532
1995-05-31,1.78251767489412,1.3841658920250914,1.00692570287267,1.1614561283755553,1.7359092404960799,1.2888322358076127,1.2069785884218873
1995-06-30,1.8393799887232423,1.4218152042881738,1.038643862513159,1.1319551427148162,1.7867713812426151,1.2948897473159084,1.2093576526566219
1995-07-31,1.9160821342530012,1.4747067298876937,1.0600399260809301,1.1139570559456506,1.8326914057405506,1.30071675117883,1.2093576526566219
1995-08-31,1.9356261720223817,1.4828176169020761,1.0744564690756309,1.1452592492177234,1.8356237119897356,1.3068301199093704,1.2125297383029343
1995-09-30,2.0087928413248277,1.5324920070682957,1.050818426755967,1.1446866195931147,1.8890403620086367,1.3124494894249807,1.2149088025376684
1995-10-31,1.9877005164909172,1.5091981285608578,1.0108873265392402,1.1388487178331899,1.967624441068196,1.318618002025278,1.218873909595559
1995-11-30,2.0747617991132197,1.5689623744518677,0.9996664772146547,1.1454540403966222,1.9542445948689322,1.3241561976337841,1.218080888183981
1995-12-31,2.10629817845974,1.585122686908722,1.0068640758506002,1.1475158576693363,2.003491558659629,1.3306445630021895,1.217287866772403
1996-01-31,2.162957599460307,1.620946459632859,0.9793766865798789,1.1521059211000135,2.0143104130763914,1.336366334623099,1.224425059476606
1996-02-29,2.2001604701710247,1.6425050475459761,0.9968095916010008,1.1397783877442433,2.026194844513542,1.341578163328129,1.2283901665344965
1996-03-31,2.22480226743694,1.654495334393062,1.0118614164341757,1.1438815899401227,1.988912859374493,1.3468103181651088,1.2347343378271214
1996-04-30,2.280867284576351,1.6885779382815589,1.0646805823720398,1.0975543855475478,1.9714104262119974,1.353005645628668,1.23949246629659
1996-05-31,2.3442753950875734,1.7284283776250038,1.0985374248914708,1.0877861515161746,2.0017701467756623,1.3586882693403086,1.2418715305313244
1996-06-30,2.3269277571639257,1.7087242941200789,1.054705781638301,1.1136754619222595,2.0213874942140637,1.36412302241767,1.2426645519429025
1996-07-31,2.198481344968477,1.6067134537611103,1.0092479624496902,1.1709183806650636,2.0179511354738997,1.3702615760185493,1.2450436161776368
1996-08-31,2.2683930517384745,1.6512194164302931,1.0340754623259525,1.1622535846481423,2.0181529305874473,1.3758796484802254,1.2474226804123714
1996-09-30,2.3920204730582215,1.7339455091934508,1.023941522795158,1.1308727378626424,2.0726430597133083,1.3819335189335382,1.251387787470262
1996-10-31,2.4226383351133665,1.7488574405725144,0.9784785191830532,1.1867378511130569,2.1511962316764426,1.387737639713059,1.2553528945281525
1996-11-30,2.5839860482319166,1.8581610306082965,0.9388501391561395,1.2032335072435283,2.1002128809857106,1.3934273640358825,1.2577319587628866
1996-12-31,2.551944621233841,1.8265722930879553,0.9686116885673892,1.219116189539143,2.1134442221359206,1.3998371299104475,1.2577319587628866
1997-01-31,2.6905152141668385,1.9175355932837357,0.9499174829780386,1.2013170931718715,2.1546563844675712,1.4061363969950444,1.2616970658207771
1997-02-28,2.6878246989526717,1.9081396688766454,0.9195201235227414,1.269672035773351,2.108762203478412,1.4116203289433251,1.2656621728786677
1997-03-31,2.564453545270744,1.8123510574990378,0.9163018030904118,1.312840884989645,2.1277410633097174,1.4176902963577815,1.2688342585249803
1997-04-30,2.679084618744346,1.8855700402219988,0.863339558871786,1.3137598736091376,2.2311492789865697,1.4237863646321198,1.2704203013481363
1997-05-31,2.872782436679562,2.0126574609329615,0.9081468819772318,1.2596329668164412,2.1157988612629643,1.430762917818817,1.2696272799365582
1997-06-30,3.001195811599138,2.0951764168312126,0.9194079033137494,1.2796611309888226,2.170809631655801,1.4360567406147469,1.2712133227597147
1997-07-31,3.234088606579231,2.2487528481849406,0.8943080675532841,1.28337214826869,2.253083316695556,1.4422317845993902,1.2727993655828709
1997-08-31,3.1131336926931676,2.1554296049852653,0.9596819872914291,1.2987726140479143,2.19540438378815,1.4481449349162476,1.2751784298176052
1997-09-30,3.293384133500102,2.270745088851977,0.9839619415699024,1.3037079499812965,2.2276768282298356,1.454516772629879,1.2783505154639174
1997-10-31,3.182067749787799,2.184456775475602,0.976385434619814,1.3330413788558755,2.214979070308926,1.4606257430749245,1.28152260111023
1997-11-30,3.2893034329556476,2.249553587384775,0.9262968618238175,1.3489045712642604,2.2222885012409455,1.4663221834729168,1.280729579698652
1997-12-31,3.3485108947488493,2.2792476947382543,0.9034173293367693,1.400972287715061,2.310735583590335,1.4733605299535866,1.2791435368754958
1998-01-31,3.367932257938393,2.282666566280362,0.8938411056457995,1.3786968283403913,2.3139706134073617,1.479695980232387,1.28152260111023
1998-02-28,3.6181696247032153,2.4433662925464996,0.8968801654049953,1.3669779052994981,2.288054142537199,1.4854667945552933,1.2839016653449644
1998-03-31,3.8045053603754315,2.559670528071713,0.8869247955689998,1.386252293764221,2.337247306601749,1.491260115054059,1.2862807295796985
1998-04-30,3.8486376225557866,2.5783561229266367,0.8871021805281136,1.398728564408099,2.3545429366706023,1.4976725335487915,1.288659793814433
1998-05-31,3.7458789980335476,2.499200589952789,0.8573842574804218,1.4462853355979743,2.3973956181180074,1.5036632236829865,1.2910388580491674
1998-06-30,3.880356054062952,2.578675168713288,0.8296907459638042,1.417938143020254,2.571926019116998,1.5098282429000869,1.2926249008723236
1998-07-31,3.800420719349255,2.515239759562941,0.7889529303369814,1.3929824317030977,2.6681160522319742,1.5158675558716872,1.2942109436954798
1998-08-31,3.205654876771097,2.1107892062252205,0.7441404038938408,1.4431297992444092,2.7172093875930425,1.5223857863619354,1.295796986518636
1998-09-30,3.4175486641256665,2.240602742408072,0.7448845442977347,1.3944963250098728,2.6951999915535385,1.5293887609792003,1.2973830293417923
