target_return,std_dev,stocks,bonds
5.2,3.6,-6.2450045135165055e-15,100
5.25,3.570911170365632,0.877192982456132,99.12280701754386
5.300000000000001,3.5468807688831943,1.7543859649122855,98.24561403508771
5.3500000000000005,3.5280121607066754,2.631578947368423,97.36842105263158
5.4,3.514388487191517,3.508771929824561,96.49122807017544
5.45,3.506070890199416,4.3859649122806985,95.6140350877193
5.5,3.5030971654655145,5.263157894736837,94.73684210526316
5.550000000000001,3.505480912752296,6.14035087719299,93.85964912280701
5.6000000000000005,3.5132112267892697,7.017543859649128,92.98245614035086
5.65,3.5262529452373403,7.8947368421052655,92.10526315789474
5.7,3.5445474406391027,8.771929824561402,91.22807017543859
5.75,3.5680139152582857,9.649122807017541,90.35087719298247
5.800000000000001,3.5965511334334823,10.526315789473696,89.4736842105263
5.8500000000000005,3.6300395075971164,11.403508771929832,88.59649122807016
5.9,3.6683434426753876,12.28070175438597,87.71929824561403
5.95,3.711313839533443,13.15789473684211,86.84210526315789
6,3.7587906609699306,14.035087719298245,85.96491228070175
6.050000000000001,3.8106054723451,14.9122807017544,85.08771929824559
6.1000000000000005,3.8665838816877396,15.789473684210536,84.21052631578945
6.15,3.9265478193672596,16.66666666666668,83.33333333333331
6.2,3.9903176135262073,17.543859649122815,82.45614035087718
6.25,4.05771383308958,18.42105263157895,81.57894736842104
6.300000000000001,4.128558884291825,19.298245614035103,80.70175438596489
6.3500000000000005,4.2026783586509096,20.17543859649124,79.82456140350875
6.4,4.2799021398707024,21.05263157894738,78.94736842105262
6.45,4.3600652842424585,21.929824561403517,78.07017543859646
6.5,4.443008693918128,22.807017543859654,77.19298245614034
6.550000000000001,4.528579605240173,23.68421052631581,76.31578947368418
6.6000000000000005,4.616631915493345,24.561403508771946,75.43859649122804
6.65,4.707026371361819,25.438596491228083,74.5614035087719
6.7,4.799630641375315,26.315789473684227,73.68421052631577
6.75,4.894319293012194,27.192982456140363,72.80701754385963
6.800000000000001,4.990973693144786,28.070175438596518,71.92982456140346
6.8500000000000005,5.089481848357902,28.947368421052655,71.05263157894733
6.9,5.189738199490912,29.824561403508792,70.1754385964912
6.95,5.291643382649206,30.701754385964925,69.29824561403505
7,5.395103966968981,31.578947368421062,68.42105263157892
7.050000000000001,5.500032177638884,32.45614035087721,67.54385964912277
7.1000000000000005,5.606345611100973,33.33333333333336,66.66666666666663
7.15,5.713966947974804,34.210526315789494,65.78947368421049
7.2,5.822823668064766,35.08771929824563,64.91228070175434
7.25,5.932847770808828,35.964912280701775,64.03508771929822
7.300000000000001,6.043975503689333,36.842105263157926,63.15789473684206
7.3500000000000005,6.156147100434775,37.71929824561406,62.280701754385916
7.4,6.269306530277141,38.5964912280702,61.40350877192978
7.45,6.3834012590741205,39.473684210526336,60.52631578947365
7.5,6.49838202274319,40.35087719298247,59.649122807017505
7.550000000000001,6.61420261316994,41.228070175438624,58.771929824561354
7.6000000000000005,6.730819676533133,42.10526315789476,57.89473684210522
7.65,6.848192523822359,42.9824561403509,57.01754385964908
7.7,6.966282953200843,43.859649122807035,56.14035087719294
7.75,7.085055083777841,44.73684210526317,55.2631578947368
7.800000000000001,7.204475200294965,45.61403508771933,54.38596491228065
7.8500000000000005,7.324511608192962,46.49122807017547,53.508771929824505
7.9,7.44513449850512,47.36842105263161,52.63157894736836
7.95,7.566315822016555,48.24561403508775,51.75438596491222
8,7.688029172132112,49.122807017543884,50.87719298245609
8.05,7.81024967590666,50.00000000000004,49.999999999999936
8.1,7.932953892708257,50.877192982456165,49.12280701754381
8.15,8.056119720005375,51.754385964912316,48.245614035087655
8.200000000000001,8.179726305792466,52.631578947368475,47.368421052631504
8.25,8.303753967193169,53.5087719298246,46.49122807017538
8.3,8.428184114806033,54.38596491228075,45.61403508771923
8.35,8.552999182383363,55.26315789473687,44.73684210526311
8.4,8.678182561459606,56.140350877193015,43.85964912280696
8.450000000000001,8.80371854057035,57.017543859649166,42.9824561403508
8.5,8.929592248727369,57.89473684210529,42.105263157894676
8.55,9.055789602838122,58.7719298245614,41.2280701754386
8.6,9.182297258780045,59.64912280701753,40.35087719298247
8.65,9.309102565860872,60.526315789473685,39.47368421052633
8.700000000000001,9.436193524415696,61.403508771929836,38.596491228070164
8.75,9.563558746309935,62.28070175438596,37.719298245614056
8.8,9.691187418134438,63.15789473684211,36.8421052631579
8.85,9.819069266895026,64.03508771929822,35.964912280701796
8.9,9.94719452801377,64.91228070175438,35.08771929824563
8.950000000000001,10.075553915472891,65.78947368421053,34.210526315789465
9,10.204138593945322,66.66666666666666,33.33333333333335
9.05,10.332940152767613,67.54385964912282,32.456140350877185
9.1,10.461950581621915,68.42105263157893,31.578947368421062
9.15,10.591162247804085,69.29824561403507,30.701754385964918
9.200000000000001,10.720567874964054,70.17543859649122,29.8245614035088
9.25,10.850160523213532,71.05263157894736,28.947368421052655
9.3,10.979933570504004,71.92982456140349,28.07017543859651
9.35,11.109880695185232,72.80701754385962,27.192982456140392
9.4,11.239995859661501,73.68421052631578,26.315789473684227
9.450000000000001,11.370273295068824,74.56140350877195,25.43859649122806
9.5,11.500707486902362,75.43859649122805,24.56140350877194
9.55,11.631293161528436,76.31578947368418,23.68421052631584
9.600000000000001,11.762025273520448,77.19298245614034,22.807017543859676
9.65,11.892898993762566,78.07017543859648,21.92982456140353
9.700000000000001,12.023909698269232,78.94736842105262,21.05263157894739
9.75,12.15505295767223,79.82456140350874,20.17543859649127
9.8,12.28632452733076,80.7017543859649,19.298245614035103
9.850000000000001,12.41772033802307,81.57894736842105,18.421052631578938
