month,long_rate,shiller_cape,real_rate_10y,cape_excess_yield,subsequent_stock_return_10y
1995-04-01,0.0706,21.6427392618796,0.034842690498264,0.011362181625357,0.077283159829843
1995-05-01,0.0663,22.1954266980199,0.030725153710323,0.014329172732936,0.075490821436598
1995-06-01,0.0617,22.7183567595206,0.02621036221894,0.017806905868943,0.0746034625581
1995-07-01,0.0628,23.3764126915121,0.027502635904271,0.01527552741773,0.072289126458987
1995-08-01,0.0649,23.2840702562305,0.029523334448062,0.013424483051003,0.071806056237029
1995-09-01,0.062,23.9460070752999,0.026707588162104,0.015053027578776,0.067111903472969
1995-10-01,0.0604,23.9267627640833,0.025151923287528,0.016642280544388,0.06344509615322
1995-11-01,0.0593,24.3475868811148,0.024404563737025,0.016667268345672,0.065889739042915
1995-12-01,0.0571,25.0273806649391,0.022556344233032,0.017399894631425,0.064962553366827
1996-01-01,0.0565,24.762465194644,0.021635059111168,0.018748642274762,0.066154687065708
1996-02-01,0.0581,25.9760655505934,0.022616636861166,0.015880340213839,0.060167400392255
1996-03-01,0.0627,25.6299303952161,0.026207958684825,0.012808924489648,0.061906477646146
1996-04-01,0.0651,25.4242038483815,0.028018432858313,0.0113141655571,0.062051283649495
1996-05-01,0.0674,25.814043827699,0.030405655663956,0.008332947503943,0.058425418169186
1996-06-01,0.0691,25.9666735583338,0.032609113783322,0.005901787420619,0.05404594800314
1996-07-01,0.0687,24.8584113323484,0.032010849773554,0.008216982433032,0.058431084138948
1996-08-01,0.0664,25.4125291214549,0.029702122193871,0.009648545943907,0.057617269958821
1996-09-01,0.0683,25.6801155128768,0.03174454755405,0.007196087253397,0.058998295684821
1996-10-01,0.0653,26.4834677208972,0.028510619424692,0.009248786199177,0.05939631459953
1996-11-01,0.062,27.5856120490128,0.025108269292556,0.011142512391144,0.056637038066564
1996-12-01,0.063,27.723946163894,0.026202143884093,0.009867757351769,0.057468165478897
1997-01-01,0.0658,28.3328701299504,0.029330470103342,0.005964224553904,0.054822960083678
1997-02-01,0.0642,29.2656348835759,0.027777412658479,0.006392356901559,0.051763652515825
1997-03-01,0.0669,28.8024585918716,0.030681272466912,0.004037985849537,0.04910095436788
1997-04-01,0.0689,27.5851603381365,0.033104882385921,0.003146492909422,0.056510735968788
1997-05-01,0.0671,29.9283622246888,0.031736447299731,0.001676674089687,0.050030348621763
1997-06-01,0.0649,31.2565606163813,0.029772691774593,0.002220591564327,0.044873943246062
1997-07-01,0.0622,32.7666376896699,0.027216854454348,0.003301992473766,0.039815058756799
1997-08-01,0.063,32.5862834867132,0.028367772543369,0.002319986016387,0.035386838015265
1997-09-01,0.0621,32.6665813417086,0.027751903136044,0.002860421720956,0.03727056549173
1997-10-01,0.0603,32.9014981797981,0.025965037504467,0.004428715221784,0.038672622302992
1997-11-01,0.0588,32.3366005328127,0.024618721044209,0.006305989145573,0.034091709184777
1997-12-01,0.0581,33.0307890429054,0.024046864456632,0.006227919433667,0.032618370675246
1998-01-01,0.0554,32.8599684150522,0.021423187084031,0.009008978503259,0.024993227029101
1998-02-01,0.0557,34.70967778227,0.02179916528338,0.007011243337319,0.016942273310251
1998-03-01,0.0565,36.2969277364251,0.022852419380721,0.004698121735642,0.008319407198705
1998-04-01,0.0564,37.2769340430288,0.023092344377548,0.003733896183054,0.008710108398669
1998-05-01,0.0565,36.956598518969,0.023354107516307,0.003704659796565,0.010828973340423
1998-06-01,0.055,36.802293460092,0.02216592004957,0.00500629955909,0.005449997015311
1998-07-01,0.0546,38.2596450852486,0.022075940051114,0.004061260065924,-0.005592178187347
1998-08-01,0.0534,35.4234010248783,0.021184184305081,0.007045741988492,0.004237767867738
1998-09-01,0.0481,33.5323569808349,0.016449369043051,0.013372572807668,0.004553248915591
1998-10-01,0.0453,33.7731028790482,0.013741319345933,0.01586804179513,-0.017876654765095
1998-11-01,0.0483,37.369391883921,0.016827100289719,0.009932767869395,-0.034893972974396
1998-12-01,0.0465,38.8202747800982,0.015261328615898,0.010498406616905,-0.038166768158642
1999-01-01,0.0472,40.5769576772081,0.016222132844014,0.008422395904422,-0.044131510629577
1999-02-01,0.05,40.40015922926,0.019321462035715,0.00543091565481,-0.051036317712709
1999-03-01,0.0523,41.356103632713,0.021900240337894,0.002279987298662,-0.059238835834666
1999-04-01,0.0518,42.7045095168922,0.021325387523524,0.002091343199128,-0.051751402296686
1999-05-01,0.0554,42.5566767095181,0.025509534700581,-0.002011459255786,-0.045803686968187
1999-06-01,0.059,42.180675911747,0.029358772218341,-0.005651233674097,-0.043336952718496
1999-07-01,0.0579,43.8280359928054,0.028198081394655,-0.005381635771489,-0.045916336862991
1999-08-01,0.0594,41.9307121599405,0.029616709095558,-0.00576784155938,-0.034720920127681
1999-09-01,0.0592,41.323451334715,0.029254917686221,-0.005055583707553,-0.030274958780497
1999-10-01,0.0611,40.5528543995399,0.031464198074155,-0.006805021431552,-0.026647623354784
1999-11-01,0.0603,43.2082907146139,0.030848623651165,-0.007704917120284,-0.031315639368536
1999-12-01,0.0628,44.1979397610406,0.033512015697878,-0.010886526695301,-0.031699264549284
2000-01-01,0.0666,43.772578146938,0.038062095176974,-0.015216742165251,-0.030322393887708
2000-02-01,0.0652,42.1856358879173,0.03653782270991,-0.012833071579528,-0.030194094269186
2000-03-01,0.0626,43.2207484399659,0.033654146552995,-0.010517110844578,-0.027943646299565
2000-04-01,0.0599,43.5285742885078,0.031053831525753,-0.008080416559942,-0.025532618944742
2000-05-01,0.0644,41.9660505033243,0.035672946510123,-0.011844161384852,-0.028590545078802
2000-06-01,0.061,42.7819715670715,0.032290356611921,-0.008916024776085,-0.034498868432315
2000-07-01,0.0605,42.7580936182696,0.031947143433541,-0.008559758370781,-0.035265021397115
2000-08-01,0.0583,42.8695654944195,0.030688904434973,-0.007362332577599,-0.035469471616876
2000-09-01,0.058,41.8980079248848,0.030710404492246,-0.006842921298467,-0.030766711712899
2000-10-01,0.0574,39.3696990442014,0.03055049459917,-0.005150249632165,-0.021143194194269
2000-11-01,0.0572,38.7821424567848,0.030521976704144,-0.004736913356643,-0.01795437761899
2000-12-01,0.0524,37.2742380044972,0.025780962544899,0.001047218352571,-0.011258910007136
2001-01-01,0.0516,36.9788679970298,0.024945988060844,0.002096483874217,-0.008182341341926
2001-02-01,0.051,35.8346626514313,0.024088782642615,0.003817158867903,-0.003040562320055
2001-03-01,0.0489,32.3258372361788,0.021907638222533,0.0090273687409,0.004624763457356
2001-04-01,0.0514,32.1739011683607,0.024152450014723,0.006928642538125,0.006139016245045
2001-05-01,0.0539,34.07464321714,0.026492400382038,0.002854935513088,0.000108693496034
2001-06-01,0.0528,33.0685344111128,0.025521711534659,0.004718515853948,-0.000926174120178
2001-07-01,0.0524,32.1630386874444,0.025561544074393,0.005530045551757,0.004465978517984
2001-08-01,0.0497,31.4043187607802,0.023162625788027,0.008680128312688,-0.004721467214607
