month,factor,return
2015-09-01,rmrf_ru,-0.041214
2015-10-01,rmrf_ru,0.031253
2015-11-01,rmrf_ru,0.020579
2015-12-01,rmrf_ru,-0.008674
2016-01-01,rmrf_ru,0.020602
2016-02-01,rmrf_ru,0.040024
2016-03-01,rmrf_ru,0.01925
2016-04-01,rmrf_ru,0.051390000000000005
2016-05-01,rmrf_ru,-0.025106000000000003
2016-06-01,rmrf_ru,-0.001109
2016-07-01,rmrf_ru,0.027025999999999998
2016-08-01,rmrf_ru,0.021038
2016-09-01,rmrf_ru,0.008166
2016-10-01,rmrf_ru,0.014402
2016-11-01,rmrf_ru,0.056307
2016-12-01,rmrf_ru,0.060754
2017-01-01,rmrf_ru,0.005129
2017-02-01,rmrf_ru,-0.080841
2017-03-01,rmrf_ru,-0.018511
2017-04-01,rmrf_ru,-0.0039689999999999994
2017-05-01,rmrf_ru,-0.04828299999999999
2017-06-01,rmrf_ru,-0.010195000000000001
2017-07-01,rmrf_ru,0.017717
2017-08-01,rmrf_ru,0.044711999999999995
2017-09-01,rmrf_ru,0.033585
2017-10-01,rmrf_ru,4.15e-4
2017-11-01,rmrf_ru,0.010513999999999999
2017-12-01,rmrf_ru,0.0018390000000000001
2018-01-01,rmrf_ru,0.09219
2018-02-01,rmrf_ru,0.0026889999999999996
2018-03-01,rmrf_ru,-0.011794
2018-04-01,rmrf_ru,0.029737
2018-05-01,rmrf_ru,5e-5
2018-06-01,rmrf_ru,-0.005292
2018-07-01,rmrf_ru,0.018616999999999998
2018-08-01,rmrf_ru,0.012172
2018-09-01,rmrf_ru,0.067178
2018-10-01,rmrf_ru,-0.046029999999999995
2018-11-01,rmrf_ru,0.005545
2018-12-01,rmrf_ru,-0.013933
2019-01-01,rmrf_ru,0.04708300000000001
2019-02-01,rmrf_ru,-0.01472
2019-03-01,rmrf_ru,0.008585
2019-04-01,rmrf_ru,0.032623
2019-05-01,rmrf_ru,0.045136
2019-06-01,rmrf_ru,0.032114
2019-07-01,rmrf_ru,0.002662
2019-08-01,rmrf_ru,-0.004439
2019-09-01,rmrf_ru,0.013090999999999998
2019-10-01,rmrf_ru,0.047733
2019-11-01,rmrf_ru,0.005268
2019-12-01,rmrf_ru,0.040546
2020-01-01,rmrf_ru,0.025852
2020-02-01,rmrf_ru,-0.095451
2020-03-01,rmrf_ru,-0.102827
2020-04-01,rmrf_ru,0.069293
2005-01-01,smb_ru,0.036169
2005-02-01,smb_ru,0.08632
2005-03-01,smb_ru,0.073382
2005-04-01,smb_ru,-0.020734
2005-05-01,smb_ru,-0.026743000000000003
2005-06-01,smb_ru,0.072549
2005-07-01,smb_ru,0.06576399999999999
2005-08-01,smb_ru,-0.028835000000000003
2005-09-01,smb_ru,0.063594
2005-10-01,smb_ru,0.043277
2005-11-01,smb_ru,0.020478999999999997
2005-12-01,smb_ru,0.040395
2006-01-01,smb_ru,-0.0024460000000000003
2006-02-01,smb_ru,0.09956
2006-03-01,smb_ru,0.061925
2006-04-01,smb_ru,-0.073561
2006-05-01,smb_ru,0.039663
2006-06-01,smb_ru,-0.078357
2006-07-01,smb_ru,-0.0034100000000000003
2006-08-01,smb_ru,-0.004002
2006-09-01,smb_ru,0.137405
2006-10-01,smb_ru,0.019271
2006-11-01,smb_ru,-0.013999
2006-12-01,smb_ru,0.058708
2007-01-01,smb_ru,0.12656
2007-02-01,smb_ru,0.10799099999999999
2007-03-01,smb_ru,0.0424
2007-04-01,smb_ru,0.053433
2007-05-01,smb_ru,0.042739
2007-06-01,smb_ru,-0.1061
2007-07-01,smb_ru,0.0044280000000000005
2007-08-01,smb_ru,0.045454
2007-09-01,smb_ru,0.004113
2007-10-01,smb_ru,-0.046405
2007-11-01,smb_ru,0.020012
2007-12-01,smb_ru,0.01401
2008-01-01,smb_ru,0.121832
2008-02-01,smb_ru,-0.020771
2008-03-01,smb_ru,0.010155
2008-04-01,smb_ru,-0.034982
2008-05-01,smb_ru,-0.070744
2008-06-01,smb_ru,0.072727
2008-07-01,smb_ru,0.060701
2008-08-01,smb_ru,0.042286000000000004
2008-09-01,smb_ru,0.072466
2008-10-01,smb_ru,-0.014252
2008-11-01,smb_ru,0.01022
2008-12-01,smb_ru,0.14301
2009-01-01,smb_ru,-0.062400000000000004
2009-02-01,smb_ru,-0.025274
2009-03-01,smb_ru,-0.040567
2009-04-01,smb_ru,0.119169
2009-05-01,smb_ru,0.0461
2009-06-01,smb_ru,0.152815
2009-07-01,smb_ru,-0.044197
2009-08-01,smb_ru,0.064551
2009-09-01,smb_ru,0.072979
2009-10-01,smb_ru,0.025245000000000004
2009-11-01,smb_ru,-0.029811
2009-12-01,smb_ru,-0.006
2010-01-01,smb_ru,0.023488000000000002
2010-02-01,smb_ru,0.053293
2010-03-01,smb_ru,-0.0361
2010-04-01,smb_ru,0.093933
2010-05-01,smb_ru,0.006627999999999999
2010-06-01,smb_ru,0.005662
2010-07-01,smb_ru,-0.047744
2010-08-01,smb_ru,0.043893
2010-09-01,smb_ru,0.038342999999999995
2010-10-01,smb_ru,-0.010355000000000001
2010-11-01,smb_ru,0.052287999999999994
2010-12-01,smb_ru,0.001879
2011-01-01,smb_ru,0.026463
2011-02-01,smb_ru,-0.035191
2011-03-01,smb_ru,-0.023633
2011-04-01,smb_ru,0.025082
2011-05-01,smb_ru,0.039914
2011-06-01,smb_ru,0.030474
2011-07-01,smb_ru,0.02766
2011-08-01,smb_ru,0.004884
2011-09-01,smb_ru,0.031336
2011-10-01,smb_ru,-0.075674
2011-11-01,smb_ru,-0.042488
2011-12-01,smb_ru,0.025953
2012-01-01,smb_ru,-0.038571
2012-02-01,smb_ru,0.021643
2012-03-01,smb_ru,0.024176000000000003
2012-04-01,smb_ru,0.046711
2012-05-01,smb_ru,0.027471000000000002
2012-06-01,smb_ru,-0.020689000000000003
2012-07-01,smb_ru,0.010739
2012-08-01,smb_ru,0.041675000000000004
2012-09-01,smb_ru,-0.004196
2012-10-01,smb_ru,0.025808
2012-11-01,smb_ru,-0.006196
2012-12-01,smb_ru,-0.03134
2013-01-01,smb_ru,-0.006986
2013-02-01,smb_ru,0.02804
2013-03-01,smb_ru,0.068234
2013-04-01,smb_ru,-0.036802
2013-05-01,smb_ru,0.033325
2013-06-01,smb_ru,0.049478999999999995
2013-07-01,smb_ru,-0.034577
2013-08-01,smb_ru,-0.0016389999999999998
2013-09-01,smb_ru,-0.006647999999999999
2013-10-01,smb_ru,-0.064656
2013-11-01,smb_ru,0.009462
2013-12-01,smb_ru,0.071516
2014-01-01,smb_ru,-0.013474
2014-02-01,smb_ru,-0.009731
2014-03-01,smb_ru,0.031811
2014-04-01,smb_ru,0.044101999999999995
2014-05-01,smb_ru,-0.055214
2014-06-01,smb_ru,-0.014889
2014-07-01,smb_ru,0.020173
2014-08-01,smb_ru,-0.034036
2014-09-01,smb_ru,0.011982999999999999
2014-10-01,smb_ru,-0.061189
2014-11-01,smb_ru,0.035958000000000004
2014-12-01,smb_ru,0.026986
2015-01-01,smb_ru,-0.157659
2015-02-01,smb_ru,0.084182
2015-03-01,smb_ru,0.012587999999999998
2015-04-01,smb_ru,-0.001921
2015-05-01,smb_ru,0.091275
2015-06-01,smb_ru,0.03421
2015-07-01,smb_ru,-0.042238
2015-08-01,smb_ru,-0.037105
2015-09-01,smb_ru,0.069809
2015-10-01,smb_ru,-0.014473
2015-11-01,smb_ru,-0.024354
2015-12-01,smb_ru,0.049469000000000006
2016-01-01,smb_ru,-0.016606
2016-02-01,smb_ru,-0.067546
2016-03-01,smb_ru,0.025693
2016-04-01,smb_ru,-0.02752
2016-05-01,smb_ru,0.00106
2016-06-01,smb_ru,-0.044437
2016-07-01,smb_ru,0.044582
2016-08-01,smb_ru,0.044354
2016-09-01,smb_ru,0.06838
2016-10-01,smb_ru,0.017925
2016-11-01,smb_ru,-0.003881
2016-12-01,smb_ru,-0.016362
2017-01-01,smb_ru,0.020231
2017-02-01,smb_ru,0.07017699999999999
2017-03-01,smb_ru,-0.007383999999999999
2017-04-01,smb_ru,-0.025150000000000002
2017-05-01,smb_ru,0.013552
2017-06-01,smb_ru,0.05548
2017-07-01,smb_ru,0.022376999999999998
2017-08-01,smb_ru,0.031031
2017-09-01,smb_ru,0.024378
2017-10-01,smb_ru,0.006879
2017-11-01,smb_ru,-0.018678
2017-12-01,smb_ru,0.036678
2018-01-01,smb_ru,-0.065433
2018-02-01,smb_ru,-0.014327000000000001
2018-03-01,smb_ru,0.016281
2018-04-01,smb_ru,-0.081813
2018-05-01,smb_ru,-0.036909
2018-06-01,smb_ru,0.035715
2018-07-01,smb_ru,-0.03391
2018-08-01,smb_ru,-0.061542000000000006
2018-09-01,smb_ru,-0.029869
2018-10-01,smb_ru,0.028564
2018-11-01,smb_ru,0.006775
2018-12-01,smb_ru,0.019754
2019-01-01,smb_ru,-0.008421999999999999
2019-02-01,smb_ru,0.09797499999999999
2019-03-01,smb_ru,-0.019181
2019-04-01,smb_ru,-0.002641
2019-05-01,smb_ru,-0.091832
2019-06-01,smb_ru,0.0074
2019-07-01,smb_ru,0.033892000000000005
2019-08-01,smb_ru,0.001925
2019-09-01,smb_ru,0.018604
2019-10-01,smb_ru,-0.056783
2019-11-01,smb_ru,0.024437
2019-12-01,smb_ru,-0.024049
2020-01-01,smb_ru,0.082203
2020-02-01,smb_ru,0.044954
2020-03-01,smb_ru,0.055839999999999994
2020-04-01,smb_ru,0.037374
2005-01-01,hml_ru,-0.049076
2005-02-01,hml_ru,-0.07412200000000001
2005-03-01,hml_ru,-0.09971500000000001
2005-04-01,hml_ru,-0.056089
2005-05-01,hml_ru,-0.239293
2005-06-01,hml_ru,0.129413
2005-07-01,hml_ru,-0.06018
2005-08-01,hml_ru,0.012140999999999999
2005-09-01,hml_ru,0.32183300000000004
2005-10-01,hml_ru,0.026437
2005-11-01,hml_ru,0.15499000000000002
2005-12-01,hml_ru,0.190115
2006-01-01,hml_ru,-0.16344
2006-02-01,hml_ru,0.08897500000000001
2006-03-01,hml_ru,-0.00296
2006-04-01,hml_ru,0.20661200000000002
2006-05-01,hml_ru,0.039855999999999996
2006-06-01,hml_ru,0.105983
2006-07-01,hml_ru,-0.018234
2006-08-01,hml_ru,-0.001051
2006-09-01,hml_ru,-0.027587999999999998
2006-10-01,hml_ru,-0.070332
2006-11-01,hml_ru,0.0225
2006-12-01,hml_ru,0.009768
2007-01-01,hml_ru,0.050018
2007-02-01,hml_ru,0.140316
2007-03-01,hml_ru,-0.020968
2007-04-01,hml_ru,-0.080526
2007-05-01,hml_ru,-0.039291
2007-06-01,hml_ru,-0.0035110000000000002
2007-07-01,hml_ru,0.079395
2007-08-01,hml_ru,0.17636500000000002
2007-09-01,hml_ru,0.045443
2007-10-01,hml_ru,0.050256999999999996
2007-11-01,hml_ru,-0.018588
2007-12-01,hml_ru,0.054154
2008-01-01,hml_ru,0.136298
2008-02-01,hml_ru,0.009109
2008-03-01,hml_ru,-0.014804999999999999
2008-04-01,hml_ru,-0.012318
2008-05-01,hml_ru,-0.054464
2008-06-01,hml_ru,0.021152
2008-07-01,hml_ru,-0.062878
