month-01,cape_excess_yield
1897-04-01,0.0025014578
1897-05-01,-0.0001568868
1897-06-01,-0.001598516
1897-07-01,-0.0027943488
1897-08-01,-0.0005732139
1897-09-01,0.0024584612
1897-10-01,0.0008620891
1897-11-01,0.0016591271
1897-12-01,-0.0017115718
1898-01-01,-0.0041739014
1898-02-01,-0.0005501052
1898-03-01,0.0022245766
1898-04-01,0.0046218682
1898-05-01,0.0130362337
1898-06-01,0.0020330446
1898-07-01,-0.0011232274
1898-08-01,-0.0025961972
1898-09-01,-0.0021445693
1898-10-01,-0.0018673158
1898-11-01,-0.0042081024
1898-12-01,-0.0046050712
1899-01-01,-0.0040674293
1899-02-01,-0.0004102599
1899-03-01,0.0003139377
1899-04-01,0.0018540733
1899-05-01,0.0063341791
1899-06-01,0.0095015041
1899-07-01,0.010012959
1899-08-01,0.0109207747
1899-09-01,0.0159898219
1899-10-01,0.0182436473
1899-11-01,0.0193247743
1899-12-01,0.0237717005
1900-01-01,0.0257378116
1900-02-01,0.026897653
1900-03-01,0.0267343071
1900-04-01,0.0263242499
1900-05-01,0.0242328587
1900-06-01,0.0242863931
1900-07-01,0.0265083722
1900-08-01,0.0205030006
1900-09-01,0.0229104467
1900-10-01,0.0193076135
1900-11-01,0.0179748126
1900-12-01,0.0134902674
1901-01-01,0.0154413629
1901-02-01,0.011385946
1901-03-01,0.0087471301
1901-04-01,0.002473622
1901-05-01,0.0059728054
1901-06-01,0.0045684934
1901-07-01,0.0105647383
1901-08-01,0.0118661885
1901-09-01,0.0152054207
1901-10-01,0.0158102567
1901-11-01,0.0179774896
1901-12-01,0.0205474496
1902-01-01,0.0204939743
1902-02-01,0.0201554814
1902-03-01,0.0228084652
1902-04-01,0.0244711149
1902-05-01,0.0263423827
1902-06-01,0.0283712121
1902-07-01,0.0247093359
1902-08-01,0.0205953725
1902-09-01,0.0222664998
1902-10-01,0.0337912355
1902-11-01,0.028188899
1902-12-01,0.0298818221
1903-01-01,0.0254615155
1903-02-01,0.0246869476
1903-03-01,0.0242107045
1903-04-01,0.0277605817
1903-05-01,0.0266817246
1903-06-01,0.0325161246
1903-07-01,0.0380459524
1903-08-01,0.0442933462
1903-09-01,0.0438226186
1903-10-01,0.0429265111
1903-11-01,0.0436635307
1903-12-01,0.042371395
1904-01-01,0.0481489554
1904-02-01,0.0553570231
1904-03-01,0.0567927221
1904-04-01,0.0534956482
1904-05-01,0.0512155871
1904-06-01,0.0513628083
1904-07-01,0.04903155
1904-08-01,0.0462169579
1904-09-01,0.0442990892
1904-10-01,0.0440906925
1904-11-01,0.0449590901
1904-12-01,0.0461129479
1905-01-01,0.0451508441
1905-02-01,0.0431884677
1905-03-01,0.0403296918
1905-04-01,0.0369221392
1905-05-01,0.0367447857
1905-06-01,0.0350980497
1905-07-01,0.0352171559
1905-08-01,0.0368518005
1905-09-01,0.0352874766
1905-10-01,0.0349373787
1905-11-01,0.0373178188
1905-12-01,0.0395886106
1906-01-01,0.0396755669
1906-02-01,0.0416145818
1906-03-01,0.0430017835
1906-04-01,0.0453546415
1906-05-01,0.0502406403
1906-06-01,0.0512290054
1906-07-01,0.0474700962
1906-08-01,0.0473716343
1906-09-01,0.0476819452
1906-10-01,0.0498526245
1906-11-01,0.0476386254
1906-12-01,0.0500437595
1907-01-01,0.0531797293
1907-02-01,0.0587990116
1907-03-01,0.0639599861
1907-04-01,0.0654075495
1907-05-01,0.0733295082
1907-06-01,0.0778015756
1907-07-01,0.0751666906
1907-08-01,0.0766938794
1907-09-01,0.0747736533
1907-10-01,0.0883399315
1907-11-01,0.0859701704
1907-12-01,0.0774087029
1908-01-01,0.0718963826
1908-02-01,0.0719316167
1908-03-01,0.0689194889
1908-04-01,0.0670319878
1908-05-01,0.0563041713
1908-06-01,0.0635053334
1908-07-01,0.0644882284
1908-08-01,0.0616723426
1908-09-01,0.0627248817
1908-10-01,0.0639841557
1908-11-01,0.0614112938
1908-12-01,0.0604315993
1909-01-01,0.0585891126
1909-02-01,0.0595525765
1909-03-01,0.0585959671
1909-04-01,0.0577405599
1909-05-01,0.0572622769
1909-06-01,0.0564145792
1909-07-01,0.0540946265
1909-08-01,0.0528672983
1909-09-01,0.0505373941
1909-10-01,0.0523103042
1909-11-01,0.0530187525
1909-12-01,0.0526095903
1910-01-01,0.0524499864
1910-02-01,0.053847169
1910-03-01,0.0554923694
1910-04-01,0.0589683635
1910-05-01,0.0593978793
1910-06-01,0.0627246646
1910-07-01,0.065622385
1910-08-01,0.0632724934
1910-09-01,0.0597951059
1910-10-01,0.0524897649
1910-11-01,0.0491048535
1910-12-01,0.0524855484
1911-01-01,0.0495676227
1911-02-01,0.0443602788
1911-03-01,0.0470699764
1911-04-01,0.0432591607
1911-05-01,0.0419065529
1911-06-01,0.0406646098
1911-07-01,0.0415201237
1911-08-01,0.0491038965
1911-09-01,0.0538758479
1911-10-01,0.0534474098
1911-11-01,0.0474511949
1911-12-01,0.0440984354
1912-01-01,0.0470476408
1912-02-01,0.0491429307
1912-03-01,0.0502658813
1912-04-01,0.0516416206
1912-05-01,0.0501167007
1912-06-01,0.0468140577
1912-07-01,0.0463556348
1912-08-01,0.0472388738
1912-09-01,0.0469752926
1912-10-01,0.039873848
1912-11-01,0.0436799188
1912-12-01,0.0431497614
1913-01-01,0.0440205828
1913-02-01,0.0470515125
1913-03-01,0.0522102537
1913-04-01,0.052519055
1913-05-01,0.0554485292
1913-06-01,0.0619276367
1913-07-01,0.0628862276
1913-08-01,0.0608385661
1913-09-01,0.0609511612
1913-10-01,0.065108722
1913-11-01,0.0707020157
1913-12-01,0.0691064029
1914-01-01,0.0634215274
1914-02-01,0.0580423272
1914-03-01,0.0607378617
1914-04-01,0.0620107762
1914-05-01,0.0656777188
1914-06-01,0.0659944152
1914-07-01,0.0729622913
1914-08-01,0.0755271025
