date	total_return_net_index
2020-06-16	4461.93
2020-06-17	4448.62
2020-06-18	4426.99
2020-06-19	4483.16
2020-06-22	4490.67
2020-06-23	4537.28
2020-06-25	4486.54
2020-06-26	4488.15
2020-06-29	4498.29
2020-06-30	4458.07
2020-07-02	4532.16
2020-07-03	4553.91
2020-07-06	4608.4
2020-07-07	4592.19
2020-07-08	4583.09
2020-07-09	4561.44
2020-07-10	4595.21
2020-07-13	4539.19
2020-07-14	4502.68
2020-07-15	4552.96
2020-07-16	4573.01
2020-07-17	4601.31
2020-07-20	4646.83
2020-07-21	4685.75
2020-07-22	4700.57
2020-07-23	4729
2020-07-24	4747.78
2020-07-27	4783.87
2020-07-28	4801.4
2020-07-29	4839.49
2020-07-30	4780.14
2020-07-31	4828.13
2020-08-03	4858.64
2020-08-04	4876.03
2020-08-05	4962.79
2020-08-06	4955.7
2020-08-07	4928.92
2020-08-10	4909.73
2020-08-11	4984.1
2020-08-12	5064.3
2020-08-13	5108.16
2020-08-14	5077.56
2020-08-17	5061.76
2020-08-18	5058.84
2020-08-19	5068.52
2020-08-20	4966.1
2020-08-21	4969.28
2020-08-24	5025.37
2020-08-25	5024.76
2020-08-26	5062.78
2020-08-27	4998.83
2020-08-28	4945.99
2020-08-31	4922.8
2020-09-01	4937.4
2020-09-02	4906.7
2020-09-03	4868.04
2020-09-04	4850.82
2020-09-07	4869.53
2020-09-08	4797.29
2020-09-09	4776.17
2020-09-10	4811.84
2020-09-11	4833.36
2020-09-14	4863.04
2020-09-15	4949.73
2020-09-16	4940.48
2020-09-17	4935.05
2020-09-18	4901.92
2020-09-21	4755.79
2020-09-22	4790.65
2020-09-23	4843.35
2020-09-24	4837.32
2020-09-25	4810.86
2020-09-28	4861.99
2020-09-29	4833.67
2020-09-30	4826.51
