date	total_return_net_index
2016-10-05	2671.78
2016-10-06	2682.97
2016-10-07	2677.75
2016-10-10	2707.93
2016-10-11	2708.58
2016-10-12	2697.66
2016-10-13	2677.75
2016-10-14	2664.23
2016-10-17	2651.44
2016-10-18	2667.91
2016-10-19	2665.73
2016-10-20	2651.63
2016-10-21	2652.45
2016-10-24	2659.35
2016-10-25	2678.86
2016-10-26	2675.64
2016-10-27	2682.4
2016-10-28	2685.05
2016-10-31	2695.73
2016-11-01	2705.52
2016-11-02	2667.45
2016-11-03	2659.24
2016-11-07	2645.67
2016-11-08	2666.31
2016-11-09	2725.45
2016-11-10	2769.42
2016-11-11	2753.01
2016-11-14	2739.56
2016-11-15	2732.88
2016-11-16	2748.95
2016-11-17	2767.7
2016-11-18	2761.64
2016-11-21	2789.39
2016-11-22	2799.43
2016-11-23	2825.95
2016-11-24	2849.28
2016-11-25	2842.75
2016-11-28	2838
2016-11-29	2827.42
2016-11-30	2851.91
2016-12-01	2874.88
2016-12-02	2884.53
2016-12-05	2924.28
2016-12-06	2916.18
2016-12-07	2927.24
2016-12-08	2990.25
2016-12-09	2992.3
2016-12-12	3018.11
2016-12-13	3045.39
2016-12-14	3021.04
2016-12-15	3032.38
2016-12-16	3024.82
2016-12-19	3003.51
2016-12-20	3017.98
2016-12-21	2998.96
2016-12-22	2957.14
2016-12-23	2955.16
2016-12-26	2961.52
2016-12-27	2983.11
2016-12-28	2974.32
2016-12-29	3006.91
2016-12-30	3042.87
2017-01-03	3114.71
2017-01-04	3085.37
2017-01-05	3026.01
2017-01-06	3017.26
2017-01-09	3013.61
2017-01-10	3049.37
2017-01-11	3024.21
2017-01-12	3015.2
2017-01-13	2992.29
2017-01-16	2983.94
2017-01-17	2969.85
2017-01-18	2958.07
2017-01-19	2947.39
2017-01-20	2944.26
2017-01-23	2925.36
2017-01-24	2964.21
2017-01-25	2966.13
2017-01-26	3038.89
2017-01-27	3089.12
2017-01-30	3045.62
2017-01-31	3022.79
2017-02-01	3042.27
2017-02-02	3023.02
2017-02-03	3035.36
2017-02-06	3013.41
2017-02-07	3024.67
2017-02-08	2984.92
2017-02-09	2963.61
2017-02-10	2947.54
2017-02-13	2946.59
2017-02-14	2919.33
2017-02-15	2913.31
2017-02-16	2928.85
2017-02-17	2901.22
2017-02-20	2888.78
2017-02-21	2900.55
2017-02-22	2871.35
2017-02-24	2853.34
2017-02-27	2803.41
2017-02-28	2775.2
2017-03-01	2808.06
2017-03-02	2793.24
2017-03-03	2803.99
2017-03-06	2791.08
2017-03-07	2760.3
2017-03-09	2691.32
2017-03-10	2690.94
2017-03-13	2726.63
2017-03-14	2728.14
2017-03-15	2716.34
2017-03-16	2746.03
2017-03-17	2776.82
2017-03-20	2784.68
2017-03-21	2791.97
2017-03-22	2810.32
2017-03-23	2796.02
2017-03-24	2780.65
2017-03-27	2744.38
2017-03-28	2770.8
2017-03-29	2758.76
2017-03-30	2756.27
2017-03-31	2720.85
2017-04-03	2738.18
2017-04-04	2761.46
2017-04-05	2803.22
2017-04-06	2800.99
2017-04-07	2754.02
2017-04-10	2687.22
2017-04-11	2696.38
2017-04-12	2655.6
2017-04-13	2651.26
2017-04-14	2612.53
2017-04-17	2648.56
2017-04-18	2617.99
2017-04-19	2612.82
2017-04-20	2634.18
2017-04-21	2651.29
2017-04-24	2698.8
2017-04-25	2724.49
2017-04-26	2763.36
2017-04-27	2742.57
2017-04-28	2750.86
2017-05-02	2764.69
2017-05-03	2719.42
2017-05-04	2726.92
2017-05-05	2733.22
2017-05-10	2768.44
2017-05-11	2733.4
2017-05-12	2722.53
2017-05-15	2736.66
2017-05-16	2722.76
2017-05-17	2724.68
2017-05-18	2688.22
2017-05-19	2681.03
2017-05-22	2664.79
2017-05-23	2677.97
2017-05-24	2666.8
2017-05-25	2660.35
2017-05-26	2643.13
2017-05-29	2652.04
2017-05-30	2641.3
2017-05-31	2596.85
2017-06-01	2554.87
2017-06-02	2571.56
2017-06-05	2566.29
2017-06-06	2555.84
2017-06-07	2553.62
2017-06-08	2561.54
2017-06-09	2574.26
2017-06-13	2571.6
2017-06-14	2528.28
2017-06-15	2500.09
2017-06-16	2507.09
2017-06-19	2547.72
2017-06-20	2558.99
2017-06-21	2549.14
2017-06-22	2568.93
2017-06-23	2579.16
2017-06-26	2569.4
2017-06-27	2595.02
2017-06-28	2613.03
2017-06-29	2597.92
2017-06-30	2597.6
2017-07-03	2629.84
2017-07-04	2650.31
2017-07-05	2655.81
2017-07-06	2676.69
2017-07-07	2666.73
2017-07-10	2686.17
2017-07-11	2702.77
2017-07-12	2726.87
2017-07-13	2736.65
2017-07-14	2738.19
2017-07-17	2735.98
2017-07-18	2723.46
2017-07-19	2758.16
2017-07-20	2750.56
2017-07-21	2720.35
2017-07-24	2729.7
2017-07-25	2718.37
2017-07-26	2731.61
2017-07-27	2748.59
2017-07-28	2708.5
2017-07-31	2712.43
2017-08-01	2742.3
2017-08-02	2778.12
2017-08-03	2777.85
2017-08-04	2761.17
2017-08-07	2785.03
2017-08-08	2812.23
2017-08-09	2792.86
2017-08-10	2770.7
2017-08-11	2748.93
2017-08-14	2758.71
2017-08-15	2756.64
2017-08-16	2746.18
2017-08-17	2744.25
2017-08-18	2728.97
2017-08-21	2738.8
2017-08-22	2752.56
2017-08-23	2768.28
2017-08-24	2789.46
2017-08-25	2797.43
2017-08-28	2808.75
2017-08-29	2811.53
2017-08-30	2839.46
2017-08-31	2858.32
2017-09-01	2842.43
2017-09-04	2831.6
2017-09-05	2832.59
2017-09-06	2847.55
2017-09-07	2841.63
2017-09-08	2873.55
2017-09-11	2889.64
2017-09-12	2910.38
2017-09-13	2903.96
2017-09-14	2903.05
2017-09-15	2905.25
2017-09-18	2913.22
2017-09-19	2898.95
2017-09-20	2911.03
2017-09-21	2914.86
2017-09-22	2902.86
2017-09-25	2928.79
2017-09-26	2931.65
2017-09-27	2945.79
2017-09-28	2933.24
2017-09-29	2941.1
2017-10-02	2939.02
2017-10-03	2940.56
2017-10-04	2940.96
2017-10-05	2956.86
2017-10-06	2964.7
2017-10-09	2971.21
2017-10-10	2957.91
2017-10-11	2978.8
